parameter,peer number,instance,avg,med,max,min
cpu,2,crdt-ws,0.13994503816793893,0.0,1.0002,0.0
cpu,2,crdt-p2p,0.0063625954198473274,0.0,0.5002,0.0
cpu,2,ot-ws,0.26371908396946564,0.0,1.4998,0.0
cpu-peers,2,peer-2-crdt-cs,9.331403816793893,7.6174,53.4361,0.0
cpu-peers,2,peer-1-crdt-cs,10.020652671755725,8.9977,47.9821,0.0
cpu-peers,2,peer-2-crdt-p2p,7.99791145038168,7.0,55.394,0.0
cpu-peers,2,peer-1-crdt-p2p,9.771428244274809,8.9971,52.2551,0.4996
cpu-peers,2,peer-2-ot,13.614086259541983,12.0025,57.8969,0.0
cpu-peers,2,peer-1-ot,14.450002290076336,12.5599,66.1257,0.0
mem,2,crdt-ws,1.0183382824427485,1.015625,1.8359370000000013,0.0
mem,2,crdt-p2p,0.15195535877862518,0.20312399999999897,0.20312399999999897,0.0
mem,2,ot-ws,2.0040551450381674,2.0429720000000007,3.8281219999999987,-0.10937600000000103
mem-peers,2,peer-1-crdt-cs,15.425793893129775,16.632899999999978,23.082099999999997,0.0
mem-peers,2,peer-2-crdt-cs,12.840502290076348,14.015600000000006,18.64840000000001,0.08200000000002206
mem-peers,2,peer-1-crdt-p2p,12.921922900763356,14.35929999999999,20.566399999999987,0.24209999999999354
mem-peers,2,peer-2-crdt-p2p,12.083748091603066,13.089800000000025,20.757800000000003,0.0
mem-peers,2,peer-1-ot,17.051670992366404,18.04679999999999,25.527299999999997,0.27729999999999677
mem-peers,2,peer-2-ot,15.384512213740454,16.39069999999998,23.843799999999987,0.046899999999993724
network-in,2,crdt-ws,23.752056625954197,23.96635,34.9184,8.76722
network-in,2,crdt-p2p,9.948094450381678,9.003712,17.96988,8.766262
network-in,2,ot-ws,994.8626685267176,944.8054,2616.895,15.583397
network-in-peers,2,peer-2-crdt-cs,11.742478938931297,11.496391,20.70404,8.767733
network-in-peers,2,peer-1-crdt-cs,12.066702541984734,11.454381,44.91193,8.767717
network-in-peers,2,peer-2-crdt-p2p,14.434634305343511,14.203733,23.16277,9.405844
network-in-peers,2,peer-1-crdt-p2p,14.729919954198477,14.408551,48.07187,9.382465
network-in-peers,2,peer-2-ot,20.856495015267175,20.56828,32.24038,9.507394
network-in-peers,2,peer-1-ot,21.42098710687023,21.11916,53.80556,9.517873
network-out,2,crdt-ws,-23.46649954961832,-23.81846,-8.76722,-33.93175
network-out,2,crdt-p2p,-9.491276007633587,-8.982547,-8.766262,-12.781804
network-out,2,ot-ws,-536.1789428549619,-514.6958,-14.431442,-1368.1453
network-out-peers,2,peer-2-crdt-cs,-11.351761335877862,-11.402824,-8.767733,-13.445969
network-out-peers,2,peer-1-crdt-cs,-11.381084251908398,-11.36104,-8.767717,-18.4523
network-out-peers,2,peer-2-crdt-p2p,-14.049812694656488,-14.257294,-9.394232,-17.48606
network-out-peers,2,peer-1-crdt-p2p,-14.293038786259542,-14.352365,-9.391649,-23.15383
network-out-peers,2,peer-2-ot,-245.08916449618317,-234.3036,-10.095827,-887.7625
network-out-peers,2,peer-1-ot,-254.60156627480913,-239.9466,-10.093744,-700.3604
cpu,4,crdt-ws,0.3905656488549618,0.25,2.0002,0.0
