time,node
1667412547,0.6664
1667412546,0
1667412545,1
1667412544,0
1667412543,1
1667412542,0
1667412541,0.5
1667412540,0.6665
1667412539,0
1667412538,0.9998
1667412537,0
1667412536,0
1667412535,0.7502
1667412534,0.5997
1667412533,0
1667412532,0.8003
1667412531,0
1667412530,0.6667
1667412529,0
1667412528,0
1667412527,0.3332
1667412526,0
1667412525,1.0004
1667412524,0
1667412523,0.8336
1667412522,0
1667412521,0
1667412520,0.75
1667412519,0
1667412518,0
1667412517,0.9998
1667412516,0
1667412515,0.5997
1667412514,0
1667412513,0.6001
1667412512,0.9998
1667412511,0.5002
1667412510,0
1667412509,0.9998
1667412508,0
1667412507,0.9999
1667412506,0
1667412505,0.25
1667412504,0
1667412503,0.9999
1667412502,0
1667412501,1
1667412500,0
1667412499,0.5
1667412498,0
1667412497,0
1667412496,1
1667412495,0
1667412494,1.0001
1667412493,0
1667412492,1
1667412491,0
1667412490,0.4997
1667412489,0
1667412488,0
1667412487,0.6247
1667412486,0
1667412485,1.0001
1667412484,0
1667412483,0.1666
1667412482,0.8
1667412481,0
1667412480,1.3333
1667412479,0
1667412478,0.9999
1667412477,0
1667412476,0.4999
1667412475,0
1667412474,0.6666
1667412473,0
1667412472,0.6664
1667412471,0
1667412470,1
1667412469,0
1667412468,0.9991
1667412467,0
1667412466,0.5991
1667412465,0
1667412464,1
1667412463,0
1667412462,0.25
1667412461,0
1667412460,0.7501
1667412459,0
1667412458,0.9988
1667412457,0.9998
1667412456,0
1667412455,0.6664
1667412454,0
1667412453,1.0002
1667412452,0.7501
1667412451,0
1667412450,0.4999
1667412449,0
1667412448,0.75
1667412447,0
1667412446,0.9999
1667412445,0
1667412444,0.4994
1667412443,0
1667412442,1.0001
1667412441,0
1667412440,0.9993
1667412439,0.7504
1667412438,0.75
1667412437,0
1667412436,0.75
1667412435,0
1667412434,0.3347
1667412433,1.9945
1667412432,0
1667412431,0.9999
1667412430,0
1667412429,0.4001
1667412428,1.0011
1667412427,0
1667412426,0.5
1667412425,0
1667412424,0.7499
1667412423,0
1667412422,0.9995
1667412421,0.7501
1667412420,48.0205
1667412419,79.0993
1667412418,65.9963
1667412417,71.0686
1667412416,69.6997
1667412415,67.0113
1667412414,72.0085
1667412413,61.1388
1667412412,71.9948
1667412411,61.0254
1667412410,72.0896
1667412409,60.0221
1667412408,135.1419
1667412407,48.4765
1667412406,54.9975
1667412405,66.0171
1667412404,53.9758
1667412403,64.021
1667412402,56.1133
1667412401,54.0027
1667412400,67.9965
1667412399,64.0183
1667412398,70.0086
1667412397,56.1823
1667412396,55.2561
1667412395,68.4291
1667412394,51.9986
1667412393,57.0494
1667412392,66.2123
1667412391,52.0962
1667412390,54.01
1667412389,65.9827
1667412388,66.0135
1667412387,50.3818
1667412386,76.0586
1667412385,97.1149
1667412384,51.9814
1667412383,54.1256
1667412382,61.0339
1667412381,54.2731
1667412380,96.9659
1667412379,70.6555
1667412378,57.991
1667412377,65.1323
1667412376,55.9201
1667412375,52.2652
1667412374,72.0445
