time,node
1667412071,0
1667412070,0
1667412069,0
1667412068,0
1667412067,0
1667412066,0
1667412065,0
1667412064,0
1667412063,0
1667412062,0
1667412061,0
1667412060,0
1667412059,0
1667412058,0
1667412057,0
1667412056,0
1667412055,0
1667412054,0
1667412053,0
1667412052,0
1667412051,0
1667412050,0
1667412049,0.6001
1667412048,0
1667412047,0
1667412046,0
1667412045,0
1667412044,0
1667412043,0
1667412042,0
1667412041,0
1667412040,0.9998
1667412039,0
1667412038,0
1667412037,0
1667412036,0
1667412035,0
1667412034,0
1667412033,0
1667412032,0
1667412031,0
1667412030,0
1667412029,0
1667412028,0
1667412027,0
1667412026,0
1667412025,0
1667412024,0
1667412023,0
1667412022,0
1667412021,0
1667412020,0
1667412019,1.0001
1667412018,0
1667412017,0
1667412016,0
1667412015,0
1667412014,0
1667412013,0
1667412012,0
1667412011,0
1667412010,0
1667412009,0
1667412008,0
1667412007,0
1667412006,0
1667412005,0
1667412004,0
1667412003,0
1667412002,0
1667412001,0
1667412000,0
1667411999,0
1667411998,0
1667411997,0
1667411996,0
1667411995,0
1667411994,0
1667411993,0
1667411992,0
1667411991,0
1667411990,1.0001
1667411989,0
1667411988,0
1667411987,0
1667411986,0
1667411985,0
1667411984,0
1667411983,0
1667411982,0
1667411981,0
1667411980,0
1667411979,0
1667411978,0
1667411977,0
1667411976,0
1667411975,0.8338
1667411974,0
1667411973,0
1667411972,0
1667411971,0
1667411970,0
1667411969,0
1667411968,0
1667411967,0
1667411966,1
1667411965,0
1667411964,0
1667411963,0
1667411962,0
1667411961,0
1667411960,0
1667411959,0
1667411958,0
1667411957,0
1667411956,0
1667411955,0
1667411954,0
1667411953,0
1667411952,0
1667411951,0
1667411950,0
1667411949,0
1667411948,0
1667411947,0
1667411946,0
1667411945,0.7502
1667411944,0
1667411943,0
1667411942,0
1667411941,0
1667411940,0
1667411939,0
1667411938,0.8343
1667411937,0.7494
1667411936,0
1667411935,1.0001
1667411934,0
1667411933,0.9998
1667411932,0
1667411931,0
1667411930,0.8572
1667411929,0
1667411928,1.0003
1667411927,0.7505
1667411926,0
1667411925,1.0001
1667411924,0
1667411923,0.7496
1667411922,0.8572
1667411921,0.9998
1667411920,0.6006
1667411919,0.9992
1667411918,0
1667411917,1.0003
1667411916,0
1667411915,0.9997
1667411914,0
1667411913,1.0001
1667411912,0.9996
1667411911,0.6667
1667411910,1.0002
1667411909,0.4999
1667411908,2.0002
1667411907,0.9998
1667411906,1.0002
1667411905,2.0004
1667411904,0.666
1667411903,1.0001
1667411902,1.9984
1667411901,3.0001
1667411900,0.7143
1667411899,1.0001
1667411898,2
1667411897,2.0002
1667411896,1.9998
1667411895,0.9999
1667411894,3.0007
1667411893,1.6666
1667411892,2.0005
1667411891,0.9998
1667411890,3.9974
1667411889,2.0006
1667411888,2.0001
1667411887,2.9977
1667411886,2.0004
1667411885,2.0002
1667411884,2.0002
1667411883,1.8013
1667411882,2.0006
1667411881,1.9991
1667411880,2.0003
1667411879,2.2708
1667411878,1
1667411877,2.0004
1667411876,1.0001
1667411875,0
1667411874,1.0003
1667411873,0.6004
1667411872,1
1667411871,4.9984
1667411870,0
1667411869,1.3339
1667411868,0
1667411867,0
1667411866,0
1667411865,0
1667411864,0
1667411863,0
1667411862,0
1667411861,0
1667411860,0
1667411859,0
1667411858,0
1667411857,0
1667411856,0
1667411855,0
1667411854,0
1667411853,0
1667411852,0
1667411851,0
1667411850,0
1667411849,0.9999
1667411848,0.6667
1667411847,1
1667411846,1
1667411845,1.0001
1667411844,0.5999
1667411843,1
1667411842,1.0001
1667411841,0.9998
1667411840,0.6004
1667411839,3.0003
1667411838,0.9999
1667411837,1.9996
1667411836,0.9996
1667411835,2
1667411834,1.0001
1667411833,1.0001
1667411832,2.0015
1667411831,1
1667411830,1.7147
1667411829,1.4284
1667411828,2.503
1667411827,2.0002
1667411826,2
1667411825,2.6666
1667411824,2.0003
1667411823,1.0007
1667411822,1.9998
1667411821,0.6665
1667411820,2.9995
1667411819,2.1443
1667411818,2.0002
1667411817,3.0001
1667411816,0.9998
1667411815,2.0001
1667411814,0.9993
1667411813,2.6266
1667411812,1.0001
1667411811,1.143
1667411810,1.4312
1667411809,1.9997
1667411808,2.5716
1667411807,1.2497
1667411806,2.0003
1667411805,1.3318
1667411804,1.0001
1667411803,1.1418
1667411802,1.9998
1667411801,3.0007
1667411800,2.0009
1667411799,1.6686
1667411798,1.5976
1667411797,2.5707
1667411796,2.0004
1667411795,2.997
1667411794,3.0001
1667411793,3.5548
1667411792,2.0003
1667411791,0.8752
1667411790,1.6683
1667411789,1.4297
1667411788,1.9992
1667411787,3.0004
1667411786,1
1667411785,1.9989
1667411784,1.9992
1667411783,2.0007
1667411782,3.0025
1667411781,2.9982
1667411780,2.0023
1667411779,1.712
1667411778,2.5021
1667411777,1.0001
1667411776,2.9995
1667411775,4.4513
1667411774,3.9989
1667411773,1.9996
1667411772,2.0001
1667411771,2.5004
1667411770,2.0008
1667411769,3.0001
1667411768,2.4984
1667411767,1.7153
1667411766,3.5558
1667411765,2.6256
1667411764,2.0007
1667411763,2.1423
1667411762,2.9994
1667411761,1.8014
1667411760,1.0001
1667411759,0
1667411758,0
1667411757,0
1667411756,0
1667411755,0
1667411754,0
1667411753,0
1667411752,0
1667411751,1
1667411750,0
1667411749,0
1667411748,0
1667411747,0
1667411746,0
1667411745,0
1667411744,0
1667411743,0
1667411742,0
1667411741,0
1667411740,0
1667411739,0
1667411738,0
1667411737,0
1667411736,0
1667411735,0
1667411734,0.4999
1667411733,1.0003
1667411732,1.4288
1667411731,0
1667411730,0
1667411729,0
