time,received,sent
1667412071,25.69772,-26.40177
1667412070,17.70682,-18.07856
1667412069,8.768548,-8.768548
1667412068,8.768469,-8.768469
1667412067,8.767468,-8.767468
1667412066,16.758274,-17.09058
1667412065,17.7061,-18.07779
1667412064,8.768204,-8.768204
1667412063,8.767797,-8.767797
1667412062,8.963993,-8.963993
1667412061,16.587958,-17.11676
1667412060,19.33486,-20.09227
1667412059,17.33427,-12.429553
1667412058,15.761556,-10.068064
1667412057,16.91175,-17.2441
1667412056,25.86487,-26.56887
1667412055,17.70434,-18.07599
1667412054,8.769139,-8.769139
1667412053,8.76822,-8.76822
1667412052,9.606654,-9.787984
1667412051,17.69849,-18.23359
1667412050,18.54062,-19.09349
1667412049,15.957383,-11.066281
1667412048,15.762412,-10.064216
1667412047,8.965123,-8.965123
1667412046,16.97634,-17.3086
1667412045,17.70671,-18.07846
1667412044,8.76916,-8.76916
1667412043,8.768371,-8.768371
1667412042,16.760501,-17.09289
1667412041,25.69559,-26.39958
1667412040,17.70394,-18.07557
1667412039,8.767561,-8.767561
1667412038,8.767566,-8.767566
1667412037,8.76912,-8.76912
1667412036,17.05359,-17.59744
1667412035,18.03315,-18.6413
1667412034,8.769238,-8.769238
1667412033,8.768291,-8.768291
1667412032,8.964398,-8.964398
1667412031,16.587344,-17.11617
1667412030,19.48353,-20.24087
1667412029,11.416805,-11.587541
1667412028,8.953751,-8.936853
1667412027,16.757879,-17.09015
1667412026,25.69755,-26.40159
1667412025,17.70581,-18.0775
1667412024,8.767646,-8.767646
1667412023,8.768047,-8.768047
1667412022,9.757537,-9.787749
1667412021,18.01749,-18.38363
1667412020,18.86411,-19.41708
1667412019,9.873327,-10.075999
1667412018,8.766585,-8.766585
1667412017,8.964334,-8.964334
1667412016,18.66713,-18.48592
1667412015,22.56355,-25.61869
1667412014,12.507859,-16.304951
1667412013,9.242832,-9.41181
1667412012,16.760024,-17.0924
1667412011,25.69505,-26.39902
1667412010,17.70554,-18.07719
1667412009,8.767003,-8.767003
1667412008,8.7668,-8.7668
1667412007,8.769197,-8.769197
1667412006,16.758411,-17.09073
1667412005,17.70399,-18.07567
1667412004,8.768218,-8.768218
1667412003,8.768282,-8.768282
1667412002,8.964601,-8.964601
1667412001,16.584004,-17.1126
1667412000,19.33618,-20.09371
1667411999,17.34001,-12.434146
1667411998,16.062799,-10.370538
1667411997,17.09578,-17.4281
1667411996,25.69562,-26.39961
1667411995,17.70432,-18.07602
1667411994,8.769354,-8.769354
1667411993,8.768911,-8.768911
1667411992,9.605602,-9.786873
1667411991,17.99437,-18.4313
1667411990,18.87112,-19.62401
1667411989,16.125318,-11.56409
1667411988,15.948189,-10.234329
1667411987,30.51742,-13.946279
1667411986,41.37107,-23.02744
1667411985,18.0457,-18.24848
1667411984,8.769379,-8.769379
1667411983,8.767904,-8.767904
1667411982,16.757164,-17.08947
1667411981,25.6923,-26.3962
1667411980,17.70832,-18.08012
1667411979,8.76899,-8.76899
1667411978,8.769411,-8.769411
1667411977,8.767535,-8.767535
1667411976,16.759475,-17.09183
1667411975,17.70503,-18.07667
1667411974,8.964438,-8.964438
1667411973,8.987707,-8.987707
1667411972,8.767182,-8.767182
1667411971,16.516276,-17.04495
1667411970,19.50561,-20.26312
1667411969,11.082748,-11.268562
1667411968,8.767515,-8.767515
1667411967,16.759975,-17.09235
1667411966,25.69499,-26.39896
1667411965,17.70431,-18.07596
1667411964,8.767767,-8.767767
1667411963,8.767162,-8.767162
1667411962,9.606227,-9.787446
1667411961,17.69489,-18.22992
1667411960,18.696,-19.24897
1667411959,9.875197,-10.077982
1667411958,9.115422,-9.115422
1667411957,9.157194,-9.157194
1667411956,16.760998,-17.09337
1667411955,17.70347,-18.07509
1667411954,8.767885,-8.767885
1667411953,8.768843,-8.768843
1667411952,17.54625,-17.48582
1667411951,21.13322,-20.37839
1667411950,14.590897,-13.161375
1667411949,15.053056,-17.37646
1667411948,25.90234,-29.53548
1667411947,24.2146,-24.44684
1667411946,15.089476,-15.731531
1667411945,17.11484,-17.48906
1667411944,10.194434,-9.810164
1667411943,8.963472,-8.963472
1667411942,13.148782,-12.744769
1667411941,36.78241,-38.47466
1667411940,70.00602,-77.1021
1667411939,82.63549,-84.4937
1667411938,83.90223,-85.23022
1667411937,79.10533,-88.17377
1667411936,73.80466,-81.41999
1667411935,74.03238,-81.39986
1667411934,68.39733,-75.00317
1667411933,59.83667,-64.60874
1667411932,67.93152,-72.78522
1667411931,79.20872,-86.55669
1667411930,72.10197,-78.97665
1667411929,72.33005,-72.00647
1667411928,80.20386,-82.59056
1667411927,81.30497,-93.51155
1667411926,70.05158,-78.81944
1667411925,71.87796,-79.91898
1667411924,80.81984,-89.16278
1667411923,86.09123,-94.48968
1667411922,94.8752,-104.4852
1667411921,93.28868,-102.16782
1667411920,93.46232,-100.87304
1667411919,91.78226,-99.58716
1667411918,84.19696,-91.79238
1667411917,86.23154,-93.62748
1667411916,86.65869,-94.29451
1667411915,85.2922,-93.4494
1667411914,90.41261,-99.72697
1667411913,97.29332,-105.81488
1667411912,103.31915,-112.13972
1667411911,99.56322,-109.98622
1667411910,96.06126,-104.7697
1667411909,110.56605,-118.58009
1667411908,140.8242,-156.16034
1667411907,154.47414,-174.0493
1667411906,154.92236,-171.1193
1667411905,173.7464,-189.4474
1667411904,197.2952,-218.2231
1667411903,227.3671,-256.2297
1667411902,238.0079,-275.7992
1667411901,217.4854,-256.0478
1667411900,206.7222,-234.4674
1667411899,224.8496,-256.576
1667411898,233.3866,-272.2756
1667411897,217.3597,-247.3324
1667411896,213.7198,-236.8928
1667411895,247.5266,-271.3494
1667411894,261.9703,-290.4309
1667411893,228.3483,-256.1651
1667411892,228.8079,-255.9959
1667411891,226.7064,-256.218
1667411890,218.4876,-250.139
1667411889,220.3013,-255.7408
1667411888,216.6693,-253.6776
1667411887,231.4516,-266.9532
1667411886,236.6394,-271.2352
1667411885,221.6504,-256.0838
1667411884,220.3822,-256.3106
1667411883,225.2937,-264.1787
1667411882,213.4062,-250.3817
1667411881,213.735,-249.8609
1667411880,600.0829,-838.3291
1667411879,592.4634,-830.6354
1667411878,98.89672,-89.05073
1667411877,95.54083,-91.63814
1667411876,100.5841,-96.57106
1667411875,95.44009,-91.61866
1667411874,94.52847,-91.95615
1667411873,97.71205,-93.6087
1667411872,225.8538,-270.0534
1667411871,216.3193,-270.9619
1667411870,133.52791,-148.01543
1667411869,135.43722,-144.10934
1667411868,15.956664,-10.25995
1667411867,8.98721,-8.98721
1667411866,8.768747,-8.768747
1667411865,8.767343,-8.767343
1667411864,8.767263,-8.767263
1667411863,8.768377,-8.768377
1667411862,8.768905,-8.768905
1667411861,9.069575,-8.918533
1667411860,9.104854,-8.935895
1667411859,8.769604,-8.769604
1667411858,8.768192,-8.768192
1667411857,8.766469,-8.766469
1667411856,8.768579,-8.768579
1667411855,9.366261,-9.426696
1667411854,9.435456,-9.503021
1667411853,8.965295,-8.965295
1667411852,8.986888,-8.986888
1667411851,8.76696,-8.76696
1667411850,26.96808,-25.72533
1667411849,66.62741,-65.15129
1667411848,87.41526,-89.65952
1667411847,87.32772,-92.48782
1667411846,88.40985,-93.83945
1667411845,98.054,-101.9705
1667411844,100.68732,-104.46789
1667411843,90.03786,-95.50451
1667411842,100.47027,-105.50806
1667411841,146.33649,-149.08801
1667411840,204.3517,-210.8414
1667411839,250.5301,-273.4821
1667411838,270.9767,-307.1798
1667411837,270.2806,-302.0917
1667411836,279.4147,-305.6539
1667411835,285.3945,-311.3694
1667411834,288.1687,-311.3105
1667411833,292.7818,-316.6356
1667411832,295.7105,-317.3148
1667411831,287.4768,-315.6403
1667411830,287.2042,-319.9868
1667411829,297.0413,-318.9134
1667411828,288.3724,-310.6915
1667411827,280.9296,-311.2846
