time,received,sent
1667411566,9.029934,-9.006155
1667411565,9.318799,-9.220061
1667411564,14.129095,-10.994983
1667411563,19.67185,-11.440702
1667411562,8.767791,-8.767791
1667411561,9.658866,-9.461505
1667411560,11.736119,-11.173708
1667411559,10.291814,-10.323807
1667411558,10.290476,-10.215577
1667411557,9.903633,-9.61831
1667411556,8.767843,-8.767843
1667411555,8.768177,-8.768177
1667411554,8.767986,-8.767986
1667411553,9.158324,-9.059646
1667411552,9.897099,-9.611777
1667411551,8.767412,-8.767412
1667411550,9.16125,-9.062583
1667411549,10.29577,-9.911779
1667411548,9.902668,-9.617327
1667411547,9.068547,-8.969899
1667411546,10.52616,-10.043492
1667411545,11.734395,-11.171931
1667411544,10.294387,-10.326388
1667411543,10.290511,-10.215605
1667411542,9.902877,-9.61756
1667411541,8.850867,-8.850867
1667411540,9.00596,-9.00596
1667411539,8.767443,-8.767443
1667411538,9.158536,-9.059862
1667411537,9.896974,-9.611647
1667411536,8.768067,-8.768067
1667411535,9.242585,-9.143936
1667411534,10.534005,-10.149997
1667411533,9.903234,-9.617892
1667411532,8.76796,-8.76796
1667411531,9.818914,-9.736689
1667411530,12.197637,-11.968083
1667411529,10.294338,-10.326339
1667411528,9.898232,-9.92201
1667411527,8.767103,-8.767103
1667411526,8.76805,-8.76805
1667411525,9.160856,-9.062186
1667411524,9.903524,-9.618194
1667411523,9.158413,-9.059744
1667411522,9.896888,-9.611557
1667411521,8.768095,-8.768095
1667411520,9.161342,-9.062663
1667411519,10.295555,-9.911572
1667411518,9.994112,-9.700553
1667411517,9.248185,-9.125705
1667411516,10.287316,-9.804682
1667411515,11.734922,-11.172483
1667411514,10.29395,-10.32595
1667411513,9.896803,-9.920579
1667411512,8.767892,-8.767892
1667411511,8.768543,-8.768543
1667411510,9.161145,-9.06245
1667411509,13.282806,-10.250863
1667411508,18.93081,-10.890762
1667411507,9.897735,-9.612418
1667411506,8.767792,-8.767792
1667411505,9.160579,-9.061894
1667411504,13.675336,-10.542845
1667411503,19.67587,-11.443042
1667411502,8.767428,-8.767428
1667411501,21.50096,-12.016261
1667411500,45.98008,-18.561
1667411499,10.294329,-10.32633
1667411498,9.896514,-9.92029
1667411497,8.768215,-8.768215
1667411496,8.768369,-8.768369
1667411495,9.160559,-9.061887
1667411494,9.90333,-9.618002
1667411493,9.159015,-9.060328
1667411492,9.897538,-9.612226
1667411491,8.767602,-8.767602
1667411490,9.160371,-9.061704
1667411489,10.300553,-9.916383
1667411488,10.016502,-9.731339
1667411487,9.284061,-9.185401
1667411486,10.341803,-9.97424
1667411485,12.062218,-11.832665
1667411484,10.792648,-10.824646
1667411483,9.897508,-9.921287
1667411482,8.767505,-8.767505
1667411481,8.768263,-8.768263
1667411480,9.242976,-9.144316
1667411479,10.141392,-9.856052
1667411478,9.159227,-9.060533
1667411477,9.896458,-9.611151
1667411476,8.768297,-8.768297
1667411475,9.242954,-9.144282
1667411474,10.533816,-10.149815
1667411473,10.010765,-9.725438
1667411472,9.076556,-9.076556
1667411471,9.158502,-9.059833
1667411470,10.104993,-9.794995
1667411469,10.022604,-9.887536
1667411468,12.00747,-12.253873
1667411467,12.565361,-13.535895
1667411466,9.654485,-9.711888
1667411465,9.644559,-10.003116
1667411464,10.344682,-10.072448
1667411463,9.769192,-9.898746
1667411462,9.651896,-10.209584
1667411461,13.111212,-11.325345
1667411460,16.88838,-11.85328
1667411459,15.939756,-11.792879
1667411458,18.21973,-13.412912
1667411457,18.76127,-12.714118
1667411456,18.07591,-11.703607
1667411455,19.05429,-12.079968
1667411454,17.13379,-12.206295
1667411453,15.729617,-11.866423
1667411452,17.04619,-12.17002
1667411451,19.14252,-13.586654
1667411450,15.902783,-11.737185
1667411449,21.85784,-12.552501
1667411448,24.45084,-13.580978
1667411447,17.82714,-12.586341
1667411446,18.83704,-13.677682
1667411445,16.230179,-12.029881
1667411444,17.3321,-12.793884
1667411443,225.2982,-18.11342
1667411442,395.933,-23.37155
1667411441,20.15027,-12.208044
1667411440,18.87214,-12.494876
1667411439,17.96247,-11.763328
1667411438,18.102,-12.570702
1667411437,18.35352,-12.150157
1667411436,16.680968,-11.930466
1667411435,16.191434,-11.998482
1667411434,17.00737,-11.264299
1667411433,18.35832,-12.59921
1667411432,18.00224,-13.686139
1667411431,16.91918,-11.27113
1667411430,18.47369,-11.417867
1667411429,18.79319,-12.076094
1667411428,18.34189,-13.214991
1667411427,19.15928,-13.418707
1667411426,16.765592,-12.592409
1667411425,18.18666,-12.547139
1667411424,18.77046,-12.028444
1667411423,17.4817,-11.974506
1667411422,18.3268,-11.945063
1667411421,17.51297,-11.388043
1667411420,16.530174,-11.66908
1667411419,17.70081,-12.863493
1667411418,16.229982,-12.392979
1667411417,17.31367,-12.151677
1667411416,16.79589,-12.490387
1667411415,18.08569,-13.350739
1667411414,17.35347,-12.017989
1667411413,17.30563,-11.876649
1667411412,18.07157,-13.108882
1667411411,17.87458,-13.483928
1667411410,16.83542,-12.187052
1667411409,16.80122,-12.255513
1667411408,17.9104,-11.861392
1667411407,18.13648,-12.788779
1667411406,16.003968,-12.073515
1667411405,16.078252,-11.257386
1667411404,16.342405,-11.261697
1667411403,17.13203,-11.787549
1667411402,17.33239,-12.154026
1667411401,16.51784,-11.273844
1667411400,17.90259,-12.187604
1667411399,17.97217,-13.08964
1667411398,127.65118,-36.25432
1667411397,221.3594,-59.04466
1667411396,18.89924,-15.950067
1667411395,9.22357,-9.512003
1667411394,9.050048,-8.932401
1667411393,8.7825,-8.580148
1667411392,8.435353,-8.435353
1667411391,9.388473,-9.388473
1667411390,8.878574,-8.878574
1667411389,63.43757,-11.210817
1667411388,107.62321,-12.841963
1667411387,8.779148,-8.779148
1667411386,8.746436,-8.746436
1667411385,8.765485,-8.765485
1667411384,8.768385,-8.768385
1667411383,13.438364,-9.640927
1667411382,17.4015,-10.502936
1667411381,9.038214,-9.038214
1667411380,8.771732,-8.771732
1667411379,8.771771,-8.771771
1667411378,8.754099,-8.754099
1667411377,8.77024,-8.77024
1667411376,8.769868,-8.769868
1667411375,8.7651,-8.7651
1667411374,8.784988,-8.784988
1667411373,8.781473,-8.781473
1667411372,8.744159,-8.744159
1667411371,8.764351,-8.764351
1667411370,8.76519,-8.76519
1667411369,8.768827,-8.768827
1667411368,8.993251,-8.879677
1667411367,11.125672,-11.032818
1667411366,12.458821,-12.676615
1667411365,11.116426,-9.91997
1667411364,14.899434,-12.010423
1667411363,15.170587,-12.907181
1667411362,15.392836,-11.416367
1667411361,16.434777,-11.189233
1667411360,16.271255,-12.57474
1667411359,16.508715,-13.244866
1667411358,15.213626,-12.072288
1667411357,15.660202,-12.704227
1667411356,16.062577,-13.352638
1667411355,15.202833,-12.861465
1667411354,16.070142,-12.145719
1667411353,16.707266,-12.523006
1667411352,15.80389,-11.682021
1667411351,17.80286,-12.54252
1667411350,21.3122,-15.232636
1667411349,29.48843,-19.9005
1667411348,34.91332,-24.24594
1667411347,33.65069,-24.36156
1667411346,35.39657,-27.10666
1667411345,37.43596,-24.46057
1667411344,38.36378,-24.18682
1667411343,38.78355,-23.10123
1667411342,36.02381,-23.63764
1667411341,38.03687,-23.7343
1667411340,40.77019,-22.13772
1667411339,42.53002,-25.28944
1667411338,40.224,-24.12157
1667411337,42.64581,-25.05635
1667411336,43.0188,-27.52869
1667411335,41.72356,-26.82221
1667411334,43.41095,-26.5586
1667411333,42.02463,-28.11751
1667411332,41.21635,-27.43207
1667411331,38.33206,-26.25962
1667411330,39.47653,-21.87973
1667411329,45.28843,-27.24109
1667411328,49.78797,-29.70257
1667411327,41.42461,-24.3643
1667411326,43.57008,-26.60509
1667411325,43.87045,-27.82802
1667411324,43.11093,-26.57516
1667411323,45.10619,-27.66281
1667411322,50.30645,-28.86984
1667411321,41.0036,-27.22509
1667411320,44.02521,-27.50518
1667411319,42.32031,-27.34648
1667411318,41.40943,-27.58151
1667411317,39.43124,-28.45814
1667411316,38.3217,-27.94894
1667411315,41.8038,-27.66454
1667411314,44.5897,-26.40897
1667411313,40.86017,-27.44508
1667411312,39.9065,-26.18088
1667411311,39.38906,-25.79089
1667411310,42.80428,-25.26714
1667411309,45.75909,-27.91908
1667411308,49.67258,-30.54468
1667411307,46.70221,-28.45752
1667411306,49.02063,-26.47204
1667411305,53.34965,-29.36452
1667411304,54.46872,-30.36719
1667411303,61.41354,-32.62628
1667411302,62.82621,-34.52107
1667411301,64.5,-38.17347
1667411300,61.35287,-35.42957
1667411299,60.97374,-43.36595
1667411298,62.06848,-41.23309
1667411297,59.49443,-44.09154
1667411296,63.48075,-43.74602
1667411295,64.85136,-37.60657
1667411294,65.05829,-40.77954
1667411293,64.06934,-40.29644
1667411292,63.06679,-40.07375
1667411291,61.2412,-42.84586
1667411290,59.00182,-42.17759
1667411289,60.01177,-40.24413
1667411288,61.0973,-45.05515
1667411287,58.68129,-41.98265
1667411286,62.53234,-42.71001
1667411285,58.4865,-45.56241
1667411284,58.70032,-43.81014
1667411283,60.99715,-45.82207
1667411282,62.14651,-44.41455
1667411281,49.6561,-34.59796
1667411280,15.806532,-12.733142
1667411279,9.158862,-9.167084
1667411278,10.005623,-9.922448
1667411277,9.757125,-9.357538
1667411276,11.05208,-10.691925
1667411275,10.09799,-9.713982
1667411274,9.97905,-9.693752
1667411273,9.398444,-9.299763
1667411272,9.903123,-9.617804
1667411271,8.768554,-8.768554
1667411270,9.160408,-9.061724
1667411269,13.281627,-10.250398
1667411268,18.93425,-10.893483
1667411267,9.903912,-9.618592
1667411266,9.15997,-9.168193
1667411265,9.903689,-9.927466
1667411264,9.157964,-9.166186
1667411263,13.385939,-10.553456
1667411262,19.52997,-11.183657
1667411261,22.57493,-13.187455
1667411260,43.42952,-16.93689
1667411259,9.897191,-9.611869
1667411258,9.160851,-9.062174
1667411257,9.902996,-9.617673
1667411256,8.768118,-8.768118
1667411255,9.160922,-9.062244
1667411254,9.904351,-9.619029
1667411253,9.161473,-9.062727
1667411252,9.900923,-9.615669
1667411251,9.161648,-9.169872
