time,received,sent
1667414012,36.3908,-34.91712
1667414011,36.31567,-36.40854
1667414010,17.31561,-16.95002
1667414009,27.19389,-26.37561
1667414008,22.01546,-21.72861
1667414007,42.27565,-41.65302
1667414006,28.80958,-28.7501
1667414005,18.14197,-17.87929
1667414004,27.66185,-27.63749
1667414003,14.175984,-14.079984
1667414002,15.118516,-14.90068
1667414001,16.508341,-16.04604
1667414000,12.974491,-12.76529
1667413999,14.43889,-15.402081
1667413998,19.03842,-21.75451
1667413997,36.23536,-33.3774
1667413996,36.51175,-37.596
1667413995,17.19398,-16.90008
1667413994,27.28498,-26.45852
1667413993,22.57843,-22.45854
1667413992,43.62941,-43.25519
1667413991,30.06616,-29.14427
1667413990,17.8218,-17.49885
1667413989,27.87844,-27.29925
1667413988,14.310409,-14.638016
1667413987,14.569732,-14.614538
1667413986,16.385762,-15.947857
1667413985,12.536427,-12.398814
1667413984,14.199139,-15.162442
1667413983,19.1197,-21.85192
1667413982,36.39157,-33.78645
1667413981,36.31367,-37.97652
1667413980,17.31619,-17.10696
1667413979,27.19512,-26.83647
1667413978,18.56494,-18.08927
1667413977,32.28893,-30.79842
1667413976,29.02689,-28.12932
1667413975,21.52852,-21.23465
1667413974,43.07396,-39.541
1667413973,23.99673,-15.919318
1667413972,15.20697,-14.981024
1667413971,16.770452,-16.284275
1667413970,12.893304,-12.684119
1667413969,14.200318,-15.163296
1667413968,18.85078,-22.13349
1667413967,35.37722,-34.04468
1667413966,35.96211,-36.48834
1667413965,18.3313,-17.29486
1667413964,27.65518,-25.91757
1667413963,18.43999,-18.18764
1667413962,35.00367,-31.51872
1667413961,38.37735,-29.59356
1667413960,23.0032,-21.36013
1667413959,41.84558,-37.94746
1667413958,14.312497,-14.640149
1667413957,14.318006,-14.42775
1667413956,15.895448,-15.583598
1667413955,13.276243,-12.947645
1667413954,14.200216,-15.16351
1667413953,19.11927,-21.6627
1667413952,36.22806,-33.34578
1667413951,36.08896,-38.50477
1667413950,17.74411,-17.65657
1667413949,26.27646,-26.83707
1667413948,18.48976,-18.32676
1667413947,31.97276,-31.46654
1667413946,28.97333,-28.20181
1667413945,22.62082,-21.1975
1667413944,41.04915,-37.46508
1667413943,14.436294,-14.316435
1667413942,14.866705,-14.713853
1667413941,16.100349,-15.7641
1667413940,13.962382,-13.554038
1667413939,14.463572,-15.402957
1667413938,18.85152,-22.13384
1667413937,36.49708,-34.70783
1667413936,39.1031,-38.36733
1667413935,17.53986,-17.36761
1667413934,26.81842,-26.91941
1667413933,18.67833,-18.58234
1667413932,31.82087,-31.35538
1667413931,29.01538,-27.75979
1667413930,13.846515,-13.340673
1667413929,14.929404,-14.37402
1667413928,14.311961,-14.639607
1667413927,23.00282,-22.79991
1667413926,43.41682,-41.14015
1667413925,24.20461,-17.61215
1667413924,35.88695,-22.84823
1667413923,52.63996,-43.60809
1667413922,93.57096,-93.22176
1667413921,109.62869,-104.2446
1667413920,98.67469,-103.65878
1667413919,105.06021,-113.08091
1667413918,105.86476,-101.62467
1667413917,108.98364,-107.20073
1667413916,101.15424,-110.2532
1667413915,94.53492,-97.06267
1667413914,101.46453,-89.99856
1667413913,106.38661,-97.26668
1667413912,97.32821,-90.12296
1667413911,110.81523,-98.48905
1667413910,94.79528,-104.70751
1667413909,96.54589,-97.01563
1667413908,93.8912,-94.90651
1667413907,108.85011,-116.33899
1667413906,111.50561,-103.6854
1667413905,98.31673,-104.70469
1667413904,107.54812,-100.37273
1667413903,98.87455,-94.80778
1667413902,95.20072,-107.26006
1667413901,111.20946,-101.97622
1667413900,113.67983,-94.56269
1667413899,123.71414,-100.03157
1667413898,92.87635,-84.85567
1667413897,85.11255,-79.44784
1667413896,106.75223,-113.86748
1667413895,112.04911,-115.96991
1667413894,90.20829,-87.61177
1667413893,91.31176,-81.3466
1667413892,84.52276,-80.31843
1667413891,94.68985,-90.80936
1667413890,93.76454,-88.25457
1667413889,101.88382,-101.77996
1667413888,100.4357,-100.44927
1667413887,102.5972,-103.68512
1667413886,101.15858,-89.69708
1667413885,113.55721,-109.21871
1667413884,110.30538,-111.27696
1667413883,114.86194,-102.27539
1667413882,114.6377,-121.2631
1667413881,100.49573,-80.65039
1667413880,119.64197,-103.78355
1667413879,129.02095,-124.86686
1667413878,117.8923,-131.45609
1667413877,108.11459,-110.8985
1667413876,99.85346,-107.88618
1667413875,89.78299,-111.94553
1667413874,99.58844,-93.23524
1667413873,113.45536,-94.70905
1667413872,96.03606,-89.39096
1667413871,96.97235,-87.26016
1667413870,118.10537,-111.6719
1667413869,97.25112,-85.45778
1667413868,169.8918,-71.79982
1667413867,211.3214,-165.83809
1667413866,172.2507,-321.5999
1667413865,139.62363,-92.70818
1667413864,108.12376,-67.46112
1667413863,123.9423,-101.9341
1667413862,92.36264,-155.1405
1667413861,132.58248,-80.0164
1667413860,113.36957,-68.89352
1667413859,131.47426,-66.46379
1667413858,191.7633,-115.25131
1667413857,164.36954,-219.5532
1667413856,136.11728,-107.40882
1667413855,353.2367,-274.6562
1667413854,434.9311,-299.5532
1667413853,324.6244,-211.5552
1667413852,127.32882,-92.62783
1667413851,100.53937,-79.43617
1667413850,172.8324,-102.75664
1667413849,137.33167,-158.63657
1667413848,113.93936,-121.71931
1667413847,21.91386,-24.71354
1667413846,21.74445,-25.29159
1667413845,35.23776,-34.83917
1667413844,88.06487,-82.24687
1667413843,92.04393,-102.1783
1667413842,12.107584,-9.391144
1667413841,18.69408,-10.706516
1667413840,9.53385,-9.753853
1667413839,11.05758,-12.408387
1667413838,11.550877,-13.604067
1667413837,8.767925,-8.767925
1667413836,8.768558,-8.768558
1667413835,8.767745,-8.767745
1667413834,8.768327,-8.768327
1667413833,8.774714,-8.774714
1667413832,8.774464,-8.774464
1667413831,8.754241,-8.754241
1667413830,8.768056,-8.768056
1667413829,8.767647,-8.767647
1667413828,8.768406,-8.768406
1667413827,8.767998,-8.767998
1667413826,8.873457,-8.873457
1667413825,9.423242,-9.431362
1667413824,9.783174,-9.807054
1667413823,8.76828,-8.76828
1667413822,8.767586,-8.767586
1667413821,8.768332,-8.768332
1667413820,8.767653,-8.767653
1667413819,8.768091,-8.768091
1667413818,8.849566,-8.849566
1667413817,9.006159,-9.006159
1667413816,8.849316,-8.849316
1667413815,10.769408,-9.31569
1667413814,15.963574,-9.983888
1667413813,19.05058,-10.682216
1667413812,25.70781,-15.204112
1667413811,21.98828,-20.32913
1667413810,13.79175,-14.972018
1667413809,44.55141,-52.53333
1667413808,144.64113,-187.7665
1667413807,210.5536,-295.8583
1667413806,292.6658,-337.0722
1667413805,356.2416,-360.5999
1667413804,374.3062,-367.9259
1667413803,373.7634,-360.4084
1667413802,375.7859,-369.6139
1667413801,370.7538,-357.2104
1667413800,355.584,-360.9149
1667413799,333.44,-331.7289
1667413798,349.1536,-358.2754
1667413797,338.8615,-338.5876
1667413796,358.7157,-356.6326
1667413795,384.0252,-386.5997
1667413794,371.3858,-369.6682
1667413793,388.5145,-373.8519
1667413792,372.486,-377.601
1667413791,381.1776,-391.7491
1667413790,378.913,-379.1581
1667413789,382.0922,-374.7729
1667413788,432.4332,-420.608
1667413787,447.1504,-456.3377
1667413786,450.7448,-455.1558
1667413785,422.4068,-416.604
1667413784,403.7292,-407.0805
1667413783,463.9151,-456.0068
1667413782,470.2778,-465.3717
1667413781,432.0583,-424.5316
1667413780,475.269,-477.6598
1667413779,514.8542,-521.3908
1667413778,546.2328,-550.6948
1667413777,544.2503,-548.9087
1667413776,543.0807,-526.0753
1667413775,506.2168,-507.0784
1667413774,520.5835,-517.8384
1667413773,558.2729,-563.0716
1667413772,557.9081,-560.8419
1667413771,522.4553,-513.788
1667413770,491.0881,-492.7552
1667413769,497.8518,-504.9649
1667413768,477.9744,-474.9458
1667413767,495.938,-488.0095
1667413766,544.0609,-547.8888
1667413765,550.9717,-549.2662
1667413764,556.9696,-558.545
1667413763,622.8014,-623.9901
1667413762,695.0277,-697.5124
1667413761,696.035,-697.5676
1667413760,680.1747,-674.1342
1667413759,648.9227,-650.4346
1667413758,655.702,-651.2802
1667413757,703.1444,-703.4919
1667413756,720.0268,-721.7621
1667413755,693.3897,-686.8982
1667413754,719.3932,-705.7353
1667413753,708.1722,-704.586
1667413752,702.1955,-710.4288
1667413751,710.2358,-711.8954
1667413750,694.4444,-675.1513
1667413749,715.6839,-707.89
1667413748,756.0438,-755.6831
1667413747,707.6603,-696.7468
1667413746,717.3528,-710.1612
1667413745,718.037,-708.6406
1667413744,689.6219,-693.47
1667413743,720.1799,-714.8642
1667413742,724.1954,-716.2888
1667413741,570.1283,-567.6466
1667413740,85.27463,-86.94983
1667413739,17.23755,-17.15336
1667413738,27.49802,-27.12622
1667413737,14.085294,-14.03558
1667413736,14.942246,-14.403938
1667413735,23.1199,-22.33704
1667413734,41.03264,-38.07934
1667413733,54.03644,-45.93965
1667413732,32.12292,-33.4985
1667413731,26.73874,-29.27088
1667413730,24.33648,-24.95723
1667413729,41.43156,-42.16248
1667413728,34.77201,-41.67686
1667413727,22.09397,-23.22554
1667413726,26.29347,-26.48676
1667413725,25.57766,-28.68466
1667413724,26.74452,-27.5996
1667413723,25.87941,-28.98051
1667413722,28.93556,-27.52033
1667413721,95.78629,-52.83745
1667413720,183.0667,-75.75816
1667413719,29.67781,-33.54176
1667413718,23.79312,-29.95712
1667413717,70.78647,-42.01924
1667413716,247.0372,-107.63587
1667413715,282.3916,-131.40063
1667413714,116.78984,-66.7202
1667413713,65.22701,-46.26539
1667413712,22.80484,-21.53335
1667413711,48.14753,-46.3509
1667413710,14.857889,-25.21512
1667413709,11.828425,-25.61138
