time,node
1667415792,null
1667415791,null
1667415790,null
1667415789,null
1667415788,null
1667415787,null
1667415786,null
1667415785,null
1667415784,null
1667415783,null
1667415782,null
1667415781,null
1667415780,null
1667415779,null
1667415778,null
1667415777,null
1667415776,null
1667415775,null
1667415774,null
1667415773,null
1667415772,null
1667415771,null
1667415770,null
1667415769,null
1667415768,null
1667415767,null
1667415766,null
1667415765,null
1667415764,null
1667415763,null
1667415762,null
1667415761,null
1667415760,null
1667415759,null
1667415758,null
1667415757,null
1667415756,null
1667415755,null
1667415754,null
1667415753,null
1667415752,null
1667415751,null
1667415750,null
1667415749,null
1667415748,null
1667415747,null
1667415746,null
1667415745,null
1667415744,null
1667415743,null
1667415742,null
1667415741,null
1667415740,null
1667415739,null
1667415738,null
1667415737,null
1667415736,null
1667415735,null
1667415734,null
1667415733,null
1667415732,null
1667415731,null
1667415730,null
1667415729,null
1667415728,null
1667415727,null
1667415726,null
1667415725,null
1667415724,null
1667415723,null
1667415722,null
1667415721,null
1667415720,null
1667415719,null
1667415718,null
1667415717,null
1667415716,null
1667415715,null
1667415714,null
1667415713,null
1667415712,null
1667415711,null
1667415710,0.9994
1667415709,1.0001
1667415708,2
1667415707,0.4998
1667415706,1.0003
1667415705,1.601
1667415704,1
1667415703,1
1667415702,1
1667415701,0
1667415700,0.8331
1667415699,1.0003
1667415698,0.5997
1667415697,1.2502
1667415696,2.0004
1667415695,0.8002
1667415694,1
1667415693,0
1667415692,1.5004
1667415691,0.9998
1667415690,2.0002
1667415689,0.9998
1667415688,2.0004
1667415687,0
1667415686,1.0001
1667415685,1.0001
1667415684,1.0001
1667415683,1.9998
1667415682,1.0002
1667415681,1
1667415680,0.9999
1667415679,1.7147
1667415678,1.0001
1667415677,1.0001
1667415676,2.0001
1667415675,1
1667415674,0.9995
1667415673,1.0002
1667415672,0.8005
1667415671,1.9992
1667415670,0
1667415669,0.9998
1667415668,0.9997
1667415667,1.0001
1667415666,0.6669
1667415665,0.9999
1667415664,1.9984
1667415663,1.0002
1667415662,1.6007
1667415661,3.0001
1667415660,0
1667415659,0.9999
1667415658,1.0002
1667415657,0.9998
1667415656,1
1667415655,0.6664
1667415654,1.0001
1667415653,0.9999
1667415652,2.0004
1667415651,0.5998
1667415650,1.0002
1667415649,0.9999
1667415648,0.9997
1667415647,1.5001
1667415646,1.0001
1667415645,1.0001
1667415644,0
1667415643,1.4284
1667415642,1.0001
1667415641,1.0002
1667415640,0.7502
1667415639,0.9999
1667415638,0.8001
1667415637,2.0004
1667415636,0.7141
1667415635,0.7498
1667415634,1
1667415633,1.0002
1667415632,1.9998
1667415631,0.5999
1667415630,1.0002
1667415629,1
1667415628,1.0001
1667415627,1.9999
1667415626,0.2
1667415625,1
1667415624,1.0004
1667415623,0
1667415622,1.5002
1667415621,0
1667415620,1.0007
1667415619,0.9999
1667415618,11.5558
1667415617,42.0068
1667415616,18.0728
1667415615,9.0022
1667415614,8.3536
1667415613,36.1172
1667415612,9.2863
1667415611,10.4026
1667415610,32.0005
1667415609,6.6663
1667415608,34.8236
1667415607,32.845
1667415606,49.7273
1667415605,34.3986
1667415604,44.6126
1667415603,42.6667
1667415602,39.95
1667415601,46.3577
1667415600,43.3795
1667415599,40.1793
1667415598,40.3135
1667415597,42.0027
1667415596,40.0598
1667415595,39.9694
1667415594,42.5556
1667415593,43.8932
1667415592,40.6125
1667415591,46.5215
1667415590,33.8668
1667415589,43.948
1667415588,43.7508
1667415587,44.2168
1667415586,40.5611
1667415585,41.1053
1667415584,40.1462
1667415583,37.3436
1667415582,39.469
1667415581,39.4477
1667415580,46.3789
1667415579,38.9368
1667415578,40.628
1667415577,38.6394
1667415576,38.1625
1667415575,48.8771
1667415574,45.0139
1667415573,39.9787
1667415572,40.024
1667415571,44.3296
1667415570,42.9785
1667415569,38.86
1667415568,43.9534
1667415567,36.0544
