time,node
1667415792,null
1667415791,null
1667415790,null
1667415789,null
1667415788,null
1667415787,null
1667415786,null
1667415785,null
1667415784,null
1667415783,null
1667415782,null
1667415781,null
1667415780,null
1667415779,null
1667415778,null
1667415777,null
1667415776,null
1667415775,null
1667415774,null
1667415773,null
1667415772,null
1667415771,null
1667415770,null
1667415769,null
1667415768,null
1667415767,null
1667415766,null
1667415765,null
1667415764,null
1667415763,null
1667415762,null
1667415761,null
1667415760,null
1667415759,null
1667415758,null
1667415757,null
1667415756,null
1667415755,null
1667415754,null
1667415753,null
1667415752,null
1667415751,null
1667415750,null
1667415749,null
1667415748,null
1667415747,null
1667415746,null
1667415745,null
1667415744,null
1667415743,null
1667415742,null
1667415741,null
1667415740,null
1667415739,null
1667415738,null
1667415737,null
1667415736,null
1667415735,null
1667415734,null
1667415733,null
1667415732,null
1667415731,null
1667415730,null
1667415729,null
1667415728,null
1667415727,null
1667415726,null
1667415725,null
1667415724,null
1667415723,null
1667415722,null
1667415721,null
1667415720,null
1667415719,null
1667415718,null
1667415717,null
1667415716,null
1667415715,null
1667415714,null
1667415713,null
1667415712,null
1667415711,null
1667415710,225.6367
1667415709,225.6367
1667415708,225.8867
1667415707,225.9023
1667415706,225.9336
1667415705,225.957
1667415704,225.7188
1667415703,225.7148
1667415702,225.7148
1667415701,226
1667415700,225.8047
1667415699,225.8008
1667415698,225.8008
1667415697,225.8008
1667415696,225.9336
1667415695,225.707
1667415694,225.7383
1667415693,225.7695
1667415692,225.8477
1667415691,225.875
1667415690,225.9062
1667415689,225.9219
1667415688,225.9414
1667415687,225.9375
1667415686,225.6953
1667415685,225.6953
1667415684,225.4844
1667415683,225.4766
1667415682,225.7852
1667415681,225.3008
1667415680,225.3477
1667415679,225.3438
1667415678,225.3438
1667415677,225.3438
1667415676,225.3906
1667415675,225.3828
1667415674,225.1445
1667415673,225.1445
1667415672,225.1914
1667415671,225.1875
1667415670,225.1875
1667415669,225.6914
1667415668,225.7695
1667415667,225.7891
1667415666,225.8281
1667415665,225.8398
1667415664,226.1211
1667415663,224.8438
1667415662,225.2344
1667415661,225.2344
1667415660,224.7969
1667415659,224.793
1667415658,224.793
1667415657,224.793
1667415656,224.8828
1667415655,225.1484
1667415654,224.8984
1667415653,224.8984
1667415652,224.9453
1667415651,224.8711
1667415650,224.8711
1667415649,224.8711
1667415648,224.6602
1667415647,224.6562
1667415646,224.7109
1667415645,224.4609
1667415644,224.5078
1667415643,224.5
1667415642,224.5
1667415641,224.7188
1667415640,224.5234
1667415639,224.5195
1667415638,224.5195
1667415637,224.5195
1667415636,224.9844
1667415635,224.9805
1667415634,224.9805
1667415633,224.9805
1667415632,225.0273
1667415631,224.9414
1667415630,224.9414
1667415629,224.9414
1667415628,224.9883
1667415627,224.9844
1667415626,224.9062
1667415625,224.9062
1667415624,224.9531
1667415623,224.9453
1667415622,224.9453
1667415621,225.9727
1667415620,226.0664
1667415619,226.125
1667415618,227.7812
1667415617,230.5859
1667415616,230.3398
1667415615,243.6094
1667415614,243.543
1667415613,244.8359
1667415612,242.9492
1667415611,242.3477
1667415610,243.2305
1667415609,238.4141
1667415608,239.3672
1667415607,240.6836
1667415606,253.4492
1667415605,251.4688
1667415604,251.5234
1667415603,243.4141
1667415602,259.4219
1667415601,249.9922
1667415600,238.1328
1667415599,250.1445
1667415598,244.8281
1667415597,242.9805
1667415596,242.0703
1667415595,243.5352
1667415594,242.9805
1667415593,239.6914
1667415592,253.4453
1667415591,246.918
1667415590,249.0742
1667415589,259.2031
1667415588,254.3633
1667415587,250.3945
1667415586,250.6758
1667415585,250.7109
1667415584,249.875
1667415583,250.4297
1667415582,250.0312
1667415581,250.3438
1667415580,248.8477
1667415579,239.6836
1667415578,248.332
1667415577,249.1641
1667415576,248.8828
1667415575,249.1641
1667415574,240.0859
1667415573,234.8711
1667415572,239.5273
