time,received,sent
1667415792,17.09213,-19.55586
1667415791,10.706213,-11.269068
1667415790,12.909079,-14.983815
1667415789,16.97996,-17.99731
1667415788,14.039256,-15.816831
1667415787,19.40311,-20.97638
1667415786,17.8786,-20.14727
1667415785,9.81443,-9.980872
1667415784,8.874366,-8.767487
1667415783,9.430929,-9.088919
1667415782,10.350321,-10.913178
1667415781,12.90773,-14.982408
1667415780,16.98079,-17.99811
1667415779,14.039038,-15.816651
1667415778,19.61505,-21.08113
1667415777,18.85247,-20.77948
1667415776,11.396005,-12.125096
1667415775,12.90921,-14.984122
1667415774,17.06274,-18.08009
1667415773,17.65633,-16.6874
1667415772,29.00894,-22.72257
1667415771,17.86555,-20.23263
1667415770,14.106688,-14.699419
1667415769,18.36374,-21.28325
1667415768,19.33566,-76.02878
1667415767,31.44963,-191.5753
1667415766,13.515964,-15.602694
1667415765,19.68086,-17.51886
1667415764,22.91217,-15.095292
1667415763,17.69937,-19.95935
1667415762,11.70563,-12.32793
1667415761,12.94553,-14.764668
1667415760,16.652291,-17.44188
1667415759,10.706391,-11.649709
1667415758,12.785296,-14.657853
1667415757,16.541738,-17.28439
1667415756,14.007232,-14.680571
1667415755,17.57069,-20.00135
1667415754,12.766823,-13.489758
1667415753,15.880758,-18.47027
1667415752,11.237573,-11.612925
1667415751,13.499858,-15.277454
1667415750,16.188756,-16.96425
1667415749,10.705212,-11.161113
1667415748,12.892984,-14.765596
1667415747,16.85047,-17.59308
1667415746,14.005019,-14.678052
1667415745,17.77806,-20.79289
1667415744,13.514944,-15.399303
1667415743,16.301885,-17.27966
1667415742,12.951376,-13.426898
1667415741,17.50552,-19.93468
1667415740,14.776074,-15.306795
1667415739,17.34031,-20.35475
1667415738,14.708805,-16.511072
1667415737,19.89481,-21.6545
1667415736,17.15048,-19.61225
1667415735,13.842714,-14.484754
1667415734,17.3896,-19.85155
1667415733,13.974981,-14.510291
1667415732,18.0974,-20.3241
1667415731,14.358977,-15.248055
1667415730,16.129447,-18.68634
1667415729,13.759187,-14.401223
1667415728,17.50559,-19.93468
1667415727,14.774508,-15.305028
1667415726,17.34111,-20.3557
1667415725,14.64154,-16.386208
1667415724,19.70607,-21.29935
1667415723,17.50492,-19.93386
1667415722,14.831592,-15.386725
1667415721,16.595556,-19.16356
1667415720,9.214769,-9.206548
