time,node
1667406462,0
1667406461,0.4999
1667406460,0
1667406459,0
1667406458,16.0003
1667406457,3.1107
1667406456,0.4002
1667406455,0.9997
1667406454,0
1667406453,0
1667406452,1.2002
1667406451,0
1667406450,0
1667406449,1
1667406448,0
1667406447,0
1667406446,0.6003
1667406445,0
1667406444,0.9999
1667406443,0
1667406442,0.7499
1667406441,0
1667406440,1
1667406439,0
1667406438,0
1667406437,0
1667406436,0
1667406435,0.6668
1667406434,0
1667406433,0
1667406432,0
1667406431,0.1668
1667406430,0
1667406429,0
1667406428,0.4999
1667406427,0
1667406426,0
1667406425,1.0001
1667406424,0
1667406423,0
1667406422,0.3997
1667406421,0
1667406420,0
1667406419,0
1667406418,0.9999
1667406417,0
1667406416,0
1667406415,0.8327
1667406414,0
1667406413,0
1667406412,0.6666
1667406411,0
1667406410,0
1667406409,0
1667406408,1.0003
1667406407,0.9999
1667406406,0.6666
1667406405,0
1667406404,0
1667406403,0.4286
1667406402,0
1667406401,0
1667406400,0
1667406399,0.7139
1667406398,0
1667406397,0.6002
1667406396,0
1667406395,0.7496
1667406394,0
1667406393,0
1667406392,1
1667406391,0.801
1667406390,0
1667406389,0
1667406388,1.0001
1667406387,2.8563
1667406386,5.4561
1667406385,3.0003
1667406384,2.4987
1667406383,4.0001
1667406382,2.274
1667406381,4.0012
1667406380,5.0007
1667406379,6.457
1667406378,10.0009
1667406377,6.4077
1667406376,2.2747
1667406375,7.6497
1667406374,16.0018
1667406373,11.1168
1667406372,13.9995
1667406371,26.0527
1667406370,14.5977
1667406369,15.5919
1667406368,15.1963
1667406367,21.5876
1667406366,10.7992
1667406365,14.0038
1667406364,16.4938
1667406363,20.003
1667406362,17.3137
1667406361,23.1818
1667406360,9.3903
1667406359,16.0954
1667406358,23.0065
1667406357,13.8119
1667406356,16.9996
1667406355,18.007
1667406354,15.542
1667406353,21.5336
1667406352,14.5748
1667406351,23.4574
1667406350,13.6567
1667406349,14.6445
1667406348,18.5407
1667406347,13.3581
1667406346,21.0814
1667406345,11.5664
1667406344,20.2793
1667406343,17.22
1667406342,13.0336
1667406341,19.0053
1667406340,17.9982
1667406339,19.0797
1667406338,23.2271
1667406337,10.5013
1667406336,16.8001
1667406335,10.9998
1667406334,32.0019
1667406333,8.7564
1667406332,25.6052
1667406331,28.2621
1667406330,13.9687
1667406329,18.9995
1667406328,17.3358
1667406327,18.6658
1667406326,9.2743
1667406325,23.3349
1667406324,12.0002
1667406323,20.646
1667406322,18.0019
1667406321,20.0061
1667406320,25.5247
1667406319,12.9884
1667406318,13.81
1667406317,19.7729
1667406316,26.0203
1667406315,28.2578
1667406314,25.2992
1667406313,19.4716
1667406312,31.1752
1667406311,38.499
1667406310,41.4404
1667406309,34.5014
1667406308,42.1848
1667406307,39.3434
1667406306,42.1603
1667406305,43.2189
1667406304,50.5682
1667406303,48.9075
1667406302,43.54
1667406301,49.1608
1667406300,38.8378
1667406299,28.6036
1667406298,39.6275
1667406297,36.5159
1667406296,47.794
1667406295,51.2068
1667406294,48.4284
1667406293,44.9033
1667406292,44.6135
1667406291,45.7824
1667406290,46.0167
1667406289,34.3423
1667406288,34.7326
1667406287,28.4965
1667406286,19.1685
1667406285,17.7094
1667406284,11.5846
1667406283,16.4877
1667406282,12.1733
1667406281,17.934
1667406280,11.9713
1667406279,16.7765
1667406278,15.0016
1667406277,15.3514
1667406276,11.9992
1667406275,12.2834
1667406274,5.0006
1667406273,6.0001
1667406272,8.7482
1667406271,0.9998
1667406270,1.9998
1667406269,1.6669
1667406268,4.6678
1667406267,5.0902
1667406266,4.5057
1667406265,8.2995
1667406264,6.005
1667406263,3.8806
1667406262,5.1295
1667406261,7.1665
1667406260,13.6175
1667406259,10.8079
1667406258,15.1917
1667406257,22.4018
1667406256,17.8681
1667406255,21.2823
1667406254,23.9271
1667406253,18.4449
1667406252,23.4012
1667406251,31.9506
1667406250,33.7039
1667406249,39.1879
1667406248,27.2599
1667406247,29.6467
1667406246,38.0139
1667406245,31.2381
1667406244,24.5543
1667406243,28.8292
1667406242,31.64
1667406241,47.6644
1667406240,33.3698
1667406239,37.5139
1667406238,45.565
1667406237,34.1887
1667406236,38.3107
1667406235,32.9661
1667406234,44.4353
1667406233,36.8997
1667406232,35.6759
1667406231,35.4904
1667406230,33.3367
1667406229,33.7895
1667406228,32.219
1667406227,45.096
1667406226,36.2054
1667406225,20.6231
1667406224,31.2053
1667406223,29.0154
1667406222,36.8357
1667406221,29.0092
1667406220,29.1482
1667406219,33.8768
1667406218,20.024
1667406217,22.4086
1667406216,30.912
1667406215,29.577
1667406214,20.8669
1667406213,24.6115
1667406212,35.8652
1667406211,28.8169
1667406210,27.4711
1667406209,22.0147
1667406208,26.9185
1667406207,24.8759
1667406206,26.3068
1667406205,26.6899
1667406204,28.5065
1667406203,20.6641
1667406202,17.0645
1667406201,24.9511
1667406200,17.7214
1667406199,16.1265
1667406198,19.2555
1667406197,21.5088
1667406196,15.3234
1667406195,14.8907
1667406194,13.4784
1667406193,19.3641
1667406192,19.2525
1667406191,15.8236
1667406190,13.3066
1667406189,15.5197
1667406188,16.3435
1667406187,14.3953
1667406186,14.3843
1667406185,16.9968
1667406184,17.7836
1667406183,14.252
1667406182,20.9814
1667406181,29.9758
1667406180,2.7968
1667406179,1
1667406178,0
1667406177,0.6668
1667406176,0
1667406175,0.4998
1667406174,1.0001
1667406173,0
1667406172,0
1667406171,0
1667406170,0
1667406169,0.9998
1667406168,0
1667406167,0
1667406166,0.1999
1667406165,0
1667406164,0
1667406163,1.1988
1667406162,0
1667406161,0
1667406160,0.9998
1667406159,1
1667406158,0
1667406157,0
1667406156,0.9998
1667406155,0
1667406154,0.7499
1667406153,0
1667406152,0.5
1667406151,0
1667406150,0
