time,node
1667406462,40.8221
1667406461,42.9645
1667406460,42.5787
1667406459,40.6321
1667406458,35.9821
1667406457,39.288
1667406456,46.2437
1667406455,48.1279
1667406454,47.1216
1667406453,35.095
1667406452,41.4938
1667406451,46.28
1667406450,40.6169
1667406449,43.2718
1667406448,45.0291
1667406447,39.1905
1667406446,39.9335
1667406445,40.8943
1667406444,45.748
1667406443,44.6756
1667406442,45.2819
1667406441,30.222
1667406440,39.1183
1667406439,41.2185
1667406438,40.3094
1667406437,46.9615
1667406436,45.4732
1667406435,40.6692
1667406434,36.2502
1667406433,41.6863
1667406432,40.7667
1667406431,45.2825
1667406430,42.3476
1667406429,41.674
1667406428,33.7859
1667406427,44.9919
1667406426,42.2389
1667406425,41.5332
1667406424,48.3799
1667406423,35.5471
1667406422,40.7626
1667406421,41.1173
1667406420,43.4834
1667406419,39.9535
1667406418,45.2767
1667406417,40.4231
1667406416,46.5702
1667406415,42.4737
1667406414,42.7577
1667406413,42.7015
1667406412,38.2598
1667406411,47.5
1667406410,36.2432
1667406409,40.9585
1667406408,44.5138
1667406407,37.3748
1667406406,40.4078
1667406405,41.5773
1667406404,39.0885
1667406403,41.0432
1667406402,47.4075
1667406401,44.1645
1667406400,40.9145
1667406399,43.7885
1667406398,37.5274
1667406397,43.0642
1667406396,37.0701
1667406395,38.3891
1667406394,39.7083
1667406393,47.5924
1667406392,35.5162
1667406391,41.2316
1667406390,48.0764
1667406389,38.572
1667406388,38.9393
1667406387,49.369
1667406386,42.5385
1667406385,39.5276
1667406384,43.4493
1667406383,43.5588
1667406382,42.5824
1667406381,40.4124
1667406380,40.2684
1667406379,42.3525
1667406378,42.1216
1667406377,44.8027
1667406376,40.84
1667406375,43.9747
1667406374,38.643
1667406373,42.9463
1667406372,38.5081
1667406371,34.0658
1667406370,49.1584
1667406369,36.6464
1667406368,40.8368
1667406367,42.3851
1667406366,39.5522
1667406365,44.1123
1667406364,44.9868
1667406363,42.9919
1667406362,43.4553
1667406361,40.1879
1667406360,37.6834
1667406359,46.9632
1667406358,41.8018
1667406357,41.1784
1667406356,43.8948
1667406355,40.6374
1667406354,40.7795
1667406353,39.2159
1667406352,49.3398
1667406351,43.9375
1667406350,40.4594
1667406349,48.9023
1667406348,45.3854
1667406347,40.1008
1667406346,39.0199
1667406345,38.1492
1667406344,42.7696
1667406343,45.0709
1667406342,44.1228
1667406341,40.4332
1667406340,44.9697
1667406339,38.5841
1667406338,45.111
1667406337,42.1756
1667406336,38.5347
1667406335,47.7259
1667406334,47.045
1667406333,36.6902
1667406332,46.5237
1667406331,39.1204
1667406330,44.0366
1667406329,36.9445
1667406328,41.6664
1667406327,44.2331
1667406326,37.3004
1667406325,35.8044
1667406324,38.5535
1667406323,48.1049
1667406322,44.779
1667406321,38.5359
1667406320,40.1376
1667406319,41.9499
1667406318,42.7305
1667406317,43.4807
1667406316,38.3103
1667406315,39.0978
1667406314,44.1694
1667406313,46.1655
1667406312,31.8683
1667406311,42.276
1667406310,45.5436
1667406309,42.5136
1667406308,39.8288
1667406307,58.7653
1667406306,38.1653
1667406305,39.7464
1667406304,47.0502
1667406303,38.3314
1667406302,51.9016
1667406301,37.4077
1667406300,42.7285
1667406299,40.992
1667406298,37.0887
1667406297,44.2918
1667406296,40.6757
1667406295,38.1588
1667406294,40.7014
1667406293,42.7464
1667406292,44.451
1667406291,42.5137
1667406290,42.6598
1667406289,40.5826
1667406288,42.1054
1667406287,42.9667
1667406286,41.7421
1667406285,47.7049
1667406284,40.9356
1667406283,36.3432
1667406282,40.5462
1667406281,39.1678
1667406280,39.9587
1667406279,40.7309
1667406278,35.9113
1667406277,48.3589
1667406276,38.2157
1667406275,42.6027
1667406274,48.1781
1667406273,38.5891
1667406272,45.0163
1667406271,42.6553
1667406270,41.6234
1667406269,39.9574
1667406268,43.4305
1667406267,38.7625
1667406266,42.0906
1667406265,38.3379
1667406264,47.893
1667406263,41.5504
1667406262,35.9472
1667406261,35.3696
1667406260,42.6553
1667406259,45.5632
1667406258,33.8272
1667406257,40.5683
1667406256,43.1843
1667406255,41.8776
1667406254,35.8122
1667406253,41.2171
1667406252,41.0471
1667406251,43.2406
1667406250,158.5484
1667406249,162.5966
1667406248,156.262
1667406247,159.1789
1667406246,148.5772
1667406245,151.3774
1667406244,153.4105
1667406243,155.4226
1667406242,153.8055
1667406241,152.689
1667406240,155.2296
1667406239,156.899
1667406238,143.0793
1667406237,144.7478
1667406236,160.1041
1667406235,150.6137
1667406234,151.3768
1667406233,151.1164
1667406232,156.355
1667406231,150.1024
1667406230,149.301
1667406229,143.519
1667406228,143.7597
1667406227,151.8565
1667406226,152.9202
1667406225,167.0459
1667406224,171.252
1667406223,170.8231
1667406222,159.6689
1667406221,176.3457
1667406220,163.1439
1667406219,164.4033
1667406218,165.4771
1667406217,167.0407
1667406216,155.6345
1667406215,167.844
1667406214,154.7248
1667406213,162.0045
1667406212,164.1005
1667406211,155.6299
1667406210,153.3369
1667406209,125.9654
1667406208,135.4734
1667406207,125.6659
1667406206,127.1061
1667406205,127.2951
1667406204,124.9894
1667406203,129.3619
1667406202,153.3599
1667406201,113.7325
1667406200,129.8431
1667406199,144.1026
1667406198,116.3659
1667406197,115.7537
1667406196,95.2879
1667406195,138.6847
1667406194,69.1072
1667406193,61.4689
1667406192,58.3603
1667406191,61.3302
1667406190,72.9526
1667406189,72.0379
1667406188,80.0661
1667406187,66.1616
1667406186,64.8505
1667406185,72.0539
1667406184,70.1278
1667406183,60.006
1667406182,76.2764
1667406181,62.0192
1667406180,11.7798
1667406179,1
1667406178,0.5001
1667406177,0.7997
1667406176,1.5998
1667406175,0.9999
1667406174,1.0002
1667406173,0.5
1667406172,0.9998
1667406171,0.4999
1667406170,1.0001
1667406169,1
1667406168,0.6001
1667406167,0.7999
1667406166,0.9999
1667406165,0.7498
1667406164,0.9999
1667406163,0.7499
1667406162,2.0004
1667406161,0.4286
1667406160,0.9997
1667406159,1.5004
1667406158,0.7497
1667406157,0
1667406156,1
1667406155,1.0001
1667406154,1.7989
1667406153,0.6666
1667406152,0.7501
1667406151,0.9996
1667406150,0.7506
