time,received,sent
1667406462,12.906951,-10.735134
1667406461,31.36066,-14.37804
1667406460,44.5662,-17.29103
1667406459,47.34799,-14.031953
1667406458,117.49934,-20.57306
1667406457,9.52762,-10.103597
1667406456,9.528787,-10.104834
1667406455,9.527124,-10.103071
1667406454,9.528457,-10.104485
1667406453,11.563013,-10.562184
1667406452,15.412686,-11.429497
1667406451,9.527969,-10.103967
1667406450,9.527929,-10.103925
1667406449,9.527733,-10.103717
1667406448,9.634743,-10.210735
1667406447,10.727731,-11.361321
1667406446,12.102213,-12.844673
1667406445,9.52775,-10.103735
1667406444,9.528104,-10.10411
1667406443,9.527357,-10.103318
1667406442,9.528187,-10.104199
1667406441,9.52773,-10.103713
1667406440,9.527978,-10.103976
1667406439,9.527781,-10.103767
1667406438,9.651615,-10.186525
1667406437,9.884701,-10.34181
1667406436,9.691874,-10.185645
1667406435,10.086446,-10.424681
1667406434,9.766002,-10.342015
1667406433,9.60938,-10.18533
1667406432,10.033517,-10.72465
1667406431,10.30133,-11.21026
1667406430,9.527228,-10.103181
1667406429,10.430812,-11.064393
1667406428,12.138158,-12.880635
1667406427,9.527054,-10.102997
1667406426,9.527956,-10.103954
1667406425,9.528649,-10.104688
1667406424,9.52753,-10.103502
1667406423,9.528348,-10.104369
1667406422,9.527852,-10.103843
1667406421,9.527915,-10.10391
1667406420,9.528182,-10.104193
1667406419,9.528108,-10.104115
1667406418,9.528141,-10.10415
1667406417,9.634625,-10.210609
1667406416,9.837426,-10.413445
1667406415,9.530186,-10.106318
1667406414,9.526062,-10.101945
1667406413,9.528329,-10.104349
1667406412,9.52702,-10.10296
1667406411,9.527999,-10.103999
1667406410,9.527819,-10.103808
1667406409,9.528955,-10.105013
1667406408,9.52915,-10.10522
1667406407,9.846271,-10.339924
1667406406,10.455823,-10.794054
1667406405,12.906079,-10.736451
1667406404,19.30147,-11.93507
1667406403,9.528629,-10.104667
1667406402,13.013549,-10.841513
1667406401,19.61007,-12.23808
1667406400,9.529095,-10.105161
1667406399,9.530244,-10.10638
1667406398,9.608208,-10.101828
1667406397,9.846928,-10.185122
1667406396,9.766033,-10.342048
1667406395,9.528056,-10.10406
1667406394,9.528229,-10.104243
1667406393,9.651113,-10.185983
1667406392,9.884825,-10.341951
1667406391,9.527564,-10.103537
1667406390,9.527803,-10.103791
1667406389,9.528049,-10.104051
1667406388,9.528631,-10.104669
1667406387,16.87665,-20.3641
1667406386,48.97387,-65.81001
1667406385,79.8702,-110.75626
1667406384,79.06109,-109.44637
1667406383,80.68274,-111.54233
1667406382,79.84894,-110.97514
1667406381,79.70489,-110.77494
1667406380,79.79742,-110.90353
1667406379,79.53827,-110.53217
1667406378,79.06717,-109.85627
1667406377,80.04256,-111.25542
1667406376,83.75597,-11732.609
1667406375,155.95098,-43686.31
1667406374,177.346,-28700.16
1667406373,26.16978,-16678.872
1667406372,127.55969,-35887.39
1667406371,185.468,-28710.55
1667406370,30.79626,-16683.568
1667406369,103.56024,-35930.23
1667406368,152.97564,-28787.91
1667406367,29.55932,-16068.077
1667406366,47.07832,-20635.3
1667406365,99.55292,-15854.214
1667406364,196.8396,-28667.47
1667406363,138.616,-16663.132
1667406362,39.47016,-24023.65
1667406361,32.84173,-16622.433
1667406360,47.83921,-23875.67
1667406359,50.92527,-16538.714
1667406358,54.62902,-23670.21
1667406357,50.97458,-16327.291
1667406356,65.11262,-34010.83
1667406355,50.53796,-24350.8
1667406354,24.50236,-4920.394
1667406353,40.50376,-15990.821
1667406352,57.02265,-35456.67
1667406351,52.50009,-27478.46
1667406350,41.46878,-15850.301
1667406349,52.50917,-23304.49
1667406348,40.10507,-15619.463
1667406347,52.16978,-31684.83
1667406346,49.38233,-22082.21
1667406345,71.66297,-20467.66
1667406344,108.34569,-26851
1667406343,39.83559,-15424.202
1667406342,119.68207,-23136.56
1667406341,174.4966,-15283.902
1667406340,52.9665,-35029.92
1667406339,57.38047,-26285.5
1667406338,41.305,-14993.023
1667406337,46.89814,-22897.75
1667406336,37.28736,-14792.81
1667406335,42.88523,-22840.34
1667406334,37.2934,-14736.056
1667406333,56.13468,-34584.21
1667406332,57.01266,-25255.45
1667406331,40.61739,-14342.565
1667406330,39.31285,-22568.81
1667406329,37.62938,-14550.933
1667406328,42.65252,-22063.47
1667406327,40.91713,-14027.268
1667406326,58.1728,-34178.47
1667406325,45.86225,-24174.6
1667406324,43.14155,-13699.686
1667406323,48.00409,-22156.17
1667406322,41.83983,-13538.307
1667406321,66.38195,-34099.51
1667406320,52.93834,-23482.57
1667406319,45.06157,-13293.001
1667406318,51.5739,-21995.59
1667406317,51.2182,-26146.03
1667406316,94.93187,-76089
1667406315,104.96907,-97311.74
1667406314,113.0189,-102329.82
1667406313,137.99215,-108661.41
1667406312,174.0434,-130607.66
1667406311,156.58406,-128078.7
1667406310,170.0384,-131455.42
1667406309,170.405,-126986.14
1667406308,139.75382,-125298.46
1667406307,152.40066,-131844.3
1667406306,163.60452,-144787.59
1667406305,124.03154,-120291.35
1667406304,135.71954,-126607.15
1667406303,135.9364,-138849.74
1667406302,149.6976,-122843.09
1667406301,162.55638,-142081.43
1667406300,138.48427,-132809.55
1667406299,121.15743,-117440.24
1667406298,143.01586,-136130.48
1667406297,148.74386,-134424.44
1667406296,135.82725,-131708.97
1667406295,142.42725,-127939.82
1667406294,154.46001,-125923.85
1667406293,152.27757,-125887.42
1667406292,131.37685,-123314.69
1667406291,125.46654,-127566.81
1667406290,139.85637,-129700.97
1667406289,135.23606,-120641.85
1667406288,130.39692,-135730.29
1667406287,115.48689,-128796.68
1667406286,181.2951,-95904.54
1667406285,250.8152,-24891.61
1667406284,18.54001,-10.598431
1667406283,8.891487,-8.850378
1667406282,9.124634,-9.005743
1667406281,12.256098,-9.506985
1667406280,19.01539,-10.994411
1667406279,9.240471,-9.02656
1667406278,8.768207,-8.768207
1667406277,8.767776,-8.767776
1667406276,8.767732,-8.767732
1667406275,8.768402,-8.768402
1667406274,8.768361,-8.768361
1667406273,8.767898,-8.767898
1667406272,8.767518,-8.767518
1667406271,8.768023,-8.768023
1667406270,8.771894,-8.771894
1667406269,8.773203,-8.773203
1667406268,8.759068,-8.759068
1667406267,8.76928,-8.76928
1667406266,8.876182,-8.876182
1667406265,9.074595,-9.074595
1667406264,8.767761,-8.767761
1667406263,8.768602,-8.768602
1667406262,8.767137,-8.767137
1667406261,8.932519,-8.850313
1667406260,9.409131,-9.089093
1667406259,9.244634,-9.006879
1667406258,8.766371,-8.766371
1667406257,8.785096,-8.785096
1667406256,17.89084,-431.876
1667406255,56.47474,-2399.397
1667406254,97.56681,-4433.935
1667406253,110.05307,-3609.202
1667406252,120.61332,-3154.772
1667406251,105.99021,-2877.749
1667406250,100.90982,-2821.47
1667406249,100.0707,-2485.616
1667406248,106.90636,-3611.664
1667406247,109.13963,-5126.563
1667406246,109.67608,-2850.876
1667406245,107.48084,-4421.896
1667406244,106.88442,-3015.681
1667406243,104.39809,-3990.34
1667406242,122.68842,-3475.313
1667406241,115.37136,-4678.141
1667406240,106.08064,-4081.937
1667406239,113.34352,-3590.377
1667406238,112.36758,-4473.707
1667406237,112.50651,-3506.145
1667406236,123.97035,-2555.386
1667406235,125.3697,-2792.033
1667406234,108.08756,-3296.871
1667406233,102.86533,-2190.112
1667406232,117.54591,-2826.795
1667406231,128.48517,-2517.708
1667406230,110.06614,-3828.82
1667406229,115.12472,-5436.042
1667406228,115.84522,-10936.749
1667406227,110.68859,-12023.169
1667406226,110.63843,-8030.842
1667406225,110.01234,-10387.755
1667406224,133.66784,-5594.515
1667406223,128.89901,-10483.832
1667406222,108.52668,-4804.498
1667406221,137.50636,-3673.04
1667406220,159.97835,-2270.494
1667406219,117.00727,-2780.924
1667406218,129.91726,-3563.021
1667406217,130.54153,-2568.458
1667406216,130.99757,-2315.006
1667406215,132.69431,-4311.767
1667406214,146.22312,-9380.659
1667406213,134.02264,-6806.122
1667406212,134.98036,-2645.57
1667406211,136.8764,-2520.659
1667406210,131.77432,-2383.917
1667406209,143.09933,-1518.969
1667406208,152.70716,-1927.58
1667406207,141.23876,-1956.594
1667406206,133.53554,-2128.863
1667406205,135.74111,-1345.8652
1667406204,136.32667,-1963.792
1667406203,148.03438,-3222.871
1667406202,139.24042,-2157.232
1667406201,154.40452,-1768.471
1667406200,158.57007,-1522.1163
1667406199,154.66551,-1824.721
1667406198,158.71464,-2641.225
1667406197,165.28089,-2332.145
1667406196,163.46506,-1578.3855
1667406195,162.44769,-2184.451
1667406194,165.97067,-2229.069
1667406193,179.563,-1465.9903
1667406192,171.577,-1350.0107
1667406191,162.14939,-1300.2
1667406190,152.60392,-1246.0398
1667406189,170.5216,-1335.5195
1667406188,174.0313,-1858.209
1667406187,173.6695,-2208.028
1667406186,175.3641,-800.4802
1667406185,178.0018,-815.2993
1667406184,172.789,-725.236
1667406183,176.0434,-668.3945
1667406182,176.5677,-617.7657
1667406181,132.15938,-364.7988
1667406180,22.31584,-33.39619
1667406179,10.101795,-10.415327
1667406178,9.829057,-10.333717
1667406177,9.626732,-10.202724
1667406176,9.994141,-10.487951
1667406175,9.99603,-10.334283
1667406174,9.519682,-10.095663
1667406173,9.519901,-10.095895
1667406172,9.519221,-10.095173
1667406171,9.520567,-10.096602
1667406170,9.520126,-10.096134
1667406169,9.519514,-10.095484
1667406168,9.68453,-10.178326
1667406167,9.995908,-10.334139
1667406166,9.519704,-10.095686
1667406165,12.898988,-10.729078
1667406164,19.29327,-11.927191
1667406163,9.519404,-10.095368
1667406162,9.787461,-10.478571
1667406161,13.671829,-11.832791
1667406160,19.293,-11.920948
1667406159,9.520249,-10.096264
1667406158,9.520247,-10.096262
1667406157,9.519212,-10.095164
1667406156,9.52017,-10.09618
