time,node
1667415008,77.76562
1667415007,77.76562
1667415006,77.76562
1667415005,77.50781
1667415004,77.50781
1667415003,77.50781
1667415002,77.50781
1667415001,78.44141
1667415000,78.18359
1667414999,78.18359
1667414998,78.18359
1667414997,78.18359
1667414996,78.18359
1667414995,77.92578
1667414994,77.92578
1667414993,77.92578
1667414992,77.92578
1667414991,77.92578
1667414990,77.67188
1667414989,77.67188
1667414988,77.67188
1667414987,77.67188
1667414986,77.41797
1667414985,77.41797
1667414984,78.41797
1667414983,78.41797
1667414982,78.16016
1667414981,78.16016
1667414980,78.16016
1667414979,78.16016
1667414978,78.16016
1667414977,77.91016
1667414976,77.91016
1667414975,77.91016
1667414974,77.91016
1667414973,77.91016
1667414972,77.66016
1667414971,77.66016
1667414970,77.66016
1667414969,77.66016
1667414968,77.46484
1667414967,77.46484
1667414966,78.71484
1667414965,108.01562
1667414964,108.01562
1667414963,108.01562
1667414962,108.01562
1667414961,108.00781
1667414960,108.00781
1667414959,108.00781
1667414958,108.00781
1667414957,108.00781
1667414956,108.00781
1667414955,107.89844
1667414954,102.83984
1667414953,102.83984
1667414952,102.83984
1667414951,102.83984
1667414950,102.83984
1667414949,98.99609
1667414948,105.16797
1667414947,101.24609
1667414946,112.76953
1667414945,104.42969
1667414944,111.00781
1667414943,111.48438
1667414942,111.40625
1667414941,106.25391
1667414940,109.44141
1667414939,105.62109
1667414938,99.23438
1667414937,101.99609
1667414936,105.58594
1667414935,101.67969
1667414934,101.67969
1667414933,115.60938
1667414932,112.90625
1667414931,99.23047
1667414930,100.1875
1667414929,108.44531
1667414928,112.62891
1667414927,104.10547
1667414926,105.23828
1667414925,100.70703
1667414924,103.94141
1667414923,97.09375
1667414922,99.34766
1667414921,110.83984
1667414920,99.73828
1667414919,95.80859
1667414918,106.81641
1667414917,101.17188
1667414916,106.91406
1667414915,100.875
1667414914,107.40234
1667414913,110.09766
1667414912,101.63672
1667414911,128.44531
1667414910,119.02344
1667414909,113.60156
1667414908,110.87109
1667414907,120.96875
1667414906,111.90234
1667414905,109.84375
1667414904,106.875
1667414903,102.69531
1667414902,107.01953
1667414901,103.45703
1667414900,102.69531
1667414899,108.98438
1667414898,112.36328
1667414897,115.61719
1667414896,107.78125
1667414895,111.82031
1667414894,110.35547
1667414893,105.55469
1667414892,110.53125
1667414891,110.80859
1667414890,120.17188
1667414889,120.49219
1667414888,128.17188
1667414887,107.94531
1667414886,103.48047
1667414885,114.14844
1667414884,88.17188
1667414883,92.41016
1667414882,79.31641
1667414881,92.89062
1667414880,107.58594
1667414879,101.22656
1667414878,99.26172
1667414877,94.00781
1667414876,102.41016
1667414875,97.17188
1667414874,95.89062
1667414873,96.11328
1667414872,86.47656
1667414871,97.91797
1667414870,90.8125
1667414869,85.36328
1667414868,91.35547
1667414867,95.55078
1667414866,101.69531
1667414865,114.67188
1667414864,86.65234
1667414863,79.04297
1667414862,88.51953
1667414861,82.42578
1667414860,99.28125
1667414859,96.04297
1667414858,85.63281
1667414857,97.64062
1667414856,92.26953
1667414855,86.96875
1667414854,91.44922
1667414853,96.12891
1667414852,84.54297
1667414851,90.15234
1667414850,97.89453
1667414849,97.89453
1667414848,97.89453
1667414847,97.89453
1667414846,97.89453
1667414845,92.75
1667414844,90.94531
1667414843,91.15625
1667414842,90.36328
1667414841,100.66406
1667414840,97.48047
1667414839,93.29688
1667414838,87.24609
1667414837,85.64062
1667414836,85.64062
1667414835,93.57422
1667414834,93.64844
1667414833,96.23047
1667414832,85.8125
1667414831,85.75
1667414830,98.01172
1667414829,88.35156
1667414828,91.07031
1667414827,92.10938
1667414826,94.21875
1667414825,89.04297
1667414824,90.48828
1667414823,86.39453
1667414822,87.08594
1667414821,85.74609
1667414820,86.16406
1667414819,91.04297
1667414818,84.96094
1667414817,87.54297
1667414816,87.94531
1667414815,82.74609
1667414814,83.66016
1667414813,87.92578
1667414812,81.07812
1667414811,81.125
1667414810,85.13281
1667414809,83.58984
1667414808,81.85938
1667414807,76.76172
1667414806,81.58594
1667414805,70.02344
1667414804,55.78125
1667414803,59.64062
1667414802,54.24609
1667414801,54.25391
1667414800,52.58984
1667414799,49.77344
1667414798,39.67969
1667414797,39.42188
1667414796,39.39062
1667414795,37.46094
1667414794,37.46875
1667414793,35.96484
1667414792,35.96484
1667414791,35.96484
1667414790,35.96484
1667414789,36.04688
1667414788,34.72656
1667414787,34.32031
1667414786,34.32031
1667414785,32.53125
1667414784,31.76562
1667414783,31.25781
1667414782,31.25781
1667414781,30.74609
1667414780,28.17969
1667414779,27.85938
1667414778,27.08594
1667414777,26.61328
1667414776,26.35547
1667414775,26.10938
1667414774,26.10938
1667414773,25.59375
1667414772,25.33984
1667414771,25.08984
1667414770,24.57812
1667414769,24.07812
1667414768,23.57031
1667414767,22.54297
1667414766,21.00391
1667414765,20.25
1667414764,19.50781
1667414763,19.00781
1667414762,18.26172
1667414761,17.26562
1667414760,14.363281
1667414759,14.035156
1667414758,13.777344
1667414757,13.777344
1667414756,13.777344
1667414755,13.777344
1667414754,13.527344
1667414753,13.527344
1667414752,13.527344
1667414751,14.046875
1667414750,14.046875
1667414749,14.046875
1667414748,13.796875
1667414747,13.796875
1667414746,13.796875
1667414745,13.796875
1667414744,13.539062
1667414743,13.539062
1667414742,13.539062
1667414741,13.28125
1667414740,14.222656
1667414739,14.222656
1667414738,13.96875
1667414737,13.96875
1667414736,13.96875
1667414735,13.710938
1667414734,13.710938
1667414733,13.710938
1667414732,13.710938
1667414731,13.457031
1667414730,13.457031
1667414729,13.457031
