time,node
1667415008,231.4219
1667415007,231.2266
1667415006,231.2227
1667415005,231.2227
1667415004,230.9922
1667415003,231.0391
1667415002,231.2695
1667415001,231.2695
1667415000,231.0781
1667414999,230.8867
1667414998,230.8828
1667414997,230.8828
1667414996,230.8828
1667414995,231.0195
1667414994,231.0117
1667414993,231.2617
1667414992,231.2617
1667414991,231.3086
1667414990,231.3242
1667414989,231.3242
1667414988,231.0859
1667414987,231.1328
1667414986,231.1289
1667414985,230.9648
1667414984,230.9648
1667414983,231.0117
1667414982,231.0039
1667414981,231.0039
1667414980,231.0039
1667414979,231.0508
1667414978,230.8008
1667414977,230.8008
1667414976,230.8008
1667414975,230.8477
1667414974,231.9805
1667414973,232.0117
1667414972,231.7852
1667414971,232.1406
1667414970,232.1328
1667414969,232.1289
1667414968,232.0898
1667414967,232.4258
1667414966,231.3164
1667414965,231.3555
1667414964,231.3867
1667414963,231.4727
1667414962,231.1602
1667414961,231.6602
1667414960,231.6641
1667414959,231.6953
1667414958,231.7031
1667414957,231.6914
1667414956,231.9375
1667414955,234.3828
1667414954,241.9688
1667414953,242.0234
1667414952,242.3477
1667414951,242.832
1667414950,242.7266
1667414949,241.9453
1667414948,241.9961
1667414947,243.1953
1667414946,256.9844
1667414945,257.3828
1667414944,258.3906
1667414943,255.4727
1667414942,256.125
1667414941,253.5859
1667414940,251.3789
1667414939,257.1719
1667414938,254.1211
1667414937,263.207
1667414936,252.0469
1667414935,254.582
1667414934,246.4688
1667414933,250.3281
1667414932,251.7539
1667414931,253.668
1667414930,252.2031
1667414929,250.5234
1667414928,251.7227
1667414927,253.1719
1667414926,251.4375
1667414925,254.543
1667414924,255.5469
1667414923,253.2461
1667414922,248.1055
1667414921,252.7344
1667414920,252.8555
1667414919,247.7422
1667414918,251.9297
1667414917,253.4102
1667414916,243.2539
1667414915,247.7891
1667414914,251.6133
1667414913,253.6055
1667414912,243.5391
1667414911,247.7148
1667414910,247.5742
1667414909,253.1992
1667414908,245.1055
1667414907,249.2852
1667414906,251.1094
1667414905,255.1016
1667414904,249.4609
1667414903,250.0469
1667414902,242.793
1667414901,247.4883
1667414900,255.4102
1667414899,250.5859
1667414898,241.3984
1667414897,246.1016
1667414896,250.375
1667414895,249.8906
1667414894,245.543
1667414893,248.9883
1667414892,244.0273
1667414891,247.0938
1667414890,242.625
1667414889,245.9883
1667414888,238.8125
1667414887,244.3594
1667414886,248.6562
1667414885,246.3594
1667414884,239.7734
1667414883,245.4766
1667414882,242.1836
1667414881,239.1797
1667414880,243.75
1667414879,241.1836
1667414878,240.3477
1667414877,241.6172
1667414876,241.0586
1667414875,241.0742
1667414874,239.8242
1667414873,237.793
1667414872,238.4961
1667414871,239.0039
1667414870,237.7148
1667414869,238.2344
1667414868,237.8945
1667414867,237.418
1667414866,236.418
1667414865,239.1094
1667414864,237.6719
1667414863,236.082
1667414862,234.4453
1667414861,239.1797
1667414860,236.2656
1667414859,237.0117
1667414858,235.4062
1667414857,235.0273
1667414856,246.0703
1667414855,245.1484
1667414854,244.1719
1667414853,243.1719
1667414852,242.875
1667414851,237.6992
1667414850,235.0039
1667414849,234.2969
1667414848,233.8164
1667414847,232.6094
1667414846,234.8398
1667414845,233.9062
1667414844,232.8555
1667414843,232.7578
1667414842,231.3398
1667414841,232.6289
1667414840,230.957
1667414839,230.1719
1667414838,231.9258
1667414837,230.4688
1667414836,228.8672
1667414835,228.3555
1667414834,231.0469
1667414833,230.2227
1667414832,229.5742
1667414831,228.8906
1667414830,238.6719
1667414829,238.7891
1667414828,244.4531
1667414827,238.4766
1667414826,238.8789
1667414825,232.8164
1667414824,238.6133
1667414823,230.6562
1667414822,243.0547
1667414821,234.3516
1667414820,235.3164
1667414819,230.9062
1667414818,228.6328
1667414817,236.2539
1667414816,232.5664
1667414815,233.4219
1667414814,235.332
1667414813,229.6172
1667414812,231.3633
1667414811,222.2422
1667414810,229.1211
1667414809,224.8633
1667414808,225.9844
1667414807,228.168
1667414806,226.125
1667414805,223.2734
1667414804,221.8477
1667414803,226.6367
1667414802,219.9492
1667414801,224.8438
1667414800,222.8438
1667414799,217.5234
1667414798,219.0352
1667414797,217.25
1667414796,219.2305
1667414795,216.6289
1667414794,219.6953
1667414793,219.168
1667414792,218.3281
1667414791,218.6445
1667414790,219.2578
1667414789,216.7773
1667414788,216.5117
1667414787,220.8008
1667414786,219.0742
1667414785,219.1914
1667414784,216.2891
1667414783,214.7188
1667414782,218.6719
1667414781,215.1211
1667414780,217.5508
1667414779,217.5195
1667414778,218.9453
1667414777,216.5508
1667414776,214.8398
1667414775,218.0625
1667414774,215.3828
1667414773,216.9844
1667414772,215.3828
1667414771,211.5
1667414770,215.5742
1667414769,213.3125
1667414768,210.3711
1667414767,214.2578
1667414766,211.4414
1667414765,209.0078
1667414764,211.3438
1667414763,212.1719
1667414762,207.1758
1667414761,204.3594
1667414760,201.1094
1667414759,199.418
1667414758,199.3555
1667414757,199.3125
1667414756,199.2656
1667414755,199.2305
1667414754,199.5625
1667414753,199.5078
1667414752,199.4531
1667414751,199.4219
1667414750,199.3867
1667414749,199.3516
1667414748,199.3008
1667414747,199.2656
1667414746,199.2266
1667414745,199.1602
1667414744,199.1055
1667414743,199.0742
1667414742,199.0273
1667414741,198.9844
1667414740,198.8867
1667414739,199.3359
1667414738,199.2734
1667414737,199.2266
1667414736,199.1953
1667414735,199.3438
1667414734,199.2773
1667414733,199.2305
1667414732,199.1914
1667414731,199.1836
1667414730,199.1328
1667414729,199.0781
