time,received,sent
1667415009,29.5188,-26.06287
1667415008,29.30976,-25.85402
1667415007,29.31049,-25.85467
1667415006,29.31395,-25.85772
1667415005,29.31311,-25.85698
1667415004,29.53419,-26.23561
1667415003,29.86707,-26.70085
1667415002,29.57503,-26.11979
1667415001,33.96689,-26.72348
1667415000,37.8833,-27.45444
1667414999,29.31161,-25.85566
1667414998,29.31124,-25.85533
1667414997,29.30841,-25.85283
1667414996,29.31256,-25.85649
1667414995,29.31367,-25.85747
1667414994,29.31366,-25.85747
1667414993,29.31307,-25.85694
1667414992,29.31307,-25.85695
1667414991,29.31184,-25.85586
1667414990,33.96192,-26.71664
1667414989,37.88452,-27.44998
1667414988,29.68504,-26.11623
1667414987,29.99108,-26.32835
1667414986,29.31217,-25.85615
1667414985,29.30895,-25.85331
1667414984,29.3134,-25.85724
1667414983,29.31687,-25.86029
1667414982,29.31159,-25.85564
1667414981,29.31306,-25.85693
1667414980,29.30168,-25.8459
1667414979,29.28428,-25.82872
1667414978,29.28991,-25.83368
1667414977,29.28588,-25.83013
1667414976,29.2887,-25.83261
1667414975,29.28603,-25.83026
1667414974,29.29097,-25.83462
1667414973,29.43928,-25.98271
1667414972,29.55694,-26.10101
1667414971,29.40111,-25.94506
1667414970,29.49573,-26.03969
1667414969,29.28364,-25.82815
1667414968,29.28704,-25.83115
1667414967,52.24965,-45.99805
1667414966,161.79831,-143.04638
1667414965,287.1623,-254.8663
1667414964,291.021,-258.4286
1667414963,365.5708,-324.2453
1667414962,517.5618,-459.165
1667414961,545.6368,-484.2588
1667414960,536.1462,-475.8716
1667414959,574.2741,-509.9672
1667414958,698.4817,-620.3372
1667414957,29150.61,-14991.773
1667414956,62548.48,-32578.71
1667414955,49880.34,-26828.73
1667414954,69830.52,-35462.17
1667414953,44617.42,-22802.1
1667414952,105324.76,-53518.53
1667414951,148738.87,-75882.88
1667414950,93499.53,-48155.83
1667414949,100464.34,-50898.59
1667414948,153066.61,-77953.65
1667414947,147066.81,-76058.77
1667414946,116869.67,-60637.95
1667414945,195182.3,-99051.41
1667414944,252031.5,-130347.06
1667414943,243582.2,-127708.04
1667414942,227983.4,-114882.81
1667414941,251075.6,-126492.62
1667414940,275792.9,-138994.21
1667414939,197875.6,-99829.18
1667414938,243974.8,-123024.81
1667414937,233497.9,-117835.93
1667414936,209132.1,-105699.53
1667414935,257158.7,-130028.58
1667414934,198098.2,-99929.03
1667414933,274376.7,-138338.68
1667414932,273470.1,-137985.15
1667414931,269749.3,-136049.82
1667414930,196670.7,-99201.64
1667414929,250472.3,-126345.41
1667414928,277342.4,-139804.64
1667414927,287141.1,-144834.97
1667414926,242407.1,-122362.34
1667414925,249933.6,-126107.6
1667414924,258792.4,-130537.3
1667414923,209989.8,-106016.05
1667414922,215166.7,-108649.48
1667414921,275874.6,-139210.04
1667414920,214400,-108183.07
1667414919,191248.9,-96483.34
1667414918,242791.6,-123321.5
1667414917,249334.4,-127325.27
1667414916,234561.9,-118209.16
1667414915,242326.6,-122128.96
1667414914,250588.4,-126487.42
1667414913,274402.2,-138442.59
1667414912,244741.4,-123385.63
1667414911,235199.2,-118662.98
1667414910,230820.8,-116421.96
1667414909,234840.8,-118340.3
1667414908,228593.6,-115269.28
1667414907,242826.2,-122410.44
1667414906,239004.4,-120621.34
1667414905,238317.9,-120235.26
1667414904,244085.8,-123143.38
1667414903,222475.2,-112275.1
1667414902,259911.5,-131151.85
1667414901,213554.4,-107744.12
1667414900,246757,-124332.44
1667414899,224545,-113159.62
1667414898,203917.4,-102840.36
1667414897,190855.9,-96258.64
1667414896,276795.8,-139530.57
1667414895,368434.6,-185696.3
1667414894,371218.9,-187057.6
1667414893,340576.2,-173328.5
1667414892,418227.8,-214041.5
1667414891,409014.2,-206370
1667414890,415989.2,-209822.3
