time,received,sent
1667461023,8.768046,-8.768046
1667461022,8.872941,-8.767406
1667461021,9.089204,-8.874739
1667461020,8.982933,-8.982933
1667461019,8.767735,-8.767735
1667461018,8.76803,-8.76803
1667461017,8.767897,-8.767897
1667461016,8.767625,-8.767625
1667461015,9.60882,-9.461066
1667461014,12.318299,-11.996941
1667461013,12.643002,-12.600114
1667461012,9.15181,-9.046227
1667461011,9.087121,-8.872704
1667461010,8.983013,-8.983013
1667461009,8.76843,-8.76843
1667461008,8.768068,-8.768068
1667461007,8.769142,-8.769142
1667461006,8.767555,-8.767555
1667461005,8.766918,-8.766918
1667461004,13.141438,-9.580904
1667461003,17.65049,-10.419026
1667461002,8.767149,-8.767149
1667461001,8.768629,-8.768629
1667461000,9.863796,-9.84268
1667460999,12.69403,-12.492812
1667460998,16.736891,-12.852178
1667460997,17.92972,-10.692771
1667460996,8.767251,-8.767251
1667460995,8.767227,-8.767227
1667460994,8.768868,-8.768868
1667460993,8.768024,-8.768024
1667460992,8.767524,-8.767524
1667460991,8.768254,-8.768254
1667460990,8.7689,-8.7689
1667460989,8.767913,-8.767913
1667460988,8.766657,-8.766657
1667460987,9.090033,-9.227231
1667460986,9.422816,-9.701618
1667460985,9.716739,-9.568901
1667460984,12.531946,-12.210666
1667460983,12.6412,-12.598319
1667460982,9.046467,-9.046467
1667460981,8.767168,-8.767168
1667460980,8.768586,-8.768586
1667460979,8.768701,-8.768701
1667460978,8.767279,-8.767279
1667460977,8.767968,-8.767968
1667460976,8.768288,-8.768288
1667460975,8.872882,-8.872882
1667460974,8.98186,-8.98186
1667460973,8.769383,-8.769383
1667460972,8.878542,-8.95244
1667460971,8.992223,-9.142325
1667460970,9.747096,-9.736542
1667460969,12.566079,-12.386267
1667460968,12.577681,-12.256046
1667460967,9.046205,-9.046205
1667460966,8.767807,-8.767807
1667460965,8.767599,-8.767599
1667460964,8.883599,-8.873045
1667460963,9.120305,-9.088304
1667460962,9.004469,-8.983023
1667460961,8.76812,-8.76812
1667460960,8.767769,-8.767769
1667460959,8.768408,-8.768408
1667460958,8.768177,-8.768177
1667460957,8.767639,-8.767639
1667460956,8.978668,-8.88367
1667460955,10.037381,-9.696656
1667460954,12.319133,-11.997744
1667460953,12.853238,-12.704779
1667460952,9.475248,-9.260818
1667460951,8.769269,-8.769269
1667460950,8.768392,-8.768392
1667460949,8.766533,-8.766533
1667460948,8.768494,-8.768494
1667460947,8.7678,-8.7678
1667460946,8.767865,-8.767865
1667460945,8.768315,-8.768315
1667460944,13.141076,-9.580653
1667460943,17.65049,-10.418918
1667460942,8.974336,-8.905707
1667460941,9.186078,-9.263147
1667460940,9.042101,-9.344423
1667460939,11.732986,-11.42255
1667460938,33.37481,-17.68323
1667460937,48.81814,-17.07739
1667460936,8.767986,-8.767986
1667460935,8.767946,-8.767946
1667460934,8.767533,-8.767533
1667460933,8.768762,-8.768762
1667460932,8.768068,-8.768068
1667460931,8.767111,-8.767111
1667460930,8.768794,-8.768794
1667460929,8.883681,-8.873123
1667460928,9.002377,-8.980935
1667460927,8.768605,-8.768605
1667460926,8.863792,-8.863792
1667460925,8.960815,-8.960815
1667460924,11.45145,-11.145199
1667460923,14.213237,-13.591487
1667460922,8.767467,-8.767467
1667460921,8.766779,-8.766779
1667460920,8.980411,-8.874841
1667460919,9.197485,-8.983055
1667460918,8.76779,-8.76779
1667460917,8.767332,-8.767332
1667460916,8.873798,-8.873798
1667460915,8.983201,-8.983201
1667460914,8.767738,-8.767738
1667460913,8.767509,-8.767509
1667460912,8.768003,-8.768003
1667460911,8.768726,-8.768726
1667460910,9.042263,-8.905
1667460909,11.974838,-11.664429
1667460908,14.150689,-14.08636
1667460907,8.768279,-8.768279
1667460906,8.767419,-8.767419
1667460905,8.76773,-8.76773
1667460904,8.767076,-8.767076
1667460903,8.768953,-8.768953
1667460902,8.768389,-8.768389
1667460901,8.767039,-8.767039
1667460900,8.767959,-8.767959
1667460899,8.769072,-8.769072
1667460898,8.76724,-8.76724
1667460897,8.973748,-9.121525
1667460896,9.186387,-9.48661
1667460895,8.768576,-8.768576
1667460894,11.45014,-11.14393
1667460893,14.530855,-13.803473
1667460892,9.410941,-9.196533
1667460891,8.768103,-8.768103
1667460890,8.767458,-8.767458
1667460889,8.768287,-8.768287
1667460888,8.767415,-8.767415
1667460887,8.767746,-8.767746
1667460886,8.767323,-8.767323
1667460885,8.767835,-8.767835
1667460884,13.13962,-9.580806
1667460883,17.65284,-10.419658
1667460882,8.767757,-8.767757
1667460881,8.768655,-8.768655
1667460880,8.768693,-8.768693
1667460879,11.585964,-11.417073
1667460878,18.86561,-14.9603
1667460877,17.65189,-10.414089
1667460876,8.884445,-8.873888
1667460875,9.003871,-8.982428
1667460874,8.7686,-8.7686
1667460873,8.768357,-8.768357
1667460872,8.767502,-8.767502
1667460871,8.76834,-8.76834
1667460870,8.767976,-8.767976
1667460869,8.767692,-8.767692
1667460868,8.767965,-8.767965
1667460867,8.767467,-8.767467
1667460866,8.883746,-8.873192
1667460865,9.00476,-8.983315
1667460864,11.449163,-11.143014
1667460863,14.215014,-13.593162
1667460862,8.76758,-8.76758
1667460861,8.768134,-8.768134
1667460860,8.768506,-8.768506
1667460859,8.766763,-8.766763
1667460858,8.767552,-8.767552
1667460857,8.768795,-8.768795
1667460856,8.874075,-8.874075
1667460855,8.98241,-8.98241
1667460854,8.767918,-8.767918
1667460853,8.767931,-8.767931
1667460852,8.974072,-9.121884
1667460851,9.186815,-9.487003
1667460850,8.767584,-8.767584
1667460849,11.449146,-11.142981
1667460848,14.320793,-13.698958
1667460847,8.982133,-8.982133
1667460846,8.768232,-8.768232
1667460845,8.767133,-8.767133
1667460844,8.766803,-8.766803
1667460843,8.768257,-8.768257
1667460842,8.769354,-8.769354
1667460841,8.768131,-8.768131
1667460840,8.766648,-8.766648
1667460839,8.76834,-8.76834
1667460838,8.768581,-8.768581
1667460837,8.768387,-8.768387
1667460836,8.767852,-8.767852
1667460835,8.767067,-8.767067
1667460834,46.86358,-52.35358
