time,received,sent
1667460525,10.02276,-9.999942
1667460524,12.909952,-10.047199
1667460523,19.35269,-12.156789
1667460522,9.497556,-9.29221
1667460521,9.271307,-9.26213
1667460520,10.023662,-10.000839
1667460519,10.187163,-9.955349
1667460518,16.35854,-12.633269
1667460517,18.8707,-11.043786
1667460516,9.272887,-9.263707
1667460515,10.023206,-10.000386
1667460514,8.979478,-9.052926
1667460513,9.586988,-9.6869
1667460512,10.059793,-10.031144
1667460511,10.762586,-11.192694
1667460510,10.251844,-10.229024
1667460509,9.848868,-9.812142
1667460508,11.748604,-11.574699
1667460507,9.496307,-9.290937
1667460506,9.273025,-9.263849
1667460505,10.023824,-10.001
1667460504,9.716528,-9.613322
1667460503,11.544226,-11.204842
1667460502,9.796546,-9.591135
1667460501,9.272512,-9.263332
1667460500,10.023165,-10.000345
1667460499,9.328561,-8.988809
1667460498,10.455909,-9.813834
1667460497,10.057766,-10.736321
1667460496,10.761651,-11.191745
1667460495,10.25139,-10.228569
1667460494,8.926833,-9.055353
1667460493,9.667556,-9.977853
1667460492,10.201308,-10.118817
1667460491,9.717326,-9.74799
1667460490,10.114335,-10.559345
1667460489,10.084329,-9.779146
1667460488,12.098138,-11.330137
1667460487,10.320215,-10.297398
1667460486,9.271729,-9.262548
1667460485,10.022388,-9.999569
1667460484,8.767671,-8.767671
1667460483,9.273551,-9.264371
1667460482,10.585372,-10.739268
1667460481,10.670196,-11.100302
1667460480,10.023662,-10.00084
1667460479,9.63874,-9.528545
1667460478,11.434767,-11.15178
1667460477,10.022685,-9.999867
1667460476,9.271711,-9.262534
1667460475,10.024654,-10.001832
1667460474,9.505364,-9.3287
1667460473,11.229321,-10.780808
1667460472,10.321447,-10.298625
1667460471,9.273021,-9.263838
1667460470,10.023869,-10.001052
1667460469,9.114239,-8.985758
1667460468,10.141114,-9.812414
1667460467,10.58511,-10.739
1667460466,10.668879,-11.098995
1667460465,10.023808,-10.000983
1667460464,12.69505,-9.761167
1667460463,19.04329,-11.735992
1667460462,10.02357,-10.00075
1667460461,9.271165,-9.261988
1667460460,10.023592,-10.000769
1667460459,9.855015,-9.549888
1667460458,29.08469,-14.884403
1667460457,52.57231,-19.14173
1667460456,9.271885,-9.26271
1667460455,10.12511,-10.093107
1667460454,9.018992,-8.99617
1667460453,9.273277,-9.264098
1667460452,10.586704,-10.74067
1667460451,10.991734,-11.476862
1667460450,10.82153,-10.935615
1667460449,9.637712,-9.527529
1667460448,11.433929,-11.150933
1667460447,10.201392,-10.307033
1667460446,9.901079,-10.119687
1667460445,10.600111,-10.34904
1667460444,9.804359,-9.627624
1667460443,11.109216,-10.660773
1667460442,10.02243,-9.999609
1667460441,9.274602,-9.265419
1667460440,10.02328,-10.000463
1667460439,9.114655,-8.986193
1667460438,10.140747,-9.812031
1667460437,10.585049,-10.738889
1667460436,10.761393,-11.191558
1667460435,10.252255,-10.229429
1667460434,8.927933,-9.05648
1667460433,9.666686,-9.976957
1667460432,10.022682,-9.999865
1667460431,9.273703,-9.264519
1667460430,10.02302,-10.000203
1667460429,10.158529,-9.770597
1667460428,12.821479,-11.84823
1667460427,10.251829,-10.22901
1667460426,9.272678,-9.263496
1667460425,10.023518,-10.0007
1667460424,8.767673,-8.767673
1667460423,9.272836,-9.263654
1667460422,10.585502,-10.739444
1667460421,10.67066,-11.100718
1667460420,10.021824,-9.999006
1667460419,9.636988,-9.526869
1667460418,11.435262,-11.152204
1667460417,10.023579,-10.000756
1667460416,9.273761,-9.264581
1667460415,10.023384,-10.000565
1667460414,9.626288,-9.449548
1667460413,11.405404,-10.956966
1667460412,10.02357,-10.000748
1667460411,9.273679,-9.264498
1667460410,10.023475,-10.000656
1667460409,9.115768,-8.987254
1667460408,10.139764,-9.811099
1667460407,10.586488,-10.74042
1667460406,10.670108,-11.100174
1667460405,10.297989,-10.183381
1667460404,13.38189,-10.218419
1667460403,19.13274,-11.826821
1667460402,10.42994,-10.535672
1667460401,9.718008,-10.028277
1667460400,10.022798,-9.99998
1667460399,9.976177,-9.670824
1667460398,16.045622,-12.210477
1667460397,19.39357,-11.750064
1667460396,9.274111,-9.264928
1667460395,10.023849,-10.001032
1667460394,8.765171,-8.765171
1667460393,9.27298,-9.263803
1667460392,10.586197,-10.74008
1667460391,10.671086,-11.1012
1667460390,10.022839,-10.00002
1667460389,9.637796,-9.527635
1667460388,11.435612,-11.152591
1667460387,10.022395,-9.999577
1667460386,9.273401,-9.26422
1667460385,10.023537,-10.000718
1667460384,9.625638,-9.448919
1667460383,11.407528,-10.959064
1667460382,10.022786,-9.999969
1667460381,9.271885,-9.262705
1667460380,10.024061,-10.001241
1667460379,9.116981,-8.988425
1667460378,10.137801,-9.809182
1667460377,10.585835,-10.739669
1667460376,10.670529,-11.100694
1667460375,10.115668,-10.092845
1667460374,9.154825,-9.283343
1667460373,9.667347,-9.977647
1667460372,10.023063,-10.000245
1667460371,9.446959,-9.437778
1667460370,10.456332,-10.433513
1667460369,10.067651,-9.76236
1667460368,12.501749,-11.733858
1667460367,10.021169,-9.99835
1667460366,9.27319,-9.264013
1667460365,10.124491,-10.09249
1667460364,9.019891,-8.997069
1667460363,9.273954,-9.26477
1667460362,10.584567,-10.738488
1667460361,10.671181,-11.101261
1667460360,10.021886,-9.999069
1667460359,9.638811,-9.528627
1667460358,11.434799,-11.151802
1667460357,10.201098,-10.306772
1667460356,9.719234,-10.029558
1667460355,10.022687,-9.99987
1667460354,9.626746,-9.44999
1667460353,11.406018,-10.957593
1667460352,10.021922,-9.999103
1667460351,9.274486,-9.265305
1667460350,10.123942,-10.091942
1667460349,9.366841,-9.215526
1667460348,10.140827,-9.812143
1667460347,10.685588,-10.830276
1667460346,10.92203,-11.329343
1667460345,10.023459,-10.000639
1667460344,12.696103,-9.761121
1667460343,19.04068,-11.734479
1667460342,10.022815,-9.999995
1667460341,9.273391,-9.26421
1667460340,10.023576,-10.000757
1667460339,9.974736,-9.669471
1667460338,16.046205,-12.211198
1667460337,19.39393,-11.750201
1667460336,9.271994,-9.262818
1667460335,10.023797,-10.000973
1667460334,8.767539,-8.767539
1667460333,9.272923,-9.263746
1667460332,10.58645,-10.740347
1667460331,10.991916,-11.477097
1667460330,10.821679,-10.935778
1667460329,9.637118,-9.526981
1667460328,11.435268,-11.152226
1667460327,10.023027,-10.000205
1667460326,9.273487,-9.264307
1667460325,10.02414,-10.00132
1667460324,9.625537,-9.448811
1667460323,11.406363,-10.957908
1667460322,10.023706,-10.000886
1667460321,9.27271,-9.263529
1667460320,10.022577,-9.999759
1667460319,9.11715,-8.988621
1667460318,10.231895,-9.903244
1667460317,10.812808,-10.966673
1667460316,10.762682,-11.192818
1667460315,10.251297,-10.228476
1667460314,8.926905,-9.055438
1667460313,9.666906,-9.977191
1667460312,10.200396,-10.306046
1667460311,9.719149,-10.0295
1667460310,10.023203,-10.000383
1667460309,10.251696,-9.854521
1667460308,12.956984,-11.960978
1667460307,10.023037,-10.000217
1667460306,9.271626,-9.26245
1667460305,10.023086,-10.000262
1667460304,8.769787,-8.769787
1667460303,9.273899,-9.264714
1667460302,10.583826,-10.737723
1667460301,10.6708,-11.100908
1667460300,10.022462,-9.999643
1667460299,9.519977,-9.52916
1667460298,11.138007,-11.151642
1667460297,10.205518,-10.09092
1667460296,9.729998,-9.492597
1667460295,10.023186,-10.000366
1667460294,9.625922,-9.44922
1667460293,11.40681,-10.958333
1667460292,10.021779,-9.998959
1667460291,9.27353,-9.264352
1667460290,10.023503,-10.000681
1667460289,9.116508,-8.988016
1667460288,10.140538,-9.811851
1667460287,10.584896,-10.738755
1667460286,10.669889,-11.100033
1667460285,10.023479,-10.000655
1667460284,12.696792,-9.762045
1667460283,19.04283,-11.736391
1667460282,11.811452,-12.142633
1667460281,14.050296,-15.309311
1667460280,11.24656,-12.370254
1667460279,13.322424,-13.242841
1667460278,23.18771,-18.7853
1667460277,22.71649,-15.018493
1667460276,12.458162,-12.32692
1667460275,13.268313,-12.538116
1667460274,10.74524,-10.519385
1667460273,12.33243,-12.677201
1667460272,14.961863,-14.676314
1667460271,14.087126,-14.443871
1667460270,13.609943,-13.441287
1667460269,11.74399,-11.771024
1667460268,14.082608,-14.127144
1667460267,12.384629,-12.655869
1667460266,12.257818,-12.025893
1667460265,13.609941,-14.531044
1667460264,12.013949,-11.891739
1667460263,15.03632,-14.533349
1667460262,13.291988,-13.360452
1667460261,12.300324,-12.327857
1667460260,13.032127,-13.240533
1667460259,12.150145,-12.583081
1667460258,13.116611,-13.068414
1667460257,14.144265,-13.713067
1667460256,13.520634,-14.218678
1667460255,12.784953,-13.201429
1667460254,12.306196,-12.648275
1667460253,13.510932,-14.351673
1667460252,13.301559,-13.065232
1667460251,12.652385,-12.326124
1667460250,12.732291,-13.063413
1667460249,13.146032,-12.438228
1667460248,14.684247,-14.044226
1667460247,13.734053,-13.552492
1667460246,12.304561,-11.923561
1667460245,11.683814,-12.069408
1667460244,11.795586,-11.301748
1667460243,12.245578,-12.29095
1667460242,13.299839,-12.97233
1667460241,13.183568,-12.894029
1667460240,14.723346,-15.276398
1667460239,33.34568,-29.30559
1667460238,59.11235,-49.35834
1667460237,8.867629,-8.858451
1667460236,9.120483,-9.088481
1667460235,9.019521,-8.996701
1667460234,8.767851,-8.767851
1667460233,8.886972,-8.886972
1667460232,9.063711,-9.063711
1667460231,8.768086,-8.768086
1667460230,8.768684,-8.768684
1667460229,8.768799,-8.768799
1667460228,8.768473,-8.768473
1667460227,8.766805,-8.766805
1667460226,8.768013,-8.768013
1667460225,8.767816,-8.767816
1667460224,12.542225,-9.476763
1667460223,18.3223,-10.61594
1667460222,9.401753,-9.302055
1667460221,9.214296,-9.53382
1667460220,8.768234,-8.768234
1667460219,9.13032,-9.286398
1667460218,26.79843,-13.619035
1667460217,51.29666,-17.60798
1667460216,8.765668,-8.765668
1667460215,8.766992,-8.766992
1667460214,8.769351,-8.769351
1667460213,8.768204,-8.768204
1667460212,8.925431,-9.053919
1667460211,11.578171,-13.072538
1667460210,16.078134,-18.67792
1667460209,13.395086,-12.825948
1667460208,12.913297,-13.697128
1667460207,12.221468,-12.937963
1667460206,14.023348,-14.48552
1667460205,12.01659,-11.97988
1667460204,12.856747,-12.597926
1667460203,13.507088,-12.950666
1667460202,12.817338,-12.728597
1667460201,14.412071,-14.84335
1667460200,12.422832,-12.105734
1667460199,14.045486,-14.456675
1667460198,14.210058,-13.699911
1667460197,13.190455,-12.992724
1667460196,14.156728,-14.947202
1667460195,12.846779,-13.005731
1667460194,13.128926,-13.397278
1667460193,14.660203,-13.92164
1667460192,12.666928,-12.93228
1667460191,13.369293,-13.590638
1667460190,11.485811,-12.547101
1667460189,13.129978,-13.010616
1667460188,14.223375,-13.926737
1667460187,12.915424,-12.96131
1667460186,14.794318,-14.871732
1667460185,13.524533,-13.433233
1667460184,14.206701,-14.002352
1667460183,13.1266,-12.582228
1667460182,13.408096,-13.807927
1667460181,14.758126,-15.979016
1667460180,8.767247,-8.767247
1667460179,9.612615,-9.493312
1667460178,10.86756,-10.570864
1667460177,9.442376,-9.391905
1667460176,10.445557,-10.508144
1667460175,8.768082,-9.235965
1667460174,9.383581,-9.39276
1667460173,10.29706,-10.319881
1667460172,10.000596,-9.833167
1667460171,11.83856,-11.42199
1667460170,9.330833,-9.507517
1667460169,11.010175,-11.330173
1667460168,10.868192,-10.57151
1667460167,9.785602,-9.81315
1667460166,11.294734,-11.363186
1667460165,8.768361,-8.768361
1667460164,13.031841,-9.977987
1667460163,19.55743,-11.871537
1667460162,9.721006,-9.501932
1667460161,10.000554,-10.023376
1667460160,8.86811,-8.858935
1667460159,9.983106,-9.840978
1667460158,14.935514,-11.572852
1667460157,19.56084,-11.679412
1667460156,12.292431,-11.647826
1667460155,9.330527,-9.507236
1667460154,10.662657,-11.111131
1667460153,10.000122,-10.022939
1667460152,9.419295,-9.556915
1667460151,10.394242,-10.736621
1667460150,8.768502,-8.768502
1667460149,9.613855,-9.494505
