time,node
1667468171,0
1667468170,0
1667468169,0
1667468168,0
1667468167,0.4998
1667468166,0.9999
1667468165,0
1667468164,0
1667468163,0
1667468162,0
1667468161,0
1667468160,0
1667468159,0
1667468158,0
1667468157,0
1667468156,0
1667468155,0
1667468154,0
1667468153,0
1667468152,0
1667468151,0
1667468150,0
1667468149,0
1667468148,0
1667468147,0
1667468146,0
1667468145,0
1667468144,0
1667468143,0
1667468142,0
1667468141,0
1667468140,0
1667468139,0
1667468138,0
1667468137,0
1667468136,0
1667468135,0
1667468134,0
1667468133,0
1667468132,0
1667468131,0
1667468130,0
1667468129,0
1667468128,0
1667468127,0
1667468126,0
1667468125,0
1667468124,0
1667468123,0
1667468122,0
1667468121,0
1667468120,0
1667468119,0
1667468118,0
1667468117,0
1667468116,0
1667468115,0
1667468114,0
1667468113,0
1667468112,0
1667468111,0
1667468110,0
1667468109,0
1667468108,0
1667468107,0
1667468106,0
1667468105,0
1667468104,0
1667468103,0
1667468102,0
1667468101,0
1667468100,0
1667468099,0
1667468098,0
1667468097,0.3333
1667468096,0
1667468095,0
1667468094,0
1667468093,0
1667468092,0
1667468091,0
1667468090,0
1667468089,0
1667468088,0
1667468087,0
1667468086,0
1667468085,0
1667468084,0
1667468083,0
1667468082,0
1667468081,0
1667468080,0
1667468079,0
1667468078,0
1667468077,0
1667468076,0
1667468075,0
1667468074,0
1667468073,0
1667468072,0
1667468071,0
1667468070,0
1667468069,0
1667468068,0
1667468067,0
1667468066,0
1667468065,0
1667468064,0
1667468063,0
1667468062,0
1667468061,0
1667468060,0.3333
1667468059,0
1667468058,0
1667468057,0
1667468056,0
1667468055,0
1667468054,0
1667468053,0
1667468052,0
1667468051,0
1667468050,0
1667468049,0
1667468048,0
1667468047,0
1667468046,0
1667468045,0
1667468044,0
1667468043,0
1667468042,0
1667468041,0
1667468040,0.2499
1667468039,0
1667468038,0
1667468037,0
1667468036,0
1667468035,0
1667468034,0
1667468033,0
1667468032,0
1667468031,0
1667468030,0
1667468029,0
1667468028,0
1667468027,0
1667468026,0
1667468025,0
1667468024,0
1667468023,0
1667468022,0
1667468021,0.5
1667468020,0
1667468019,0.3333
1667468018,0.4999
1667468017,0
1667468016,0.5
1667468015,0.9999
1667468014,0
1667468013,1.1999
1667468012,0
1667468011,0
1667468010,0
1667468009,0
1667468008,0
1667468007,0.4998
1667468006,0
1667468005,0.9999
1667468004,0
1667468003,0.25
1667468002,0.6665
1667468001,0
1667468000,0
1667467999,0.6668
1667467998,0
1667467997,0
1667467996,0
1667467995,0.2498
1667467994,0
1667467993,0
1667467992,0.3333
1667467991,0
1667467990,0
1667467989,0.3332
1667467988,0
1667467987,0.3333
1667467986,0
1667467985,0.6658
1667467984,0
1667467983,0
1667467982,0.5
1667467981,0
1667467980,0.1999
1667467979,0
1667467978,0.3332
1667467977,0
1667467976,0
1667467975,0
1667467974,0
1667467973,0
1667467972,0
1667467971,0
1667467970,0
1667467969,0
1667467968,0
1667467967,0
1667467966,0
1667467965,0
1667467964,0
1667467963,0
1667467962,0
1667467961,0
1667467960,0.3333
1667467959,0
1667467958,0
1667467957,0
1667467956,0
1667467955,0.4998
1667467954,0
1667467953,0.6665
1667467952,0
1667467951,0
1667467950,0
1667467949,0.9999
1667467948,0
1667467947,0.9999
1667467946,0
1667467945,0.9999
1667467944,0
1667467943,1
1667467942,0.4999
1667467941,0
1667467940,0.25
1667467939,0
1667467938,1.9996
1667467937,0
1667467936,1
1667467935,0
1667467934,0.5
1667467933,0.7499
1667467932,0
1667467931,0
1667467930,0.9999
1667467929,0
1667467928,1
1667467927,1
1667467926,0.6665
1667467925,0.6666
1667467924,0
1667467923,1
1667467922,0.7499
1667467921,0.5
1667467920,0
1667467919,0
1667467918,0
1667467917,0.9999
1667467916,0
1667467915,0
1667467914,0
1667467913,0
1667467912,0.6663
1667467911,0
1667467910,0.6668
1667467909,0
1667467908,0
1667467907,0
1667467906,0
1667467905,0
1667467904,0
1667467903,0
1667467902,1.5
1667467901,0
1667467900,0
1667467899,0
1667467898,0
1667467897,0
1667467896,0
1667467895,0
1667467894,0
1667467893,0.0007
1667467892,null
1667467891,null
1667467890,null
1667467889,null
