time,received,sent
1667467430,15.896628,-14.744604
1667467429,15.631273,-14.479327
1667467428,15.631894,-14.479902
1667467427,15.631361,-14.479409
1667467426,15.632293,-14.480271
1667467425,15.631438,-14.479479
1667467424,20.44526,-15.378816
1667467423,24.0196,-16.045977
1667467422,15.631134,-14.479198
1667467421,15.632665,-14.480616
1667467420,15.631854,-14.479864
1667467419,15.631831,-14.479843
1667467418,15.632996,-14.480923
1667467417,20.4453,-15.375469
1667467416,40.76584,-19.818
1667467415,44.81282,-21.06249
1667467414,15.63165,-14.479676
1667467413,15.631764,-14.479782
1667467412,16.039957,-14.712979
1667467411,16.344186,-14.887153
1667467410,15.631872,-14.479881
1667467409,15.631806,-14.47982
1667467408,15.632024,-14.480022
1667467407,15.632054,-14.48005
1667467406,15.632201,-14.480186
1667467405,15.632328,-14.480303
1667467404,15.631987,-14.479988
1667467403,15.631666,-14.479691
1667467402,16.010796,-15.022167
1667467401,16.293005,-15.425649
1667467400,15.748194,-14.596229
1667467399,15.836002,-14.683953
1667467398,15.631844,-14.479855
1667467397,15.631323,-14.479373
1667467396,15.749226,-14.597186
1667467395,15.836632,-14.684536
1667467394,15.631928,-14.479933
1667467393,15.630583,-14.478687
1667467392,15.631886,-14.479894
1667467391,15.632102,-14.480095
1667467390,15.632252,-14.480234
1667467389,15.631691,-14.479714
1667467388,15.632542,-14.480502
1667467387,15.900498,-14.748489
1667467386,16.099647,-14.947646
1667467385,15.631252,-14.479307
1667467384,15.632859,-14.480796
1667467383,15.632469,-14.480435
1667467382,15.630907,-14.478988
1667467381,15.86494,-14.596304
1667467380,16.038921,-14.683568
1667467379,15.631636,-14.479662
1667467378,15.632508,-14.480471
1667467377,15.632188,-14.480174
1667467376,15.63184,-14.479852
1667467375,15.633182,-14.481095
1667467374,15.631291,-14.479343
1667467373,15.748013,-14.596062
1667467372,15.987228,-14.835212
1667467371,15.895784,-14.743824
1667467370,15.632334,-14.48031
1667467369,15.632317,-14.480293
1667467368,15.632238,-14.48022
1667467367,15.632687,-14.480636
1667467366,15.632153,-14.480141
1667467365,15.806328,-14.596037
1667467364,20.86727,-15.582
1667467363,24.33879,-16.162374
1667467362,15.835901,-14.683857
1667467361,15.865191,-14.596505
1667467360,16.037729,-14.682494
1667467359,15.632373,-14.480346
1667467358,15.632489,-14.480453
1667467357,20.82437,-15.678616
1667467356,24.67919,-16.80819
1667467355,15.63268,-14.897412
1667467354,15.631375,-14.479421
1667467353,15.631947,-14.479951
1667467352,15.632055,-14.480051
1667467351,15.632015,-14.480014
1667467350,15.632362,-14.480335
1667467349,15.631603,-14.479632
1667467348,15.63248,-14.480444
1667467347,15.631098,-14.479165
1667467346,15.632502,-14.480465
1667467345,15.631804,-14.479819
1667467344,15.631147,-14.47921
1667467343,15.632454,-14.48042
