time,received,sent
1667467430,9.529183,-10.105255
1667467429,13.300211,-10.810549
1667467428,19.0834,-11.953183
1667467427,9.983373,-10.331192
1667467426,9.528425,-10.104451
1667467425,9.527315,-10.103274
1667467424,9.712134,-10.196311
1667467423,9.985286,-10.333194
1667467422,9.527492,-10.103461
1667467421,9.527993,-10.103992
1667467420,13.300865,-10.808803
1667467419,31.96222,-14.709874
1667467418,41.9684,-17.19278
1667467417,9.526195,-10.102086
1667467416,9.527929,-10.103925
1667467415,9.528105,-10.104111
1667467414,9.528486,-10.104515
1667467413,9.528448,-10.104475
1667467412,9.527038,-10.10298
1667467411,9.528916,-10.104972
1667467410,9.528701,-10.104744
1667467409,9.528115,-10.104122
1667467408,9.528068,-10.104072
1667467407,9.527443,-10.10341
1667467406,9.707678,-10.4123
1667467405,10.093274,-10.988743
1667467404,9.823924,-10.399885
1667467403,9.526887,-10.10282
1667467402,9.527967,-10.103965
1667467401,9.527561,-10.103535
1667467400,9.619742,-10.195738
1667467399,9.757958,-10.334064
1667467398,9.528285,-10.104302
1667467397,9.525422,-10.101266
1667467396,9.528114,-10.104121
1667467395,9.528355,-10.104376
1667467394,9.529692,-10.105794
1667467393,9.5288,-10.104848
1667467392,9.526959,-10.102896
1667467391,9.618984,-10.194934
1667467390,9.876305,-10.452349
1667467389,9.824416,-10.400405
1667467388,9.52702,-10.102961
1667467387,9.529521,-10.105613
1667467386,9.528734,-10.104779
1667467385,9.527044,-10.102986
1667467384,9.528049,-10.104052
1667467383,9.52857,-10.104605
1667467382,9.527273,-10.103229
1667467381,9.528723,-10.104767
1667467380,9.76811,-10.408338
1667467379,10.126973,-10.86269
1667467378,9.529066,-10.105131
1667467377,9.711185,-10.195295
1667467376,9.983891,-10.331725
1667467375,9.647912,-10.223942
1667467374,9.822822,-10.398715
1667467373,9.712202,-10.196415
1667467372,9.984536,-10.332368
1667467371,9.527386,-10.103349
1667467370,9.52945,-10.105537
1667467369,13.301458,-10.811567
1667467368,18.89817,-11.860038
1667467367,9.528164,-10.104174
1667467366,9.528865,-10.104917
1667467365,9.528108,-10.104114
1667467364,9.527446,-10.103412
1667467363,9.527535,-10.103507
1667467362,9.619997,-10.196005
1667467361,9.935486,-10.640101
1667467360,13.864108,-11.691989
1667467359,19.19662,-12.15213
1667467358,9.528091,-10.104096
1667467357,9.711185,-10.195315
1667467356,9.984705,-10.332569
1667467355,9.528112,-10.104119
1667467354,9.528786,-10.104834
1667467353,9.527435,-10.1034
1667467352,9.526569,-10.102482
1667467351,9.527241,-10.103195
1667467350,9.528372,-10.104395
1667467349,9.52907,-10.105135
1667467348,9.529163,-10.105234
1667467347,9.711419,-10.195532
1667467346,10.076229,-10.424102
1667467345,9.875074,-10.451045
1667467344,9.824753,-10.400763
1667467343,9.52879,-10.104838
1667467342,9.525814,-10.101682
1667467341,9.52717,-10.10312
1667467340,9.620718,-10.196772
1667467339,9.756776,-10.332812
1667467338,9.528979,-10.105038
1667467337,9.528087,-10.104093
1667467336,9.525556,-10.101408
1667467335,9.712538,-10.196773
1667467334,9.983636,-10.331412
1667467333,9.527734,-10.103718
1667467332,9.528469,-10.104497
1667467331,9.619186,-10.19515
1667467330,9.967603,-10.543619
1667467329,10.053571,-10.629612
1667467328,9.528321,-10.104341
1667467327,9.528802,-10.10485
1667467326,9.527507,-10.103477
1667467325,9.526943,-10.10288
1667467324,9.528301,-10.104319
1667467323,9.528104,-10.10411
1667467322,9.52868,-10.104721
1667467321,9.530139,-10.106269
1667467320,9.527197,-10.103148
1667467319,9.527897,-10.103891
1667467318,9.527936,-10.103932
1667467317,9.527194,-10.103145
1667467316,9.706633,-10.411174
1667467315,10.092312,-10.987745
1667467314,9.82586,-10.401935
1667467313,9.527527,-10.103499
1667467312,9.525829,-10.101698
1667467311,9.527865,-10.103857
1667467310,9.528631,-10.104669
1667467309,13.299131,-10.811054
1667467308,18.90172,-11.861849
1667467307,9.529221,-10.105295
1667467306,9.527256,-10.103211
1667467305,9.526767,-10.102692
1667467304,9.849856,-10.28815
1667467303,10.327715,-10.561515
1667467302,9.528549,-10.104583
1667467301,9.528095,-10.104101
1667467300,13.302574,-10.809496
1667467299,19.01587,-11.972887
1667467298,9.82527,-10.40131
1667467297,9.618887,-10.194829
1667467296,9.867386,-10.425071
1667467295,9.801969,-10.332356
1667467294,9.527768,-10.103754
1667467293,9.528045,-10.104048
1667467292,9.528272,-10.104289
1667467291,9.527995,-10.103995
1667467290,9.52689,-10.102823
1667467289,9.526936,-10.102872
1667467288,9.527945,-10.103942
1667467287,9.527817,-10.103806
1667467286,9.5283,-10.104318
1667467285,9.529339,-10.10542
1667467284,9.739165,-10.223307
1667467283,10.145118,-10.493002
1667467282,9.755917,-10.331904
1667467281,9.61974,-10.195733
1667467280,9.756811,-10.332851
1667467279,9.525648,-10.101505
1667467278,9.528302,-10.104321
1667467277,9.528891,-10.104945
1667467276,9.529201,-10.105274
1667467275,9.527465,-10.103433
1667467274,9.527443,-10.10341
1667467273,9.527996,-10.103995
1667467272,9.528623,-10.10466
1667467271,9.619372,-10.195343
1667467270,9.935586,-10.640211
1667467269,10.090822,-10.986131
1667467268,9.824429,-10.400416
1667467267,9.528386,-10.10441
1667467266,9.528986,-10.105046
1667467265,9.528907,-10.104961
1667467264,9.528648,-10.104688
1667467263,9.52457,-10.100501
1667467262,9.520021,-10.096022
1667467261,9.519587,-10.095562
1667467260,9.520141,-10.09615
1667467259,9.518531,-10.094442
1667467258,9.520399,-10.096423
1667467257,9.521068,-10.097133
1667467256,9.621287,-10.188115
1667467255,9.771163,-10.324363
1667467254,9.638083,-10.214005
1667467253,9.816778,-10.392787
1667467252,9.520336,-10.096356
1667467251,9.519299,-10.095256
1667467250,9.519538,-10.09551
1667467249,13.292614,-10.803812
1667467248,18.89146,-11.852269
1667467247,9.612048,-10.188062
1667467246,9.747133,-10.323069
1667467245,9.520963,-10.097022
1667467244,9.520111,-10.096118
1667467243,9.519637,-10.095615
1667467242,9.520153,-10.096163
1667467241,9.520024,-10.096025
1667467240,13.294688,-10.80259
1667467239,19.00962,-11.965773
1667467238,9.907055,-10.391176
1667467237,9.84064,-10.188476
1667467236,9.749443,-10.32552
1667467235,9.519663,-10.095643
1667467234,9.519321,-10.09528
1667467233,9.519751,-10.095736
1667467232,9.520082,-10.096087
1667467231,9.612345,-10.096537
1667467230,9.840855,-10.188743
1667467229,9.748702,-10.324736
1667467228,9.519368,-10.09533
1667467227,9.518502,-10.094411
1667467226,9.69913,-10.403679
1667467225,10.149776,-10.953445
1667467224,10.096002,-10.443873
1667467223,9.817219,-10.393258
1667467222,9.519365,-10.095326
1667467221,9.519419,-10.095383
1667467220,9.520392,-10.096416
1667467219,9.612101,-10.188115
1667467218,9.745748,-10.321604
1667467217,9.520683,-10.096725
1667467216,9.519586,-10.095561
1667467215,9.521389,-10.097473
1667467214,9.703621,-10.187779
1667467213,10.07897,-10.417715
1667467212,9.769933,-10.323062
1667467211,9.60971,-10.185585
1667467210,9.748795,-10.324831
1667467209,9.740602,-10.307435
1667467208,10.068118,-10.621328
1667467207,9.520956,-10.097014
1667467206,9.520175,-10.096185
1667467205,9.519977,-10.095975
1667467204,9.518702,-10.094624
1667467203,9.519384,-10.095346
1667467202,9.520118,-10.096125
1667467201,9.520288,-10.096305
1667467200,9.519804,-10.095792
1667467199,9.51997,-10.095968
1667467198,9.521353,-10.097435
1667467197,9.520763,-10.096809
1667467196,9.517535,-10.093385
1667467195,9.521428,-10.097514
1667467194,9.639439,-10.215441
1667467193,9.817047,-10.393075
1667467192,9.611982,-10.187989
1667467191,9.748348,-10.324361
1667467190,9.52018,-10.096191
1667467189,13.292476,-10.802628
1667467188,18.89109,-11.85291
1667467187,9.519664,-10.095643
1667467186,9.520386,-10.096409
1667467185,9.519686,-10.095667
1667467184,9.518036,-10.093917
1667467183,9.521233,-10.097307
1667467182,9.520825,-10.096875
1667467181,9.698099,-10.214352
1667467180,13.734911,-11.284561
1667467179,32.2384,-15.168599
1667467178,42.68888,-17.1888
1667467177,9.520128,-10.096136
1667467176,9.519433,-10.095399
1667467175,9.52136,-10.097442
1667467174,9.519243,-10.095197
1667467173,9.520053,-10.096056
1667467172,9.520644,-10.096683
1667467171,9.519185,-10.095135
1667467170,9.520569,-10.096604
1667467169,9.519915,-10.09591
1667467168,9.517302,-10.093139
1667467167,9.520412,-10.096437
1667467166,9.519445,-10.095412
1667467165,9.640595,-10.216668
1667467164,9.817663,-10.393727
1667467163,9.519443,-10.095409
1667467162,9.518461,-10.094367
1667467161,9.520206,-10.096218
1667467160,9.611015,-10.186969
1667467159,9.74927,-10.325333
1667467158,9.521446,-10.097534
1667467157,9.519127,-10.095074
1667467156,9.519415,-10.095379
1667467155,9.521324,-10.097404
1667467154,9.52001,-10.096011
1667467153,9.519457,-10.095424
1667467152,9.613062,-10.189133
1667467151,9.747085,-10.323022
1667467150,9.73235,-10.216532
1667467149,10.321303,-10.586519
1667467148,10.204732,-10.57548
1667467147,9.718997,-10.203452
1667467146,9.97766,-10.326212
1667467145,9.504618,-10.079687
1667467144,9.516707,-10.092508
1667467143,9.520751,-10.096796
1667467142,9.52025,-10.096265
1667467141,9.519205,-10.095157
1667467140,9.520426,-10.096452
1667467139,9.520576,-10.096611
1667467138,9.518783,-10.09471
1667467137,9.518563,-10.094476
1667467136,9.698684,-10.403183
1667467135,10.084731,-10.980236
1667467134,9.817867,-10.393941
1667467133,9.520726,-10.09677
1667467132,9.519675,-10.095655
1667467131,9.519772,-10.095758
1667467130,9.520301,-10.096319
1667467129,13.291963,-10.802531
1667467128,18.89046,-11.8518
1667467127,9.520453,-10.09648
1667467126,10.178718,-10.502009
1667467125,17.33976,-22.36726
1667467124,24.80009,-37.91322
1667467123,11.267522,-12.858082
1667467122,17.47529,-22.48285
1667467121,19.11707,-24.88918
1667467120,16.077926,-15.268328
1667467119,27.18082,-21.54719
1667467118,25.02887,-26.52163
1667467117,19.04895,-22.75852
1667467116,20.04822,-23.8716
1667467115,19.59847,-23.74148
1667467114,20.2266,-24.01172
1667467113,23.57582,-27.3385
1667467112,20.21548,-25.26771
1667467111,18.84843,-21.76722
1667467110,20.38398,-24.58472
1667467109,18.80789,-21.6901
1667467108,20.9083,-24.51421
1667467107,22.67489,-27.24106
1667467106,21.18415,-27.30322
1667467105,19.41314,-22.29351
1667467104,18.53416,-22.24731
1667467103,18.34544,-22.05621
1667467102,16.82769,-19.45747
1667467101,13.995897,-14.943403
1667467100,19.23714,-22.98879
1667467099,22.33253,-25.91252
1667467098,22.5145,-24.33077
1667467097,18.89329,-22.53697
1667467096,17.177,-21.46835
1667467095,20.04942,-23.99237
1667467094,20.04773,-24.22565
1667467093,21.91854,-26.34154
1667467092,24.68694,-30.91228
1667467091,20.3449,-24.29661
1667467090,19.86868,-23.62349
1667467089,18.05031,-20.45693
1667467088,20.22901,-24.07841
1667467087,19.67182,-22.68283
1667467086,23.66786,-26.73237
1667467085,23.48388,-27.51246
1667467084,20.47891,-23.4587
1667467083,19.75802,-25.49571
1667467082,20.21276,-25.10712
1667467081,22.47748,-26.77353
1667467080,19.52866,-22.6043
1667467079,26.84616,-30.59456
1667467078,20.63936,-24.85993
1667467077,18.3019,-21.42004
1667467076,15.704962,-16.590325
1667467075,20.4211,-23.84539
1667467074,20.81171,-24.20063
1667467073,19.76776,-24.53812
1667467072,20.65156,-24.78152
1667467071,20.68237,-24.17543
1667467070,19.68217,-22.34189
1667467069,23.8832,-25.18525
1667467068,30.1059,-26.16538
1667467067,20.36803,-24.20383
1667467066,21.22508,-26.05526
1667467065,23.4452,-28.7794
1667467064,21.11106,-22.86744
1667467063,17.44386,-19.8653
1667467062,22.49439,-26.56021
1667467061,20.10349,-23.03496
1667467060,26.40717,-27.11196
1667467059,28.69622,-25.21646
1667467058,19.13197,-23.35181
1667467057,23.90806,-28.45258
1667467056,20.1103,-24.72545
1667467055,22.3574,-24.87808
1667467054,25.02058,-31.2003
1667467053,22.94057,-28.02067
1667467052,15.82737,-17.57606
1667467051,20.5823,-23.87196
1667467050,20.64313,-23.04335
1667467049,18.91687,-20.68988
1667467048,16.741142,-18.16199
1667467047,18.93266,-23.12893
1667467046,20.53376,-27.16524
1667467045,20.49952,-31.57226
1667467044,19.51076,-23.29996
1667467043,18.8101,-22.47008
1667467042,19.76401,-22.8232
1667467041,20.74036,-24.27807
1667467040,22.04276,-24.22423
1667467039,19.71465,-21.27458
1667467038,28.39183,-34.03607
1667467037,20.57876,-23.98732
1667467036,20.64157,-23.81554
1667467035,18.77615,-22.84286
1667467034,16.87874,-20.94827
1667467033,19.03273,-22.53909
1667467032,16.91842,-19.03156
1667467031,19.11582,-21.65478
1667467030,22.00812,-25.98288
1667467029,22.01769,-26.60543
1667467028,20.8753,-24.91994
1667467027,17.46127,-21.63294
1667467026,22.30202,-26.50997
1667467025,21.82366,-25.29336
1667467024,18.23605,-20.65596
1667467023,15.660886,-16.730422
1667467022,20.02886,-22.33516
1667467021,17.11654,-18.87338
1667467020,9.510817,-10.086746
1667467019,9.514194,-10.090327
1667467018,9.510303,-10.0862
1667467017,9.512464,-10.088492
1667467016,9.51285,-10.088902
1667467015,9.700712,-13.414539
1667467014,10.098867,-18.46505
1667467013,9.807831,-10.383787
1667467012,9.50989,-10.085762
1667467011,9.695861,-10.180088
1667467010,10.061044,-10.408882
1667467009,13.515161,-11.025165
1667467008,18.88198,-11.844036
1667467007,9.51024,-10.086133
1667467006,11.900253,-11.411187
1667467005,15.445132,-13.374282
1667467004,9.511976,-10.087975
1667467003,9.511484,-10.087453
1667467002,9.511625,-10.087602
1667467001,9.513243,-10.089318
1667467000,13.285886,-10.793618
1667466999,19.00117,-11.957413
1667466998,9.807513,-10.383446
1667466997,9.690937,-10.395449
1667466996,9.957441,-10.852952
1667466995,9.69552,-10.179705
1667466994,9.969617,-10.3175
1667466993,11.5533,-10.717719
1667466992,14.588718,-11.656178
1667466991,12.036533,-18.02828
1667466990,15.786396,-29.82672
