time,node
1667465885,0
1667465884,0
1667465883,0
1667465882,0
1667465881,0
1667465880,0
1667465879,0
1667465878,0
1667465877,1
1667465876,0
1667465875,0
1667465874,0
1667465873,0
1667465872,0.3999
1667465871,0
1667465870,0
1667465869,0
1667465868,0
1667465867,0
1667465866,0
1667465865,0
1667465864,0
1667465863,0
1667465862,0.4001
1667465861,0
1667465860,0
1667465859,0
1667465858,0
1667465857,0
1667465856,0
1667465855,0.6003
1667465854,0
1667465853,0
1667465852,0
1667465851,0
1667465850,0
1667465849,0
1667465848,0
1667465847,0
1667465846,0
1667465845,0
1667465844,0
1667465843,0
1667465842,0.6666
1667465841,0
1667465840,0
1667465839,0
1667465838,0
1667465837,0
1667465836,0
1667465835,0
1667465834,0
1667465833,0
1667465832,0.4998
1667465831,0
1667465830,0
1667465829,0
1667465828,0
1667465827,0
1667465826,0
1667465825,0
1667465824,0.6667
1667465823,0
1667465822,0
1667465821,0
1667465820,0
1667465819,0
1667465818,0
1667465817,0.6004
1667465816,0
1667465815,0
1667465814,0
1667465813,0
1667465812,0
1667465811,0
1667465810,0
1667465809,0
1667465808,0
1667465807,0.9992
1667465806,0
1667465805,0
1667465804,0
1667465803,0
1667465802,0
1667465801,0
1667465800,0
1667465799,0
1667465798,0
1667465797,0
1667465796,0
1667465795,0
1667465794,0
1667465793,0
1667465792,0
1667465791,1.0001
1667465790,0
1667465789,0
1667465788,0
1667465787,0
1667465786,0
1667465785,0
1667465784,0
1667465783,0
1667465782,0
1667465781,0
1667465780,0
1667465779,0
1667465778,0
1667465777,0
1667465776,0
1667465775,0
1667465774,0.7501
1667465773,0
1667465772,0
1667465771,0
1667465770,0
1667465769,0
1667465768,0.8
1667465767,0
1667465766,0
1667465765,1.0001
1667465764,0
1667465763,0
1667465762,0
1667465761,0
1667465760,0
1667465759,0
1667465758,0
1667465757,0
1667465756,0
1667465755,0
1667465754,0
1667465753,0
1667465752,0
1667465751,1.336
1667465750,0
1667465749,0
1667465748,0
1667465747,0
1667465746,0
1667465745,0
1667465744,0.3335
1667465743,0
1667465742,0
1667465741,0
1667465740,1.4994
1667465739,0.6666
1667465738,1.0001
1667465737,1.0001
1667465736,0.6666
1667465735,0.4285
1667465734,0.5
1667465733,1.0001
1667465732,0
1667465731,0
1667465730,0.6001
1667465729,0.75
1667465728,0.9999
1667465727,0.1667
1667465726,1.5996
1667465725,0
1667465724,0.8888
1667465723,0
1667465722,0.8001
1667465721,0.6678
1667465720,0.5985
1667465719,0
1667465718,0.7498
1667465717,1.0002
1667465716,0
1667465715,0.5
1667465714,0.8
1667465713,0
1667465712,1.6006
1667465711,0
1667465710,1.3336
1667465709,0
1667465708,0.5996
1667465707,2.0002
1667465706,0.5714
1667465705,0
1667465704,1.1428
1667465703,2.0001
1667465702,0.6666
1667465701,0
1667465700,0.7501
1667465699,0.9983
1667465698,1
1667465697,0
1667465696,0.4
1667465695,0.8013
1667465694,1.0002
1667465693,0.999
1667465692,0.2499
1667465691,0.7508
1667465690,0.4284
1667465689,0
1667465688,0.6669
1667465687,0
1667465686,0.4001
1667465685,0.9999
1667465684,0
1667465683,0
1667465682,0
1667465681,0
1667465680,0
1667465679,0
1667465678,0
1667465677,0.25
1667465676,0
1667465675,0
1667465674,0.7495
1667465673,0
1667465672,0
1667465671,1.0002
1667465670,0
1667465669,0.3996
1667465668,0
1667465667,1
1667465666,1.0001
1667465665,0
1667465664,1.3336
1667465663,0
1667465662,0.7502
1667465661,0
1667465660,0.3997
1667465659,1.4278
1667465658,0
1667465657,0.7499
1667465656,0
1667465655,0.7502
1667465654,0.75
1667465653,1.6
1667465652,1.0001
1667465651,0.7499
1667465650,0.6665
1667465649,1.0001
1667465648,0.8003
1667465647,2.4991
1667465646,0
1667465645,1.0002
1667465644,0.9998
1667465643,0.8
1667465642,0.7505
1667465641,1.667
1667465640,0
1667465639,0.6669
1667465638,0
1667465637,0
1667465636,0.9982
1667465635,0
1667465634,0
1667465633,0
1667465632,0
1667465631,0
1667465630,0
1667465629,0
1667465628,0
1667465627,1
1667465626,0
1667465625,0
1667465624,0.5717
1667465623,0
1667465622,0
1667465621,0
1667465620,0
1667465619,0.3333
1667465618,0
1667465617,0
1667465616,0
1667465615,0
1667465614,0
1667465613,0
1667465612,0.3333
1667465611,0
1667465610,0
1667465609,0
