time,node
1667464500,1.0002
1667464499,0.7498
1667464498,1.7152
1667464497,0.9991
1667464496,0.9996
1667464495,1.0001
1667464494,4.0012
1667464493,0.8007
1667464492,2.9996
1667464491,1.7134
1667464490,4.0002
1667464489,1.9992
1667464488,1.9996
1667464487,0.5008
1667464486,1.0001
1667464485,1
1667464484,0.9995
1667464483,2.0006
1667464482,2.9994
1667464481,1.9981
1667464480,1.3348
1667464479,4.0009
1667464478,0.7994
1667464477,1
1667464476,1
1667464475,2.6659
1667464474,1.9992
1667464473,0.9997
1667464472,1.1997
1667464471,0
1667464470,1.6001
1667464469,1.6
1667464468,1.3334
1667464467,2.0002
1667464466,1.9992
1667464465,1.3337
1667464464,2.9995
1667464463,2.0002
1667464462,0.9996
1667464461,2.0002
1667464460,1.7997
1667464459,6.301
1667464458,0.7501
1667464457,2.4999
1667464456,1.9998
1667464455,1
1667464454,1.0003
1667464453,1.0004
1667464452,1.5978
1667464451,1.9992
1667464450,1.874
1667464449,2.0002
1667464448,0.7499
1667464447,3
1667464446,0.6668
1667464445,2.9996
1667464444,0.8
1667464443,3.0003
1667464442,1.3346
1667464441,1
1667464440,4.0004
1667464439,0.7503
1667464438,0.9998
1667464437,1.1996
1667464436,1.9998
1667464435,2.0004
1667464434,1.7146
1667464433,2.0004
1667464432,2
1667464431,0.9991
1667464430,3.0004
1667464429,1
1667464428,2.5018
1667464427,1.0006
1667464426,0.8571
1667464425,0.7992
1667464424,1.6009
1667464423,1.9993
1667464422,2.0005
1667464421,0.9985
1667464420,1.2498
1667464419,2.0005
1667464418,1.8756
1667464417,4.9995
1667464416,0.8341
1667464415,1.4271
1667464414,3.0001
1667464413,2.1427
1667464412,2.9988
1667464411,0.3334
1667464410,2.0001
1667464409,1.5012
1667464408,1
1667464407,1.9995
1667464406,1.5006
1667464405,0
1667464404,1.6663
1667464403,1
1667464402,2.2502
1667464401,1.6004
1667464400,0.9997
1667464399,2.0026
1667464398,3.0004
1667464397,1
1667464396,1.0003
1667464395,1.1996
1667464394,2.8543
1667464393,1.1437
1667464392,2.0002
1667464391,0.9991
1667464390,2.0004
1667464389,3.499
1667464388,0.9991
1667464387,3.0006
1667464386,0.6666
1667464385,2.4024
1667464384,0.9999
1667464383,3.9987
1667464382,1.1422
1667464381,2.0006
1667464380,2.9989
1667464379,0.75
1667464378,0.8003
1667464377,1.9999
1667464376,1.0001
1667464375,1.9987
1667464374,2.9998
1667464373,3.0005
1667464372,2.4999
1667464371,0.5715
1667464370,1.6664
1667464369,2.2853
1667464368,2.0002
1667464367,2.9999
1667464366,0.9997
1667464365,0.6005
1667464364,3.0004
1667464363,1.5008
1667464362,2.9995
1667464361,0.6667
1667464360,1.0004
1667464359,2.8547
1667464358,1.0001
1667464357,1.4996
1667464356,1.0001
1667464355,3.0004
1667464354,1.9998
1667464353,2.0003
1667464352,3.9999
1667464351,2.0002
1667464350,2.0008
1667464349,1.9986
1667464348,2.5014
1667464347,0.9997
1667464346,1.427
1667464345,1.0001
1667464344,0.9999
1667464343,1.6
1667464342,1.4999
1667464341,1.0001
1667464340,1.0003
1667464339,4
1667464338,3.0001
1667464337,0.7148
1667464336,1.9999
1667464335,0.8001
1667464334,4.0002
1667464333,1.0007
1667464332,0.9993
1667464331,1.0005
1667464330,2.9972
1667464329,3.5718
1667464328,0.9992
1667464327,1.5023
1667464326,0
1667464325,3.4232
1667464324,2.5735
1667464323,2.1441
1667464322,1.6657
1667464321,1.6668
1667464320,1.7145
1667464319,3.0003
1667464318,0.75
1667464317,1.0013
1667464316,3.3273
1667464315,2.0017
1667464314,2.998
1667464313,0.9995
1667464312,2.0007
1667464311,1
1667464310,2.2512
1667464309,2.8544
1667464308,1.0001
1667464307,3.7523
1667464306,1.9998
1667464305,3.5538
1667464304,1.9997
1667464303,5.0878
1667464302,5.444
1667464301,4.2859
1667464300,8.0024
1667464299,8.4669
1667464298,5.7153
1667464297,4.9995
1667464296,8.1693
1667464295,4.6734
1667464294,7.8547
1667464293,4.9985
1667464292,7.3358
1667464291,7.0022
1667464290,3.9973
1667464289,10.0003
1667464288,7.9976
1667464287,6.0004
1667464286,8.2509
1667464285,5.9952
1667464284,8.3089
1667464283,8.251
1667464282,9.0002
1667464281,3.8908
1667464280,7.2743
1667464279,8.244
1667464278,6.0031
1667464277,7.3237
1667464276,4.9936
1667464275,5.0019
1667464274,7.2775
1667464273,5.7392
1667464272,6.5238
1667464271,5.0938
1667464270,7.0005
1667464269,9.0031
1667464268,7.9902
1667464267,6.4338
1667464266,5.2432
1667464265,10.1529
1667464264,8.9899
1667464263,4.8007
1667464262,7.3845
1667464261,5.8223
1667464260,6.994
1667464259,3.4622
1667464258,6.002
1667464257,3.747
1667464256,7.0014
1667464255,5.3322
1667464254,9.0006
1667464253,18.008
1667464252,9
1667464251,6.4279
1667464250,5.0007
1667464249,29.9873
1667464248,1.5013
1667464247,0.4286
1667464246,1.4999
1667464245,0
1667464244,0.666
1667464243,0
1667464242,2.0002
1667464241,1.3337
1667464240,0
1667464239,2
1667464238,0.9997
1667464237,0
1667464236,1.5999
1667464235,0
1667464234,1.2855
1667464233,2.0003
1667464232,2
1667464231,2.0002
1667464230,0.9989
1667464229,7.0035
1667464228,1.9999
1667464227,0.9984
1667464226,0.9999
1667464225,1.3333
1667464224,1.5
1667464223,1.0003
1667464222,1.4288
1667464221,7.1969
1667464220,0.9999
1667464219,3.9993
1667464218,2.6663
1667464217,1.9996
1667464216,9.0003
1667464215,4.3755
1667464214,6.6736
1667464213,4.0009
1667464212,11.1346
1667464211,9.8781
1667464210,7.9938
1667464209,6.0001
1667464208,8.1811
1667464207,6.3981
1667464206,7.3743
1667464205,6.0019
1667464204,7.6202
1667464203,5.0819
1667464202,7.0002
1667464201,34.1415
1667464200,5.999
1667464199,1.6656
1667464198,0.9996
1667464197,1.9994
1667464196,1.6
1667464195,2.0005
