time,node
1667468954,1.0001
1667468953,0.7498
1667468952,2
1667468951,1.0001
1667468950,1.0003
1667468949,0.4999
1667468948,2.0004
1667468947,0.9999
1667468946,1.0001
1667468945,1.1424
1667468944,1.0001
1667468943,1.9995
1667468942,2.0002
1667468941,0.9987
1667468940,0.7139
1667468939,1.0002
1667468938,0.7506
1667468937,1.9998
1667468936,0.9989
1667468935,1.0001
1667468934,1.1114
1667468933,1
1667468932,1.2008
1667468931,1
1667468930,1
1667468929,1
1667468928,1.9994
1667468927,0.7999
1667468926,0.7502
1667468925,0.9999
1667468924,1.9983
1667468923,1
1667468922,1.7149
1667468921,1.3332
1667468920,0.9997
1667468919,1.0002
1667468918,0.7987
1667468917,1.0002
1667468916,2.1435
1667468915,2.0005
1667468914,0.6667
1667468913,2.0004
1667468912,0.9998
1667468911,0.9995
1667468910,1.9998
1667468909,1
1667468908,2.0002
1667468907,1.0003
1667468906,0.6663
1667468905,1.0006
1667468904,1.9998
1667468903,1.429
1667468902,0.9989
1667468901,1
1667468900,0.6
1667468899,1
1667468898,1.6684
1667468897,1.0001
1667468896,1.8743
1667468895,1.0004
1667468894,0.9996
1667468893,1.3343
1667468892,0
1667468891,0.9997
1667468890,1.0002
1667468889,1.0003
1667468888,2.1425
1667468887,0.5
1667468886,1
1667468885,0.9997
1667468884,0.9998
1667468883,1.9998
1667468882,0.7508
1667468881,0.8329
1667468880,1.5011
1667468879,0.9993
1667468878,1.9998
1667468877,1.1434
1667468876,2.9955
1667468875,1.0004
1667468874,1.0001
1667468873,1.0002
1667468872,1.9995
1667468871,1.8741
1667468870,0
1667468869,3.0006
1667468868,1.1093
1667468867,1.0002
1667468866,0
1667468865,1.0004
1667468864,1.6668
1667468863,0.9997
1667468862,1.0002
1667468861,2.3331
1667468860,0.9999
1667468859,0
1667468858,1
1667468857,0.857
1667468856,1.0002
1667468855,0.9999
1667468854,2.4958
1667468853,0
1667468852,1.7132
1667468851,2.0002
1667468850,7.9992
1667468849,1
1667468848,0.9997
1667468847,1.143
1667468846,1
1667468845,1.0002
1667468844,1.6006
1667468843,0.9999
1667468842,0.8576
1667468841,1.0001
1667468840,1.1247
1667468839,1
1667468838,1.3334
1667468837,1
1667468836,0.9998
1667468835,1.9991
1667468834,0.9998
1667468833,1
1667468832,1.5018
1667468831,1.2492
1667468830,1.0002
1667468829,0.9999
1667468828,2.0005
1667468827,0.9997
1667468826,2.0001
1667468825,1.6651
1667468824,1.0001
1667468823,1
1667468822,0.8
1667468821,1.0001
1667468820,0.9996
1667468819,2.0005
1667468818,1.2852
1667468817,0.7142
1667468816,1.0001
1667468815,1
1667468814,1.9998
1667468813,2.0003
1667468812,1.5003
1667468811,0.8335
1667468810,3.0003
1667468809,0.5001
1667468808,1.0001
1667468807,2.498
1667468806,1
1667468805,2.9981
1667468804,3.0003
1667468803,2.0004
1667468802,2.2226
1667468801,4.0005
1667468800,3.0009
1667468799,9.9896
1667468798,6.9277
1667468797,13.3422
1667468796,8.9996
1667468795,5.8525
1667468794,7.0008
1667468793,3.3324
1667468792,5.341
1667468791,7.0031
1667468790,8.9937
1667468789,8.9956
1667468788,5.0952
1667468787,9.9998
1667468786,8.4662
1667468785,7.2624
1667468784,5.001
1667468783,13.9989
1667468782,3.5007
1667468781,7.0005
1667468780,6.0002
1667468779,6.9223
1667468778,7.0072
1667468777,5.7251
1667468776,13.9971
1667468775,6.1544
1667468774,9.3042
1667468773,7.0003
1667468772,6.2306
1667468771,9.9946
1667468770,6.9979
1667468769,12.2776
1667468768,5.9947
1667468767,5.4004
1667468766,5.828
1667468765,5.6016
1667468764,5.9986
1667468763,3.43
1667468762,5.0086
1667468761,12.4036
1667468760,7.715
1667468759,7.0014
1667468758,3.5034
1667468757,11.005
1667468756,0.9996
1667468755,1.0002
1667468754,1.429
1667468753,1.4277
1667468752,1.9994
1667468751,7.0006
1667468750,2.0002
1667468749,2.6675
1667468748,1
1667468747,1.1434
1667468746,1.9982
1667468745,2.0005
1667468744,2.3971
1667468743,1.0003
1667468742,0.8575
1667468741,0.5998
1667468740,0.7996
1667468739,2
1667468738,0.7502
1667468737,5.3344
1667468736,3.9991
1667468735,8.0018
1667468734,4.3749
1667468733,7.5737
1667468732,6.6634
1667468731,4.4395
1667468730,7.0014
1667468729,5.1437
1667468728,3
1667468727,4.3615
1667468726,4.4435
1667468725,10.0052
1667468724,6.296
1667468723,4.0003
1667468722,3.8878
1667468721,4.3758
1667468720,4.9997
1667468719,4.9089
1667468718,12.0015
1667468717,5.329
1667468716,8.0034
1667468715,5.4571
1667468714,6.6581
1667468713,6.0027
1667468712,8.0006
1667468711,12.9967
1667468710,5.9996
1667468709,4.5011
1667468708,6.9981
1667468707,7.0042
1667468706,9.3135
1667468705,5.0879
1667468704,13.4623
1667468703,4.0004
1667468702,8.2639
1667468701,33.2344
1667468700,3.9835
1667468699,1.4984
1667468698,1.5002
1667468697,1.0004
1667468696,0.9997
1667468695,0.7504
1667468694,0.7145
1667468693,2.0004
1667468692,2
1667468691,0.9998
1667468690,1
1667468689,1.7149
1667468688,0
1667468687,2.2525
1667468686,1.4272
1667468685,0.9997
1667468684,6.0006
1667468683,15.2141
1667468682,0.5992
1667468681,0.9999
1667468680,2.503
1667468679,0.7143
1667468678,5.0002
1667468677,7.9985
1667468676,9.6247
1667468675,6.0012
1667468674,13.3407
1667468673,8.0705
1667468672,5.0001
1667468671,3.0022
1667468670,2.0002
1667468669,14.1107
