time,node
1667469485,0
1667469484,0
1667469483,0
1667469482,0
1667469481,0.25
1667469480,0
1667469479,0
1667469478,0
1667469477,0
1667469476,0
1667469475,0.75
1667469474,0
1667469473,0
1667469472,0
1667469471,0
1667469470,0.3333
1667469469,0
1667469468,0
1667469467,0
1667469466,0
1667469465,0
1667469464,0.3998
1667469463,0
1667469462,0.3332
1667469461,0
1667469460,0
1667469459,0
1667469458,0
1667469457,0
1667469456,0
1667469455,0
1667469454,0
1667469453,1
1667469452,0
1667469451,0
1667469450,0
1667469449,0
1667469448,0
1667469447,0.6666
1667469446,0
1667469445,0
1667469444,0
1667469443,0
1667469442,0
1667469441,0
1667469440,0.3333
1667469439,0.2
1667469438,0
1667469437,0
1667469436,0
1667469435,0
1667469434,0
1667469433,0.6666
1667469432,0
1667469431,0
1667469430,0
1667469429,0
1667469428,0
1667469427,0.3333
1667469426,0
1667469425,0
1667469424,0
1667469423,0
1667469422,0.6665
1667469421,0
1667469420,0
1667469419,0.3333
1667469418,0
1667469417,0
1667469416,0
1667469415,0
1667469414,0
1667469413,0
1667469412,0
1667469411,0
1667469410,0
1667469409,0
1667469408,0
1667469407,1
1667469406,0
1667469405,0
1667469404,0
1667469403,0
1667469402,0
1667469401,0.4998
1667469400,0
1667469399,0
1667469398,0
1667469397,0
1667469396,0
1667469395,0.2499
1667469394,0
1667469393,0
1667469392,0
1667469391,0
1667469390,0
1667469389,0
1667469388,0
1667469387,0
1667469386,0
1667469385,0
1667469384,0
1667469383,0
1667469382,1
1667469381,0
1667469380,0
1667469379,0
1667469378,0
1667469377,0.5
1667469376,0
1667469375,0
1667469374,0
1667469373,0
1667469372,0.3999
1667469371,0
1667469370,0
1667469369,0.2
1667469368,0
1667469367,0
1667469366,0
1667469365,0
1667469364,0.5
1667469363,0
1667469362,0
1667469361,0
1667469360,0
1667469359,0
1667469358,0.9998
1667469357,0
1667469356,0
1667469355,0
1667469354,0
1667469353,0
1667469352,0.3333
1667469351,0
1667469350,0
1667469349,0
1667469348,0
1667469347,0.25
1667469346,0
1667469345,0
1667469344,1.6002
1667469343,0.9999
1667469342,0.5999
1667469341,0.6668
1667469340,1.6001
1667469339,2
1667469338,1
1667469337,0.3332
1667469336,2.9994
1667469335,1.2002
1667469334,0.3998
1667469333,1.8001
1667469332,1.714
1667469331,1.9997
1667469330,1.5
1667469329,0.7999
1667469328,0.9999
1667469327,1.7998
1667469326,1.1996
1667469325,1.2
1667469324,1.7143
1667469323,0.4998
1667469322,1.6003
1667469321,0.4999
1667469320,1.7141
1667469319,1.3334
1667469318,1.4998
1667469317,2
1667469316,0.7489
1667469315,2
1667469314,1.2004
1667469313,0.3332
1667469312,1.8003
1667469311,1.713
1667469310,1
1667469309,2.4996
1667469308,0.6666
1667469307,1.7145
1667469306,1.4995
1667469305,0.25
1667469304,0.7998
1667469303,1.8001
1667469302,0.5
1667469301,1.4998
1667469300,2.9998
1667469299,1.4986
1667469298,2.4
1667469297,1.9996
1667469296,1.5
1667469295,0.7499
1667469294,1.1998
1667469293,0.7998
1667469292,2
1667469291,1.9998
1667469290,1.7777
1667469289,0.9996
1667469288,0.9998
1667469287,0.6668
1667469286,0.9999
1667469285,0
1667469284,0.6669
1667469283,0.6665
1667469282,0.9998
1667469281,0.9999
1667469280,0.3334
1667469279,1.3328
1667469278,0.9998
1667469277,0
1667469276,1
1667469275,1.3332
1667469274,0
1667469273,2.9997
1667469272,0
1667469271,0.5001
1667469270,0
1667469269,0.9999
1667469268,0.6666
1667469267,0.25
1667469266,0.7496
1667469265,2
1667469264,0
1667469263,0.9999
1667469262,1
1667469261,1.333
1667469260,0.9999
1667469259,1
1667469258,0.6666
1667469257,1.2001
1667469256,0.5998
1667469255,0.7499
1667469254,2.6664
1667469253,2.2501
1667469252,2.3998
1667469251,3.1253
1667469250,1.4288
1667469249,0.9997
1667469248,3.0001
1667469247,1.4284
1667469246,2.3998
1667469245,2.9998
1667469244,3.751
1667469243,2.8565
1667469242,2.6666
1667469241,3.5005
1667469240,0
1667469239,0.5
1667469238,0
1667469237,0
1667469236,0
1667469235,0
1667469234,0
1667469233,0.9997
1667469232,0
1667469231,0
1667469230,0
1667469229,0
1667469228,0
1667469227,0
1667469226,0
1667469225,0.3332
1667469224,0
1667469223,0
1667469222,0
1667469221,0.6667
1667469220,0
1667469219,0
1667469218,0.2499
1667469217,0
1667469216,0
1667469215,0.3333
1667469214,0
1667469213,0
1667469212,0
1667469211,0.3333
1667469210,0
