time,received,sent
1667469485,9.754564,-10.49314
1667469484,10.054679,-10.904575
1667469483,9.753316,-10.308998
1667469482,9.526838,-10.102767
1667469481,9.526892,-10.102825
1667469480,9.52826,-10.104275
1667469479,9.527931,-10.103927
1667469478,9.527848,-10.103839
1667469477,9.528055,-10.104059
1667469476,9.528443,-10.10447
1667469475,9.678103,-10.254052
1667469474,9.793411,-10.369432
1667469473,9.528366,-10.104388
1667469472,9.528138,-10.104146
1667469471,9.527661,-10.10364
1667469470,9.527981,-10.103979
1667469469,9.528371,-10.104393
1667469468,9.52875,-10.104796
1667469467,9.527338,-10.103298
1667469466,9.528125,-10.104133
1667469465,14.30548,-10.998785
1667469464,17.91092,-11.673636
1667469463,9.527543,-10.103516
1667469462,9.527628,-10.103605
1667469461,14.303759,-10.995147
1667469460,18.06377,-11.820414
1667469459,9.792978,-10.368977
1667469458,9.528589,-10.104624
1667469457,9.528898,-10.104952
1667469456,9.52601,-10.101889
1667469455,9.527602,-10.103578
1667469454,9.528253,-10.104268
1667469453,9.527992,-10.103991
1667469452,9.64411,-10.220109
1667469451,9.73182,-10.307817
1667469450,9.667121,-10.324393
1667469449,9.773128,-10.491871
1667469448,9.528119,-10.104127
1667469447,9.527607,-10.103584
1667469446,9.52855,-10.104584
1667469445,9.679477,-10.255505
1667469444,9.791845,-10.367776
1667469443,9.528347,-10.104368
1667469442,9.528287,-10.104304
1667469441,9.527632,-10.103609
1667469440,9.986784,-10.609242
1667469439,10.333537,-10.991099
1667469438,9.528077,-10.104082
1667469437,9.644876,-10.220919
1667469436,9.731761,-10.307757
1667469435,9.527148,-10.103096
1667469434,9.772888,-10.348944
1667469433,9.955988,-10.531985
1667469432,9.526788,-10.102715
1667469431,9.644073,-10.22007
1667469430,9.998671,-10.574655
1667469429,10.113019,-10.689018
1667469428,9.731685,-10.307673
1667469427,9.528507,-10.104538
1667469426,9.527663,-10.103643
1667469425,9.528537,-10.10457
1667469424,9.528299,-10.104317
1667469423,9.527375,-10.103337
1667469422,9.528924,-10.10498
1667469421,9.528486,-10.104515
1667469420,9.527292,-10.10325
1667469419,9.527907,-10.103901
1667469418,9.527523,-10.103495
1667469417,9.528146,-10.104154
1667469416,9.528371,-10.104393
1667469415,9.678961,-10.25496
1667469414,9.793154,-10.369163
1667469413,9.527368,-10.103329
1667469412,9.527995,-10.103995
1667469411,9.527801,-10.103789
1667469410,9.528702,-10.104744
1667469409,9.528747,-10.104792
1667469408,9.527504,-10.103474
1667469407,9.527592,-10.103568
1667469406,9.527498,-10.103467
1667469405,14.30378,-10.998294
1667469404,17.91259,-11.674099
1667469403,9.527597,-10.103572
1667469402,9.644365,-10.104251
1667469401,14.623104,-11.111037
1667469400,18.26757,-12.023752
1667469399,9.79281,-10.368796
1667469398,9.528571,-10.104605
1667469397,9.528334,-10.104354
1667469396,9.527095,-10.10304
1667469395,9.75465,-10.493234
1667469394,9.925839,-10.787285
1667469393,9.527663,-10.103642
1667469392,9.528194,-10.104206
1667469391,9.528387,-10.10441
1667469390,9.528099,-10.104105
1667469389,9.52787,-10.103862
1667469388,9.527492,-10.103461
1667469387,9.528185,-10.104196
1667469386,9.528435,-10.104461
1667469385,9.52739,-10.103353
1667469384,9.679318,-10.255339
1667469383,9.793151,-10.369159
1667469382,9.527776,-10.103763
1667469381,9.52852,-10.104551
1667469380,9.528249,-10.104264
1667469379,9.528563,-10.104597
1667469378,9.528543,-10.104576
1667469377,9.526782,-10.102708
1667469376,9.643998,-10.219989
1667469375,9.732383,-10.308415
1667469374,9.527678,-10.103659
1667469373,9.527725,-10.103708
1667469372,9.64385,-10.219833
1667469371,9.731984,-10.307991
1667469370,9.528292,-10.10431
1667469369,9.67961,-10.255645
1667469368,9.792932,-10.368929
1667469367,9.527634,-10.103612
1667469366,9.528062,-10.104066
1667469365,9.527311,-10.10327
1667469364,9.528642,-10.104681
1667469363,9.528249,-10.104264
1667469362,9.526767,-10.102693
1667469361,9.528191,-10.104203
1667469360,9.528697,-10.104739
