time,node
1667494029,271.6953
1667494028,271.4375
1667494027,271.4375
1667494026,271.4375
1667494025,271.4375
1667494024,271.4648
1667494023,271.4648
1667494022,271.4648
1667494021,271.2188
1667494020,271.2188
1667494019,271.2188
1667494018,271.2188
1667494017,271.2188
1667494016,271.2188
1667494015,271.2188
1667494014,271.2188
1667494013,272.0547
1667494012,272.0508
1667494011,272.0508
1667494010,272.0508
1667494009,272.0508
1667494008,271.8047
1667494007,271.8047
1667494006,271.8047
1667494005,273.3047
1667494004,273.3047
1667494003,273.3047
1667494002,273.3047
1667494001,273.3047
1667494000,273.3047
1667493999,273.3047
1667493998,274.3047
1667493997,274.3047
1667493996,274.3047
1667493995,274.3047
1667493994,274.3047
1667493993,274.3047
1667493992,274.2539
1667493991,274.2539
1667493990,274.2539
1667493989,274.2539
1667493988,274.2539
1667493987,274.2539
1667493986,274.2539
1667493985,274.2539
1667493984,274.2539
1667493983,274.2539
1667493982,274.2539
1667493981,274.2539
1667493980,274.25
1667493979,274.25
1667493978,274.0078
1667493977,274.0078
1667493976,273.9219
1667493975,273.9219
1667493974,273.9219
1667493973,273.9219
1667493972,273.9219
1667493971,273.9219
1667493970,273.9219
1667493969,273.9219
1667493968,273.9219
1667493967,273.9219
1667493966,273.9219
1667493965,273.9219
1667493964,273.9219
1667493963,274.0977
1667493962,274.1328
1667493961,275.7773
1667493960,276.2109
1667493959,272.0977
1667493958,278.1328
1667493957,276.7148
1667493956,276.4492
1667493955,277.293
1667493954,276.2266
1667493953,275.9609
1667493952,276.5391
1667493951,274.8945
1667493950,274.8164
1667493949,275.2383
1667493948,275.207
1667493947,273.6328
1667493946,274
1667493945,273.6094
1667493944,272.8789
1667493943,273.0898
1667493942,276.0078
1667493941,278.5469
1667493940,278.0469
1667493939,276.6133
1667493938,277.1914
1667493937,276.4375
1667493936,276.4102
1667493935,276.9297
1667493934,276.4258
1667493933,275.7461
1667493932,275.4531
1667493931,275.5703
1667493930,275.2539
1667493929,274.8281
1667493928,275.3086
1667493927,273.1484
1667493926,273.2031
1667493925,273.4531
1667493924,273.8555
1667493923,272.3203
1667493922,272.7422
1667493921,274.3555
1667493920,274.1328
1667493919,274.0898
1667493918,273.5938
1667493917,272.8828
1667493916,272.6094
1667493915,273.7109
1667493914,271.7227
1667493913,272.3203
1667493912,271.6523
1667493911,271.2812
1667493910,271.1523
1667493909,271.3633
1667493908,270.9023
1667493907,271.1641
1667493906,271.875
1667493905,270.957
1667493904,271.2148
1667493903,271.6055
1667493902,272.6445
1667493901,274.2461
1667493900,272.9688
1667493899,273.0039
1667493898,272.332
1667493897,271.7031
1667493896,272.5742
1667493895,270.9297
1667493894,272.0781
1667493893,270.6172
1667493892,270.9766
1667493891,270.7383
1667493890,269.8008
1667493889,268.8867
1667493888,270.793
1667493887,270.6875
1667493886,269.625
1667493885,270.0117
1667493884,270.2422
1667493883,270.1602
1667493882,269.6289
1667493881,273.0195
1667493880,273.1445
1667493879,272.4102
1667493878,272.0469
1667493877,270.9531
1667493876,270.582
1667493875,269.8789
1667493874,269.6406
1667493873,269.6289
1667493872,269.1367
1667493871,268.8477
1667493870,267.6289
1667493869,267.6953
1667493868,265.9922
1667493867,265.9492
1667493866,265.9414
1667493865,266.4688
1667493864,266.668
1667493863,266.7461
1667493862,266.5586
1667493861,266.8984
1667493860,266.4766
1667493859,266.3242
1667493858,265.5352
1667493857,264.6523
1667493856,263.1914
1667493855,263.8711
1667493854,264.1367
1667493853,263.6406
1667493852,263.3008
1667493851,263.4414
1667493850,262.3906
1667493849,261.0859
1667493848,260.6641
1667493847,260.2656
1667493846,260.0781
1667493845,259.7305
1667493844,259.0195
1667493843,258.1172
1667493842,257.7539
1667493841,256.5117
1667493840,255.4648
1667493839,255.4648
1667493838,255.4648
1667493837,255.4961
1667493836,255.543
1667493835,255.543
1667493834,255.3984
1667493833,255.3398
1667493832,255.1875
1667493831,255.1875
1667493830,255.1875
1667493829,255.1875
1667493828,255.1875
1667493827,255.1875
1667493826,255.0352
1667493825,254.7891
1667493824,254.7891
1667493823,254.7891
1667493822,254.7891
1667493821,254.7891
1667493820,254.7891
1667493819,254.7891
1667493818,254.7891
1667493817,254.7891
1667493816,269.0312
1667493815,284.0312
1667493814,290.9648
1667493813,290.9648
1667493812,291.1055
1667493811,291.0898
1667493810,292.1484
1667493809,294.8398
1667493808,295.0938
1667493807,295.0938
1667493806,295.5
1667493805,295.4453
1667493804,295.5664
1667493803,296.5352
1667493802,304.4375
1667493801,264.5039
1667493800,166.8125
1667493799,129.80859
1667493798,62.96094
1667493797,84.80859
1667493796,72.82812
1667493795,28.71094
1667493794,7.390625
1667493793,null
1667493792,null
1667493791,null
1667493790,null
1667493789,null
1667493788,null
1667493787,null
1667493786,null
1667493785,null
1667493784,null
1667493783,null
1667493782,null
1667493781,null
1667493780,null
1667493779,null
