time,node
1667489471,1.5006
1667489470,0
1667489469,1.5988
1667489468,0
1667489467,0.6661
1667489466,0.5711
1667489465,0.8573
1667489464,0.9999
1667489463,0.6666
1667489462,0
1667489461,14.0029
1667489460,25.5065
1667489459,48.1699
1667489458,30.1699
1667489457,14.5941
1667489456,20.0978
1667489455,50.0967
1667489454,57.0179
1667489453,16.9957
1667489452,25.0026
1667489451,21.5146
1667489450,34.2325
1667489449,70.3641
1667489448,25.009
1667489447,15.6899
1667489446,23.7227
1667489445,36.9629
1667489444,29.1341
1667489443,58.5609
1667489442,31.9758
1667489441,23.1155
1667489440,10.5011
1667489439,24.9963
1667489438,86.3548
1667489437,35.0076
1667489436,31.0313
1667489435,28.8492
1667489434,28.0021
1667489433,77.4526
1667489432,21.0036
1667489431,28.9965
1667489430,32.5125
1667489429,27.1989
1667489428,38.949
1667489427,17.0024
1667489426,17.5366
1667489425,18.9856
1667489424,18.2136
1667489423,28.948
1667489422,38.016
1667489421,66.0183
1667489420,19.1694
1667489419,21.0068
1667489418,20.3506
1667489417,18.1322
1667489416,30.0816
1667489415,23.5357
1667489414,32.2322
1667489413,23.07
1667489412,17.0003
1667489411,13.9447
1667489410,28.9846
1667489409,22.5307
1667489408,81.8138
1667489407,37.6839
1667489406,36.1622
1667489405,65.0626
1667489404,31.3192
1667489403,22.9783
1667489402,19.4598
1667489401,17.0106
1667489400,20.1339
1667489399,19.253
1667489398,17.4777
1667489397,14.4632
1667489396,13.9984
1667489395,26.0306
1667489394,21.9745
1667489393,26.2564
1667489392,14.5842
1667489391,55.9756
1667489390,55.5732
1667489389,15.1152
1667489388,13.0121
1667489387,12.6421
1667489386,9.7625
1667489385,14.9658
1667489384,18.392
1667489383,22.9682
1667489382,12.922
1667489381,37.0897
1667489380,36.155
1667489379,45.9786
1667489378,16.2475
1667489377,14.4098
1667489376,26.77
1667489375,20.0093
1667489374,30.1961
1667489373,28.1003
1667489372,60.1542
1667489371,15.0013
1667489370,18.0018
1667489369,23.5911
1667489368,14.9803
1667489367,19.2504
1667489366,11.3329
1667489365,30.7406
1667489364,25.4533
1667489363,30.0933
1667489362,29.0046
1667489361,12.4498
1667489360,13.3009
1667489359,20.0007
1667489358,15.2451
1667489357,13.3
1667489356,11.9994
1667489355,10.1473
1667489354,18.2116
1667489353,12.1682
1667489352,9.4323
1667489351,21.2631
1667489350,8.9946
1667489349,18.3487
1667489348,8.0003
1667489347,10.1146
1667489346,15.3837
1667489345,19.0173
1667489344,14.2945
1667489343,15.9935
1667489342,21.959
1667489341,13.1773
1667489340,0
1667489339,1
1667489338,1.6665
1667489337,0.8003
1667489336,1.001
1667489335,0.3994
1667489334,0
1667489333,1.0001
1667489332,1
1667489331,0
1667489330,0.4999
1667489329,0
1667489328,0.8323
1667489327,0.5002
1667489326,0
1667489325,1.0001
1667489324,2
1667489323,0
1667489322,0.5006
1667489321,0.7486
1667489320,1.0002
1667489319,0
1667489318,1.0012
1667489317,1.1415
1667489316,1.6022
1667489315,0
1667489314,0.7502
1667489313,0
1667489312,0.9998
1667489311,0.4008
1667489310,0
1667489309,1
