time,node
1668009551,0.9999
1668009550,0
1668009549,1.0002
1668009548,0.7502
1668009547,0.9998
1668009546,0
1668009545,0.6674
1668009544,0.9997
1668009543,0
1668009542,1.9999
1668009541,1.0006
1668009540,0.4999
1668009539,0.9996
1668009538,0.6669
1668009537,1.9998
1668009536,1.1997
1668009535,1.0002
1668009534,0
1668009533,0.7999
1668009532,0
1668009531,0.75
1668009530,0.8
1668009529,1.0001
1668009528,0.2501
1668009527,1.0003
1668009526,0
1668009525,0.9999
1668009524,0.6659
1668009523,1.0004
1668009522,2.4991
1668009521,0.9997
1668009520,0.4997
1668009519,0
1668009518,0.9994
1668009517,1.0006
1668009516,0.7491
1668009515,1.9995
1668009514,0
1668009513,0.7499
1668009512,2
1668009511,0.4996
1668009510,0.9999
1668009509,0.6666
1668009508,0.8003
1668009507,0.9998
1668009506,1.0002
1668009505,0
1668009504,1.0001
1668009503,0
1668009502,0.9998
1668009501,1.5004
1668009500,0.6003
1668009499,1.0002
1668009498,1.0004
1668009497,1.3314
1668009496,0.9998
1668009495,1.0003
1668009494,0
1668009493,0.8002
1668009492,1.3335
1668009491,1.9997
1668009490,0.375
1668009489,0
1668009488,1.0001
1668009487,0
1668009486,1.0001
1668009485,0.9998
1668009484,1.0001
1668009483,0.9999
1668009482,2.0001
1668009481,10.0012
1668009480,17.0097
1668009479,21.9915
1668009478,23.1963
1668009477,32.0073
1668009476,34.0055
1668009475,17.9964
1668009474,24.4071
1668009473,38.9216
1668009472,76.6363
1668009471,51.0391
1668009470,28.0013
1668009469,29.0362
1668009468,44.9488
1668009467,45.0241
1668009466,17.9904
1668009465,36.3599
1668009464,60.9953
1668009463,84.3819
1668009462,27.9873
1668009461,25.1568
1668009460,22.0028
1668009459,28.2949
1668009458,72.9627
1668009457,31.7233
1668009456,13.0006
1668009455,27.562
1668009454,22.9342
1668009453,79.9883
1668009452,35.0201
1668009451,20.9868
1668009450,24.0069
1668009449,29.0009
1668009448,46.1023
1668009447,67.7479
1668009446,24.0941
1668009445,12.9884
1668009444,15.1195
1668009443,37.5209
1668009442,29.1227
1668009441,86.0884
1668009440,20.9597
1668009439,21.1597
1668009438,16.1063
1668009437,22.0183
1668009436,36.0909
1668009435,27.9955
1668009434,20.2709
1668009433,21.0846
1668009432,29.0451
1668009431,33.4603
1668009430,21.8304
1668009429,41.5869
1668009428,45.18
1668009427,56.0097
1668009426,12.9995
1668009425,17.0004
1668009424,19.3588
1668009423,18.0025
1668009422,9.0011
1668009421,14.0002
1668009420,17.5453
1668009419,22.0164
1668009418,27.9679
1668009417,15.1618
1668009416,14.3998
1668009415,20.9288
1668009414,19.982
1668009413,15.0002
1668009412,27.1114
1668009411,20.4029
1668009410,35.0501
1668009409,68.8415
1668009408,15.4543
1668009407,18.4023
1668009406,12.999
1668009405,32.0039
1668009404,18.3312
1668009403,24.9995
1668009402,30.0017
1668009401,51.0417
1668009400,30.9906
1668009399,13.2225
1668009398,14.6097
1668009397,26.0025
1668009396,13.8787
1668009395,23.8911
1668009394,35.1949
1668009393,50.4269
1668009392,23.0707
1668009391,13.4208
1668009390,15.0011
1668009389,19.0006
1668009388,19.2551
1668009387,15.2091
1668009386,13.9103
1668009385,23.0055
1668009384,24.9962
1668009383,22.2462
1668009382,59.0101
1668009381,11.9995
1668009380,17.3997
1668009379,14.116
1668009378,15.9991
1668009377,15.0037
1668009376,13.3074
1668009375,7.9791
1668009374,11.7895
1668009373,22.0804
1668009372,15.0022
1668009371,13.234
1668009370,11.7996
1668009369,21.0037
1668009368,13.2001
1668009367,14.0653
1668009366,22.0028
1668009365,7.617
1668009364,14.167
1668009363,12.0014
1668009362,17.1459
1668009361,14.0062
1668009360,3.9983
1668009359,1.0001
1668009358,0.9999
1668009357,1.0003
1668009356,1.1998
1668009355,0.7497
1668009354,0
1668009353,0.4001
1668009352,0.9998
1668009351,0.6002
1668009350,0
1668009349,0.6661
1668009348,0.6003
1668009347,0.75
1668009346,1.0001
1668009345,0.9999
1668009344,2.997
1668009343,0.5002
1668009342,0.9995
1668009341,1
1668009340,0
1668009339,0.9995
1668009338,1.6012
1668009337,0
1668009336,0.75
1668009335,1.0001
1668009334,0
1668009333,0.7503
1668009332,1.999
1668009331,0.5002
1668009330,0.8576
1668009329,0.5994
1668009328,0.8007
1668009327,0.666
1668009326,5.3358
1668009325,10.3976
1668009324,7.3396
1668009323,1.0001
1668009322,1.998
1668009321,1
1668009320,0
1668009319,10.9969
1668009318,2.0004
1668009317,1
1668009316,1.0002
1668009315,0
1668009314,3.0003
1668009313,1.0006
1668009312,4.9986
1668009311,43.8563
1668009310,9.1435
1668009309,45.4284
1668009308,0.0887
1668009307,null
1668009306,null
1668009305,null
1668009304,null
1668009303,null
1668009302,null
1668009301,null
1668009300,null
1668009299,null
