time,received,sent
1668009551,18.9304,-18.02208
1668009550,9.411525,-9.423451
1668009549,11.152608,-11.172682
1668009548,11.600264,-11.612192
1668009547,11.151163,-11.171234
1668009546,13.836732,-13.607132
1668009545,14.259156,-13.884682
1668009544,11.385732,-11.572811
1668009543,14.637529,-15.452425
1668009542,16.50908,-17.07313
1668009541,15.363212,-14.341858
1668009540,14.258398,-13.497732
1668009539,11.15092,-11.170988
1668009538,11.600113,-11.612042
1668009537,14.392674,-14.350128
1668009536,16.411279,-16.305897
1668009535,9.411881,-9.423809
1668009534,11.15143,-11.171502
1668009533,12.053263,-11.898216
1668009532,12.821187,-12.226286
1668009531,15.361088,-14.569476
1668009530,14.260734,-13.886222
1668009529,11.152731,-11.172804
1668009528,13.79045,-14.491129
1668009527,19.74254,-16.94003
1668009526,22.08068,-14.923162
1668009525,14.257369,-13.496651
1668009524,11.152977,-11.17305
1668009523,12.054144,-11.899029
1668009522,16.536463,-15.276173
1668009521,23.62597,-17.96054
1668009520,17.65462,-10.963383
1668009519,11.152498,-11.172571
1668009518,11.838293,-11.730941
1668009517,11.555438,-11.374789
1668009516,13.837543,-13.378089
1668009515,14.257,-13.496383
1668009514,12.467066,-12.570639
1668009513,16.457087,-17.13133
1668009512,16.510277,-17.07452
1668009511,15.361291,-14.569694
1668009510,14.2593,-13.884831
1668009509,11.330979,-11.291417
1668009508,11.900932,-11.812493
1668009507,14.393166,-14.350624
1668009506,16.411328,-16.305943
1668009505,9.411791,-9.423718
1668009504,11.15244,-11.172513
1668009503,12.053621,-11.898538
1668009502,13.059365,-12.345181
1668009501,15.762639,-14.770318
1668009500,14.261189,-13.886708
1668009499,11.386334,-11.573489
1668009498,14.301298,-15.28316
1668009497,15.040515,-16.219568
1668009496,13.836258,-13.376963
1668009495,14.389685,-13.61698
1668009494,11.491754,-11.372487
1668009493,12.374226,-12.018412
1668009492,16.85305,-16.052413
1668009491,18.92921,-18.02094
1668009490,9.412331,-9.424258
1668009489,11.151522,-11.171596
1668009488,11.601072,-11.613001
1668009487,11.15262,-11.172692
1668009486,13.836087,-13.376824
1668009485,14.25907,-13.49826
1668009484,11.151183,-11.171255
1668009483,14.244025,-14.777657
1668009482,20.11485,-20.81048
1668009481,30.14695,-29.65066
1668009480,39.81884,-39.31331
1668009479,37.65643,-38.16103
1668009478,33.80131,-35.06695
1668009477,36.65907,-36.08708
1668009476,37.04522,-37.15177
1668009475,29.38879,-29.09943
1668009474,33.89696,-33.35142
1668009473,35.74074,-37.66455
1668009472,36.28899,-36.45939
1668009471,38.75483,-38.00758
1668009470,34.30327,-36.3082
1668009469,31.71013,-32.96493
1668009468,38.82781,-39.30391
1668009467,43.85956,-39.51047
1668009466,43.78368,-34.35262
1668009465,39.40162,-38.13243
1668009464,37.0856,-37.72682
1668009463,35.69916,-36.42845
1668009462,42.19663,-41.16654
1668009461,64.21185,-46.29156
1668009460,71.64016,-43.11526
1668009459,35.95426,-34.44337
1668009458,36.17534,-36.02477
1668009457,34.09891,-36.30148
1668009456,37.00977,-36.52389
1668009455,39.50071,-39.47087
1668009454,35.59363,-36.57223
1668009453,41.48231,-40.59978
1668009452,44.75391,-40.41692
1668009451,39.64165,-37.45997
1668009450,38.24416,-39.24713
1668009449,35.87577,-36.64308
1668009448,32.40596,-32.49834
1668009447,37.82282,-36.70896
1668009446,37.84641,-36.89555
1668009445,29.44665,-30.89887
1668009444,37.21035,-37.62426
1668009443,40.40802,-39.01196
1668009442,35.31924,-34.58697
1668009441,37.68044,-37.78129
1668009440,35.49575,-35.916
1668009439,35.17291,-36.05531
