time,node
1667489906,223.7109
1667489905,223.6797
1667489904,223.6797
1667489903,222.8867
1667489902,222.9727
1667489901,222.9727
1667489900,222.9727
1667489899,222.9727
1667489898,222.9727
1667489897,222.9766
1667489896,222.9766
1667489895,222.9766
1667489894,222.9766
1667489893,222.9766
1667489892,222.832
1667489891,222.832
1667489890,222.832
1667489889,222.832
1667489888,222.832
1667489887,222.832
1667489886,222.832
1667489885,223.2383
1667489884,223.2383
1667489883,223.2383
1667489882,223.2383
1667489881,222.9922
1667489880,222.9922
1667489879,222.9922
1667489878,222.9922
1667489877,222.9922
1667489876,222.9922
1667489875,222.9922
1667489874,222.9922
1667489873,222.9922
1667489872,222.9844
1667489871,222.9844
1667489870,222.7422
1667489869,222.7422
1667489868,222.7422
1667489867,222.7422
1667489866,222.7422
1667489865,222.7422
1667489864,222.7422
1667489863,222.7422
1667489862,222.7266
1667489861,222.7266
1667489860,222.7266
1667489859,223.1406
1667489858,223.1406
1667489857,222.9023
1667489856,222.9023
1667489855,222.9023
1667489854,222.9023
1667489853,222.9023
1667489852,222.9023
1667489851,223.4023
1667489850,223.4023
1667489849,223.4023
1667489848,222.4961
1667489847,222.4961
1667489846,222.4961
1667489845,222.3711
1667489844,222.3711
1667489843,222.3711
1667489842,222.3711
1667489841,222.3711
1667489840,222.3711
1667489839,222.3711
1667489838,222.3711
1667489837,222.3711
1667489836,222.125
1667489835,222.125
1667489834,222.125
1667489833,222.125
1667489832,222.5391
1667489831,222.3555
1667489830,222.3555
1667489829,222.3555
1667489828,222.3555
1667489827,222.3555
1667489826,222.1094
1667489825,222.1133
1667489824,222.1133
1667489823,222.1133
1667489822,222.1133
1667489821,222.1133
1667489820,222.1133
1667489819,222.1133
1667489818,222.1133
1667489817,222.1133
1667489816,222.1133
1667489815,222.1133
1667489814,221.8711
1667489813,221.8867
1667489812,221.8867
1667489811,221.8867
1667489810,221.8867
1667489809,221.8867
1667489808,222.4297
1667489807,222.4297
1667489806,222.4297
1667489805,222.4297
1667489804,222.4297
1667489803,222.4297
1667489802,222.4297
1667489801,222.4297
1667489800,222.4297
1667489799,222.4297
1667489798,222.4297
1667489797,222.4805
1667489796,222.4805
1667489795,222.4805
1667489794,222.4805
1667489793,222.4805
1667489792,222.4805
1667489791,222.4805
1667489790,222.4805
1667489789,222.4805
1667489788,222.4805
1667489787,222.4805
1667489786,222.4805
1667489785,222.4766
1667489784,222.4766
1667489783,223.7383
1667489782,223.7383
1667489781,223.7383
1667489780,223.7383
1667489779,223.7383
1667489778,223.7383
1667489777,223.7383
1667489776,223.7383
1667489775,223.7383
1667489774,223.7383
1667489773,223.7383
1667489772,223.7383
1667489771,223.8828
1667489770,223.8828
1667489769,223.8789
1667489768,223.8789
1667489767,224.3438
1667489766,223.7422
1667489765,224.3945
1667489764,219.707
1667489763,224.9648
1667489762,225.6836
1667489761,224.3672
1667489760,221.3789
1667489759,225.1172
1667489758,225.4844
1667489757,225.0156
1667489756,225.9414
1667489755,225.1445
1667489754,224.0039
1667489753,223.5742
1667489752,222.668
1667489751,222.3242
1667489750,222.4023
1667489749,222.2148
1667489748,225.1172
1667489747,225.0469
1667489746,224.0938
1667489745,221.8906
1667489744,223.0859
1667489743,222.5234
1667489742,221.3359
1667489741,221.1328
1667489740,220.793
1667489739,221.3789
1667489738,217.5938
1667489737,222.6094
1667489736,221.4648
1667489735,221.3398
1667489734,219.3984
1667489733,221.0859
1667489732,223.4688
1667489731,221.8633
1667489730,221.5078
1667489729,221.3789
1667489728,220.5742
1667489727,220.7617
1667489726,220.0547
1667489725,220.3086
1667489724,220.3477
1667489723,221.7852
1667489722,219.9258
1667489721,220.3516
1667489720,219.0625
1667489719,219.1289
1667489718,219.2422
1667489717,222.2344
1667489716,220.5742
1667489715,219.6797
1667489714,220.8438
1667489713,220.1484
1667489712,218.4805
1667489711,218.832
1667489710,218.0742
1667489709,219.2188
1667489708,219.1523
1667489707,218.8906
1667489706,218.2344
1667489705,219.2812
1667489704,218.1133
1667489703,217.1875
1667489702,215.9375
1667489701,215.4727
1667489700,216.4922
1667489699,214.5586
1667489698,219.7422
1667489697,219.8789
1667489696,219.1523
1667489695,219.9453
1667489694,218.5664
1667489693,217.2773
1667489692,218.0859
1667489691,218.6797
1667489690,217.1133
1667489689,219.5195
1667489688,216.1094
1667489687,215.5039
1667489686,215.4023
1667489685,215.9531
1667489684,215.2266
1667489683,214.9375
1667489682,214.4648
1667489681,214.0078
1667489680,212.9609
1667489679,213.0117
1667489678,215.5586
1667489677,216.0859
1667489676,214.6562
1667489675,215.3125
1667489674,214.6172
1667489673,212.7969
1667489672,214.0078
1667489671,212.9805
1667489670,212.8945
1667489669,213.3906
