time,node
1668010034,224.3945
1668010033,224.3945
1668010032,224.3945
1668010031,224.4727
1668010030,224.4688
1668010029,224.2227
1668010028,224.2227
1668010027,224.7734
1668010026,225.168
1668010025,224.9297
1668010024,224.9297
1668010023,224.9805
1668010022,224.9766
1668010021,224.8398
1668010020,224.8398
1668010019,224.8906
1668010018,224.8828
1668010017,225.3398
1668010016,225.3633
1668010015,225.4336
1668010014,225.6836
1668010013,224.4258
1668010012,224.4961
1668010011,224.3008
1668010010,224.2969
1668010009,224.2969
1668010008,224.5156
1668010007,224.9688
1668010006,224.9609
1668010005,224.457
1668010004,224.457
1668010003,224.5078
1668010002,224.5781
1668010001,224.332
1668010000,224.332
1668009999,224.125
1668009998,224.1172
1668009997,224.1875
1668009996,223.9375
1668009995,223.9883
1668009994,223.9844
1668009993,223.9844
1668009992,224.0859
1668009991,223.8945
1668009990,224.4375
1668009989,224.4375
1668009988,224.4375
1668009987,224.8516
1668009986,224.8438
1668009985,224.8438
1668009984,224.8594
1668009983,224.9102
1668009982,224.9062
1668009981,224.9062
1668009980,225.9023
1668009979,225.9531
1668009978,225.9492
1668009977,226.5117
1668009976,226.5117
1668009975,226.8516
1668009974,226.8594
1668009973,227.1172
1668009972,226.6016
1668009971,226.9492
1668009970,225.9219
1668009969,225.9219
1668009968,225.9219
1668009967,225.9727
1668009966,225.9648
1668009965,225.9414
1668009964,225.9414
1668009963,225.7266
1668009962,226.625
1668009961,227.2031
1668009960,227.668
1668009959,225.6523
1668009958,229.4531
1668009957,227.5547
1668009956,227.1914
1668009955,227.9414
1668009954,220.9492
1668009953,229.0586
1668009952,227.707
1668009951,228.8477
1668009950,227.0938
1668009949,227.1836
1668009948,227.7422
1668009947,227.4023
1668009946,226.1797
1668009945,227.6094
1668009944,226.6172
1668009943,226.9023
1668009942,226.7773
1668009941,227.7891
1668009940,227.0312
1668009939,225.0234
1668009938,224.4648
1668009937,224.9297
1668009936,224.0234
1668009935,225.1211
1668009934,225.6523
1668009933,225.0234
1668009932,224.5664
1668009931,226.3672
1668009930,225.2656
1668009929,223.6719
1668009928,222.6094
1668009927,220.8672
1668009926,226.0898
1668009925,223.2773
1668009924,223.6094
1668009923,221.4414
1668009922,222.6055
1668009921,221.4023
1668009920,224.9453
1668009919,224.8359
1668009918,223.1133
1668009917,224.2305
1668009916,224.2852
1668009915,222.2031
1668009914,223.0781
1668009913,222.5703
1668009912,221.8672
1668009911,222.7656
1668009910,224.7969
1668009909,220.7539
1668009908,221.2383
1668009907,221.2617
1668009906,220.2578
1668009905,220.6211
1668009904,217.0117
1668009903,221.5
1668009902,220.8984
1668009901,219.207
1668009900,219.5977
1668009899,219.1992
1668009898,219.5859
1668009897,220.8867
1668009896,219.1367
1668009895,217.9766
1668009894,217.3164
1668009893,216.8594
1668009892,216.4336
1668009891,219.1016
1668009890,218.875
1668009889,218.4453
1668009888,217.8516
1668009887,217.0195
1668009886,216.8906
1668009885,216.1367
1668009884,216.7539
1668009883,216.3281
1668009882,223.332
1668009881,222.2812
1668009880,222.0078
1668009879,221.3281
1668009878,220.375
1668009877,218.3984
1668009876,217.2266
1668009875,212.5977
1668009874,217.7461
1668009873,217.3359
1668009872,216.3359
1668009871,215.7773
1668009870,213.5508
1668009869,213.0078
1668009868,213.8203
1668009867,213.9961
1668009866,214.3516
1668009865,218.5781
1668009864,216.1523
1668009863,214.9609
1668009862,214.8359
1668009861,214.7344
1668009860,214.2031
1668009859,212.8867
1668009858,211.8203
1668009857,211.3984
1668009856,214.3555
1668009855,213.5742
1668009854,213.5859
1668009853,212.8633
1668009852,211.3516
1668009851,210.75
1668009850,209.5781
1668009849,208.5742
1668009848,207.5
1668009847,206.7188
1668009846,206.207
1668009845,205.0273
1668009844,204.8516
1668009843,203.6445
1668009842,201.8945
1668009841,200.4844
1668009840,197.6797
1668009839,197.5547
1668009838,197.4883
1668009837,197.457
1668009836,197.6836
1668009835,197.6523
1668009834,197.5703
1668009833,197.5234
1668009832,197.4883
1668009831,197.4727
1668009830,197.4219
1668009829,197.3633
1668009828,197.3203
1668009827,197.3164
1668009826,197.8867
1668009825,197.8672
1668009824,197.8398
1668009823,197.8477
1668009822,197.8203
1668009821,197.8047
1668009820,197.793
1668009819,197.7891
1668009818,197.8008
1668009817,197.7734
1668009816,197.7344
1668009815,197.4961
1668009814,197.8984
1668009813,197.2891
1668009812,197.25
1668009811,197.2305
1668009810,196.9609
1668009809,196.6641
1668009808,197.0977
1668009807,197.0742
1668009806,197.0312
1668009805,196.9922
1668009804,196.9492
1668009803,196.9258
1668009802,196.875
1668009801,196.832
1668009800,196.7891
1668009799,196.7773
1668009798,196.8047
1668009797,196.7617
1668009796,196.6289
1668009795,196.4727
1668009794,196.4219
1668009793,196.3711
1668009792,196.3164
1668009791,196.293
1668009790,196.7109
1668009789,196.6914
1668009788,196.7109
1668009787,196.6445
1668009786,196.5938
1668009785,196.5586
1668009784,196.5312
1668009783,196.543
1668009782,196.5039
1668009781,196.4766
1668009780,196.4297
1668009779,196.4062
