time,node
1667493023,0
1667493022,0
1667493021,0
1667493020,0
1667493019,0
1667493018,0
1667493017,0
1667493016,0
1667493015,0
1667493014,0
1667493013,0
1667493012,0
1667493011,0
1667493010,0.2499
1667493009,0
1667493008,0
1667493007,0
1667493006,0
1667493005,0
1667493004,0
1667493003,0
1667493002,0
1667493001,0
1667493000,0
1667492999,0
1667492998,0
1667492997,0
1667492996,0.9996
1667492995,0
1667492994,0
1667492993,0
1667492992,0
1667492991,0
1667492990,0
1667492989,0
1667492988,0
1667492987,0
1667492986,0
1667492985,0
1667492984,0
1667492983,0
1667492982,0
1667492981,0
1667492980,0
1667492979,0
1667492978,0
1667492977,0
1667492976,0
1667492975,0
1667492974,0
1667492973,0
1667492972,0
1667492971,0
1667492970,0.25
1667492969,0
1667492968,0
1667492967,0
1667492966,0
1667492965,0
1667492964,0
1667492963,0
1667492962,0
1667492961,0
1667492960,0.4999
1667492959,0
1667492958,0
1667492957,0
1667492956,0
1667492955,0
1667492954,0
1667492953,0
1667492952,0
1667492951,0
1667492950,0
1667492949,0
1667492948,0
1667492947,0
1667492946,0
1667492945,0
1667492944,0
1667492943,0
1667492942,0
1667492941,0.2499
1667492940,0
1667492939,0.6666
1667492938,0.9998
1667492937,1
1667492936,0
1667492935,1.3328
1667492934,0.9997
1667492933,0.8
1667492932,0.9998
1667492931,1
1667492930,0
1667492929,1.1994
1667492928,0.75
1667492927,0.9999
1667492926,0.4
1667492925,2
1667492924,0.7498
1667492923,0.7999
1667492922,1
1667492921,0.6664
1667492920,0.9999
1667492919,0.75
1667492918,0
1667492917,0.6666
1667492916,1.8752
1667492915,0.9998
1667492914,0.8
1667492913,0.6664
1667492912,1.9999
1667492911,0.3333
1667492910,0
1667492909,1.9999
1667492908,0.7502
1667492907,1.3332
1667492906,0.6664
1667492905,0.6001
1667492904,1.4996
1667492903,0.6668
1667492902,0.5998
1667492901,1
1667492900,1.4993
1667492899,1.0001
1667492898,0
1667492897,0.6666
1667492896,1.9998
1667492895,0
1667492894,0.9997
1667492893,2.3998
1667492892,3.0001
1667492891,1.6668
1667492890,1.9998
1667492889,1.1999
1667492888,2
1667492887,2.0002
1667492886,0.4999
1667492885,3.4997
1667492884,0.4999
1667492883,0.75
1667492882,5.0005
1667492881,0
1667492880,0.9999
1667492879,1.0001
1667492878,0.333
1667492877,0
1667492876,1.9998
1667492875,0.5001
1667492874,0.9996
1667492873,1.9998
1667492872,0.3998
1667492871,1
1667492870,1.0001
1667492869,1.3322
1667492868,1.1998
1667492867,0.6666
1667492866,1
1667492865,0.3999
1667492864,0.2499
1667492863,1.9998
1667492862,0.6667
1667492861,0.6666
1667492860,0
1667492859,1
1667492858,1
1667492857,1
1667492856,0.9998
1667492855,2.2501
1667492854,0.8
1667492853,0
1667492852,0.9999
1667492851,1.7142
1667492850,1.9998
1667492849,1.4998
1667492848,0.3333
1667492847,0.5
1667492846,0.5998
1667492845,1.9998
1667492844,0.8
1667492843,0.6665
1667492842,0.5
1667492841,0.6665
1667492840,0.3333
1667492839,0.5
1667492838,1
1667492837,1.7997
1667492836,1
1667492835,1
1667492834,0
1667492833,0.9999
1667492832,1
1667492831,1.4997
1667492830,0.9999
1667492829,1.6002
1667492828,0.6666
1667492827,0.9999
1667492826,0.4
1667492825,0.7498
1667492824,0.9999
1667492823,3.0002
1667492822,0.7996
1667492821,0.5
1667492820,1
1667492819,0
1667492818,0
1667492817,0
1667492816,0
1667492815,0
1667492814,0.5001
1667492813,0
1667492812,0
1667492811,0.9999
1667492810,0
1667492809,0.5
1667492808,0
1667492807,0
1667492806,0.3333
1667492805,0
1667492804,0
1667492803,0
1667492802,0.6665
1667492801,0.9999
1667492800,1.3997
1667492799,0
1667492798,0.5
1667492797,0
1667492796,0
1667492795,0.6666
1667492794,0
1667492793,1.0029
1667492792,0.0002
1667492791,null
1667492790,0
1667492789,1
