time,node
1667493023,0.4998
1667493022,1
1667493021,0.6001
1667493020,1.9993
1667493019,0.7501
1667493018,1
1667493017,1.9981
1667493016,0.8
1667493015,2.1435
1667493014,2.0002
1667493013,0
1667493012,0.8572
1667493011,0.9996
1667493010,1
1667493009,0.3334
1667493008,0.857
1667493007,1.0011
1667493006,0.7491
1667493005,1.2006
1667493004,0.9999
1667493003,0
1667493002,1.0003
1667493001,0.5998
1667493000,0.5713
1667492999,0.5002
1667492998,0.9999
1667492997,0.5001
1667492996,0.5998
1667492995,0.8001
1667492994,1.9999
1667492993,2.3996
1667492992,1.0003
1667492991,0.9998
1667492990,0.8888
1667492989,1.0004
1667492988,0.7989
1667492987,0.8001
1667492986,1
1667492985,1.9998
1667492984,0.8574
1667492983,1.3345
1667492982,1
1667492981,0.9999
1667492980,0.9998
1667492979,1.0001
1667492978,1.5993
1667492977,1
1667492976,0.6669
1667492975,0.9997
1667492974,1.0001
1667492973,1
1667492972,1
1667492971,0.857
1667492970,0
1667492969,0.8
1667492968,0.8333
1667492967,1.0004
1667492966,0.9991
1667492965,2
1667492964,0.5713
1667492963,1.9998
1667492962,0.9999
1667492961,1.0001
1667492960,1.2855
1667492959,0
1667492958,1.2507
1667492957,1.0001
1667492956,1.0001
1667492955,1
1667492954,1.3331
1667492953,0.9998
1667492952,0.8336
1667492951,0.9997
1667492950,0.9999
1667492949,0.7502
1667492948,0.7999
1667492947,1.0002
1667492946,1.428
1667492945,1.6002
1667492944,1
1667492943,0
1667492942,1.9994
1667492941,60.0001
1667492940,75.856
1667492939,29.555
1667492938,41.2057
1667492937,102.2543
1667492936,34.0523
1667492935,42.0838
1667492934,28.1872
1667492933,36.002
1667492932,56.0044
1667492931,88.07
1667492930,19.131
1667492929,18.3334
1667492928,20.3619
1667492927,73.0529
1667492926,73.0394
1667492925,33.766
1667492924,20.9895
1667492923,35.0028
1667492922,119.5573
1667492921,17.9581
1667492920,23.0014
1667492919,26.1292
1667492918,25.2614
1667492917,35.4359
1667492916,26.3766
1667492915,30.0583
1667492914,86.1828
1667492913,40.9525
1667492912,27.0882
1667492911,27.1997
1667492910,11.4724
1667492909,30.2116
1667492908,28.1225
1667492907,33.2322
1667492906,23.4398
1667492905,19.1853
1667492904,26.9308
1667492903,22.0867
1667492902,53.7967
1667492901,18.5885
1667492900,27.9892
1667492899,36.0469
1667492898,94.0915
1667492897,32.8174
1667492896,38.1891
1667492895,31.013
1667492894,29.0682
1667492893,60.414
1667492892,61.0098
1667492891,26.0113
1667492890,20.9929
1667492889,24.1216
1667492888,39.3745
1667492887,61.009
1667492886,32.1152
1667492885,25.1575
1667492884,23.0933
1667492883,48.0027
1667492882,29.2329
1667492881,33.4769
1667492880,22.0055
1667492879,85.7475
1667492878,64.1647
1667492877,17.2399
1667492876,15.0003
1667492875,33.3762
1667492874,18.9861
1667492873,37.9918
1667492872,91.0235
1667492871,30.1814
1667492870,18.9986
1667492869,28.2629
1667492868,32.0038
1667492867,52.3759
1667492866,68.685
1667492865,22.9974
1667492864,21.4811
1667492863,25.8179
1667492862,25.1183
1667492861,28.2476
1667492860,75.0107
1667492859,23.0025
1667492858,14.1694
1667492857,23.996
1667492856,14.0007
1667492855,28.7414
1667492854,12.9817
1667492853,14.9955
1667492852,24.9976
1667492851,22.1783
1667492850,19.2085
1667492849,23.2139
1667492848,18.6679
1667492847,16.3011
1667492846,18.2424
1667492845,14.2516
1667492844,21.08
1667492843,16.3631
1667492842,34.0087
1667492841,12.0012
1667492840,18.0023
1667492839,45.5286
1667492838,36.9585
1667492837,39.9803
1667492836,35.5774
1667492835,88.5761
1667492834,23.9874
1667492833,18.3564
1667492832,27.6854
1667492831,21.932
1667492830,20.4436
1667492829,29.9996
1667492828,15.0022
1667492827,15.243
1667492826,19.172
1667492825,18.2712
1667492824,29.9745
1667492823,20.2252
1667492822,14.9983
1667492821,16.0075
1667492820,2.9995
1667492819,2.0008
1667492818,8.7926
1667492817,9.287
1667492816,6.2249
1667492815,9.002
1667492814,1.9991
1667492813,1
1667492812,0.7006
1667492811,1.8162
1667492810,17.2307
1667492809,1.01
1667492808,48.0302
1667492807,70.6754
1667492806,0
1667492805,null
1667492804,null
1667492803,null
1667492802,null
1667492801,null
1667492800,null
1667492799,null
1667492798,null
1667492797,null
1667492796,null
1667492795,null
1667492794,null
1667492793,null
1667492792,null
1667492791,null
1667492790,null
1667492789,null
