time,node
1667493022,232.9375
1667493021,231.3711
1667493020,231.3711
1667493019,231.4531
1667493018,231.4531
1667493017,231.2031
1667493016,230.3633
1667493015,230.4062
1667493014,230.2969
1667493013,230.2969
1667493012,230.2969
1667493011,230.3398
1667493010,230.3398
1667493009,230.8672
1667493008,230.8867
1667493007,230.9336
1667493006,231.2305
1667493005,230.3203
1667493004,229.8086
1667493003,229.8516
1667493002,230.3516
1667493001,230.4414
1667493000,230.1914
1667492999,230.2344
1667492998,230.2344
1667492997,230.2344
1667492996,230.6445
1667492995,230.4297
1667492994,230.4297
1667492993,230.4297
1667492992,230.1992
1667492991,230.793
1667492990,230.8281
1667492989,230.4727
1667492988,230.8086
1667492987,229.8281
1667492986,230.2539
1667492985,229.6758
1667492984,229.4258
1667492983,229.7617
1667492982,229.7617
1667492981,229.5859
1667492980,229.3438
1667492979,229.3867
1667492978,229.3867
1667492977,229.7383
1667492976,229.7383
1667492975,229.4531
1667492974,229.4531
1667492973,229.3164
1667492972,229.3164
1667492971,229.3594
1667492970,229.3594
1667492969,229.4102
1667492968,229.4102
1667492967,229.4531
1667492966,229.207
1667492965,229.7305
1667492964,229.5977
1667492963,229.6328
1667492962,229.3867
1667492961,229.3867
1667492960,230.9766
1667492959,231.1719
1667492958,231.1719
1667492957,231.1719
1667492956,231.1719
1667492955,230.9258
1667492954,230.9258
1667492953,230.9258
1667492952,230.9258
1667492951,230.9688
1667492950,231.5078
1667492949,231.5391
1667492948,231.5664
1667492947,231.7461
1667492946,230.9844
1667492945,231.8555
1667492944,231.8672
1667492943,231.9219
1667492942,232.0234
1667492941,232.5742
1667492940,234.668
1667492939,235.4141
1667492938,233.375
1667492937,232.8555
1667492936,231.8125
1667492935,231.1406
1667492934,228.6562
1667492933,227.9453
1667492932,227.9883
1667492931,232.3945
1667492930,229.2773
1667492929,227.6875
1667492928,230.7812
1667492927,227.7344
1667492926,226.7656
1667492925,226.2852
1667492924,227.4492
1667492923,222.9375
1667492922,228.4023
1667492921,228.4648
1667492920,226.1055
1667492919,224.5391
1667492918,228.4297
1667492917,226.9062
1667492916,226.9648
1667492915,226.668
1667492914,223.1172
1667492913,226.6836
1667492912,226.1875
1667492911,226.4258
1667492910,226.8945
1667492909,226.3984
1667492908,224.7305
1667492907,225.5
1667492906,225.9844
1667492905,221.1758
1667492904,224.3203
1667492903,223.332
1667492902,223.5312
1667492901,223.4141
1667492900,223.6172
1667492899,225.9141
1667492898,224.0703
1667492897,222.9258
1667492896,223.9961
1667492895,222.3398
1667492894,224.7773
1667492893,223.1641
1667492892,223.125
1667492891,223.3945
1667492890,223.2461
1667492889,223.7773
1667492888,223.5195
1667492887,222.6055
1667492886,221.9883
1667492885,219.043
1667492884,220.5156
1667492883,220.3047
1667492882,220.3086
1667492881,217.5703
1667492880,221.2148
1667492879,219.7773
1667492878,218.0625
1667492877,218.4258
1667492876,218.3242
1667492875,218.7734
1667492874,220.5547
1667492873,219.9844
1667492872,219.7812
1667492871,217.9922
1667492870,218.3086
1667492869,220.7227
1667492868,217.8203
1667492867,216.832
1667492866,216.2148
1667492865,216.9766
1667492864,216.4844
1667492863,220.1016
1667492862,218.8398
1667492861,215.6797
1667492860,216.0859
1667492859,215.5742
1667492858,212.8477
1667492857,218
1667492856,216.7812
1667492855,215.0117
1667492854,213.375
1667492853,212.1094
1667492852,211.1914
1667492851,211.0078
1667492850,210.6875
1667492849,216.1875
1667492848,215.8906
1667492847,214.0391
1667492846,213.9609
1667492845,212.6758
1667492844,212.3711
1667492843,212.1719
1667492842,211.9844
1667492841,207.3672
1667492840,213.5781
1667492839,212.9727
1667492838,212.5352
1667492837,211.7969
1667492836,209.8281
1667492835,209.3516
1667492834,207.0273
1667492833,209.8711
1667492832,209.5742
1667492831,208.168
1667492830,207.3281
1667492829,204.8438
1667492828,204.1445
1667492827,203.75
1667492826,203.6328
1667492825,202.668
1667492824,202.1836
1667492823,202.1484
1667492822,214.457
1667492821,212.7188
1667492820,210.7539
1667492819,210.8633
1667492818,210.7305
1667492817,210.5898
1667492816,213.8203
1667492815,213.9883
1667492814,215.293
1667492813,225.3594
1667492812,226.0117
1667492811,226.0898
1667492810,226.9688
1667492809,227.2344
1667492808,224.1367
1667492807,108.51172
1667492806,53.51172
1667492805,10.28125
1667492804,null
1667492803,null
1667492802,null
1667492801,null
1667492800,null
1667492799,null
1667492798,null
1667492797,null
1667492796,null
1667492795,null
1667492794,null
1667492793,null
1667492792,null
1667492791,null
1667492790,null
1667492789,null
