time,received,sent
1667493022,10.890344,-10.949569
1667493021,12.907595,-12.200245
1667493020,9.528624,-10.104662
1667493019,9.527936,-10.103932
1667493018,9.528443,-10.104469
1667493017,9.527609,-10.103585
1667493016,9.527629,-10.103606
1667493015,9.648182,-10.22423
1667493014,9.916916,-10.492943
1667493013,9.75468,-10.330591
1667493012,9.528783,-10.10483
1667493011,9.708005,-10.412652
1667493010,9.972497,-10.86788
1667493009,9.528592,-10.104627
1667493008,9.528634,-10.104673
1667493007,9.618054,-10.193948
1667493006,9.939158,-10.42332
1667493005,9.98464,-10.332454
1667493004,9.529471,-10.105559
1667493003,9.528872,-10.104925
1667493002,9.5258,-10.101667
1667493001,9.528343,-10.104364
1667493000,9.648953,-10.225045
1667492999,9.824171,-10.400147
1667492998,9.527918,-10.103913
1667492997,9.712903,-10.197073
1667492996,9.983162,-10.330995
1667492995,9.527431,-10.103397
1667492994,9.527034,-10.102976
1667492993,9.528111,-10.104118
1667492992,9.712331,-10.196535
1667492991,13.758523,-11.040435
1667492990,18.89839,-11.86035
1667492989,9.526861,-10.102792
1667492988,9.527699,-10.103681
1667492987,9.528949,-10.105007
1667492986,9.528559,-10.104593
1667492985,9.528077,-10.104081
1667492984,9.646644,-10.222599
1667492983,9.825113,-10.401143
1667492982,13.302123,-10.809687
1667492981,18.89736,-11.853761
1667492980,9.527971,-10.103969
1667492979,9.528389,-10.104412
1667492978,9.52759,-10.103565
1667492977,9.526935,-10.102871
1667492976,9.528481,-10.10451
1667492975,9.528171,-10.104182
1667492974,9.526677,-10.102597
1667492973,9.528258,-10.104273
1667492972,9.529167,-10.105238
1667492971,9.618617,-10.102764
1667492970,9.939989,-10.195994
1667492969,23.29772,-13.276911
1667492968,42.72392,-17.51535
1667492967,9.780276,-10.333531
1667492966,9.707415,-10.412023
1667492965,9.973938,-10.869411
1667492964,9.528412,-10.104437
1667492963,9.618004,-10.193893
1667492962,9.756151,-10.332151
1667492961,9.527858,-10.103849
1667492960,9.528346,-10.104367
1667492959,9.527768,-10.103754
1667492958,9.526376,-10.102278
1667492957,9.528614,-10.104651
1667492956,9.64766,-10.223678
1667492955,9.82554,-10.401594
1667492954,9.528153,-10.104163
1667492953,9.52792,-10.103915
1667492952,9.620119,-10.196135
1667492951,9.848439,-10.424465
1667492950,9.755584,-10.331551
1667492949,9.527855,-10.103846
1667492948,9.527145,-10.103094
1667492947,9.528917,-10.104972
1667492946,9.527997,-10.103997
1667492945,9.526551,-10.102464
1667492944,9.52983,-10.105941
1667492943,9.527854,-10.103845
1667492942,14.747762,-795.9941
1667492941,26.92499,-2162.252
1667492940,25.20978,-701.4949
1667492939,27.73285,-891.9459
1667492938,33.83519,-1559.2207
1667492937,33.57144,-1638.058
1667492936,26.96768,-707.4445
1667492935,32.82583,-906.9843
1667492934,24.66276,-1063.7409
1667492933,27.08282,-665.8158
1667492932,30.47056,-753.5333
1667492931,35.24104,-1157.5022
1667492930,37.08603,-1669.266
1667492929,30.11935,-1877.529
1667492928,33.76851,-1855.654
1667492927,33.63783,-1496.0037
1667492926,23.58756,-623.6914
1667492925,27.04275,-624.6323
1667492924,29.08322,-794.7348
1667492923,28.65114,-1012.0804
1667492922,33.34906,-939.5989
1667492921,35.93251,-1416.8543
1667492920,27.7605,-594.217
1667492919,26.9164,-590.3193
1667492918,29.50551,-1221.7434
1667492917,38.04516,-2166.751
1667492916,30.44914,-737.2543
1667492915,33.45617,-1102.385
1667492914,25.40299,-944.2416
1667492913,26.05115,-710.2988
1667492912,32.98058,-1086.1264
1667492911,30.94184,-912.9391
1667492910,24.77465,-684.8876
1667492909,31.79972,-901.5678
1667492908,26.11285,-812.0888
1667492907,30.52753,-1796.38
1667492906,36.73246,-2202.918
1667492905,34.46077,-1208.0206
1667492904,30.10165,-644.8475
1667492903,27.84229,-839.6354
1667492902,31.47453,-762.1648
1667492901,35.29871,-1156.483
1667492900,29.20654,-614.4232
1667492899,31.4066,-1054.1154
1667492898,32.11869,-1361.0474
1667492897,31.81083,-1220.6157
1667492896,31.91631,-895.8873
1667492895,29.29267,-882.3776
1667492894,32.80293,-755.2589
1667492893,30.76556,-567.0469
1667492892,28.55447,-852.0173
1667492891,31.44074,-725.8707
1667492890,26.82065,-424.7616
1667492889,24.51196,-416.4813
1667492888,26.45331,-744.7429
1667492887,36.01231,-1457.5028
1667492886,32.48727,-950.6854
1667492885,27.01827,-401.2108
1667492884,27.32802,-497.7265
1667492883,33.03692,-756.1318
1667492882,31.53698,-643.7087
1667492881,29.81618,-373.4225
1667492880,27.54756,-369.5891
1667492879,32.78173,-528.8941
1667492878,35.45014,-786.327
1667492877,26.68506,-431.5423
1667492876,28.10124,-348.1247
1667492875,31.49396,-340.0653
1667492874,29.3438,-337.7881
1667492873,27.30191,-331.7303
1667492872,31.89219,-740.5701
1667492871,38.88428,-1356.185
1667492870,34.3244,-390.3535
1667492869,31.09706,-587.0249
1667492868,30.87507,-499.4473
1667492867,27.93678,-296.3207
1667492866,26.77185,-365.5122
1667492865,29.70464,-473.3293
1667492864,31.82856,-428.0104
1667492863,36.12104,-707.2404
1667492862,35.83231,-446.5452
1667492861,35.81952,-261.2079
1667492860,31.88249,-325.0421
1667492859,30.18972,-408.4515
1667492858,25.46807,-239.3354
1667492857,28.25153,-297.8599
1667492856,33.05787,-554.1129
1667492855,41.11268,-712.521
1667492854,25.63228,-357.1691
1667492853,25.64646,-264.5184
1667492852,28.55502,-393.1059
1667492851,29.26434,-331.1565
1667492850,29.05437,-295.0239
1667492849,33.33448,-482.1412
1667492848,27.3412,-302.0043
1667492847,31.03167,-272.0031
1667492846,32.42805,-437.6492
1667492845,27.76925,-270.608
1667492844,31.40114,-243.2939
1667492843,27.9232,-350.565
1667492842,27.55746,-187.139
1667492841,25.4618,-231.5154
1667492840,28.93855,-170.1334
1667492839,32.64529,-243.4115
1667492838,26.49581,-201.183
1667492837,25.96545,-148.60138
1667492836,26.01124,-181.3143
1667492835,26.36079,-153.9616
1667492834,32.46009,-216.0047
1667492833,23.30733,-92.86062
1667492832,24.26327,-108.84603
1667492831,26.61694,-131.17219
1667492830,25.3182,-81.31114
1667492829,23.96956,-75.18232
1667492828,22.82427,-69.9206
1667492827,27.27386,-88.21992
1667492826,29.72339,-114.42107
1667492825,25.41021,-58.20518
1667492824,26.32609,-63.04515
1667492823,24.66607,-36.90577
1667492822,23.56469,-31.02719
1667492821,19.71395,-23.39368
1667492820,14.787854,-11.975303
1667492819,15.800943,-14.667707
1667492818,17.17854,-18.13578
1667492817,11.609971,-11.433088
1667492816,9.511034,-10.086976
1667492815,9.510488,-10.086535
1667492814,9.504217,-10.08023
1667492813,9.742265,-10.198862
1667492812,10.962172,-11.321856
1667492811,16.484115,-13.521759
1667492810,24.36175,-15.037734
1667492809,17.56064,-19.72602
1667492808,12.568008,-23.65087
1667492807,11.563714,-21.25901
1667492806,18.94134,-27.84682
1667492805,37.15234,-49.50761
1667492804,37.74592,-81.00394
1667492803,36.62199,-126.23595
1667492802,23.05297,-49.88836
1667492801,32.66657,-55.8217
1667492800,21.05741,-53.9874
1667492799,23.11285,-54.23129
1667492798,37.82781,-73.45915
1667492797,45.6253,-69.96626
1667492796,20.67184,-25.72611
1667492795,43.61654,-40.21272
1667492794,31.54631,-24.81204
1667492793,9.61208,-9.361152
1667492792,8.767591,-8.767591
1667492791,8.766464,-8.766464
1667492790,8.888189,-8.888189
1667492789,9.864386,-10.571737
