time,node
1667537820,0
1667537819,0.6003
1667537818,0
1667537817,0.6666
1667537816,1.0002
1667537815,0.7502
1667537814,0
1667537813,1.0001
1667537812,0
1667537811,0.7503
1667537810,0
1667537809,1.0002
1667537808,0.5002
1667537807,0
1667537806,0.5001
1667537805,0.7997
1667537804,0
1667537803,0
1667537802,0.9996
1667537801,0.3332
1667537800,0
1667537799,0.9998
1667537798,0
1667537797,0.7503
1667537796,0.5999
1667537795,0
1667537794,1.0002
1667537793,0
1667537792,1.0001
1667537791,4.1687
1667537790,0.5999
1667537789,0
1667537788,1.0003
1667537787,0
1667537786,0.7498
1667537785,0
1667537784,0.7995
1667537783,1.0003
1667537782,0
1667537781,0.4998
1667537780,0
1667537779,0.889
1667537778,0
1667537777,0.7996
1667537776,1.0001
1667537775,0
1667537774,0.9999
1667537773,0
1667537772,0.9998
1667537771,0.7502
1667537770,1.0002
1667537769,0.5997
1667537768,0
1667537767,0.3998
1667537766,0
1667537765,0.6665
1667537764,0
1667537763,0.7498
1667537762,0
1667537761,1.0002
1667537760,0.7498
1667537759,1
1667537758,0.6
1667537757,0
1667537756,0.5
1667537755,0
1667537754,1.0002
1667537753,0.9997
1667537752,0.7503
1667537751,0
1667537750,0.2
1667537749,0
1667537748,0.7992
1667537747,0.7501
1667537746,0
1667537745,0.7496
1667537744,0
1667537743,0.7991
1667537742,0
1667537741,1.0001
1667537740,0
1667537739,1.0003
1667537738,0
1667537737,0.9999
1667537736,0.7492
1667537735,1.0002
1667537734,0.4998
1667537733,0
1667537732,0.8333
1667537731,0
1667537730,0.7501
1667537729,0
1667537728,1.0001
1667537727,0
1667537726,0.6001
1667537725,0
1667537724,0.9998
1667537723,0.6253
1667537722,0
1667537721,1.5946
1667537720,0
1667537719,0.6003
1667537718,0.9996
1667537717,0
1667537716,1.4993
1667537715,0.9997
1667537714,0
1667537713,1.0001
1667537712,0
1667537711,1
1667537710,0
1667537709,0.4285
1667537708,0
1667537707,0.7512
1667537706,0.6659
1667537705,0.8001
1667537704,0
1667537703,0
1667537702,0.7136
1667537701,1.0002
1667537700,0
1667537699,1.0002
1667537698,0
1667537697,1
1667537696,1.0002
1667537695,0.7497
1667537694,0.7498
1667537693,0.7498
1667537692,1
1667537691,0
1667537690,0.9998
1667537689,0
1667537688,0.9994
1667537687,0
1667537686,0.6668
1667537685,0
1667537684,1
1667537683,0
1667537682,0.5998
1667537681,1.2002
1667537680,0
1667537679,1.0005
1667537678,0.9989
1667537677,0
1667537676,0.5999
1667537675,0
1667537674,0.1666
1667537673,1.0005
1667537672,0
1667537671,0
1667537670,0.9999
1667537669,0
1667537668,0.9999
1667537667,0
1667537666,0.8002
1667537665,0
1667537664,0.7499
1667537663,0.3334
1667537662,0
1667537661,1.4998
1667537660,0
1667537659,0.9987
1667537658,0
1667537657,0
1667537656,0.4001
1667537655,0
1667537654,0.6669
1667537653,0
1667537652,0.5716
1667537651,0.9996
1667537650,0
1667537649,1.1422
1667537648,0
1667537647,1.0007
1667537646,0.4991
1667537645,0
1667537644,0.6
1667537643,0.3999
1667537642,0.9997
1667537641,0
1667537640,0.9998
1667537639,0
1667537638,1.0002
1667537637,0
1667537636,0.7503
1667537635,0
1667537634,0.7503
1667537633,0
1667537632,0.6001
1667537631,0
1667537630,0.6667
1667537629,0
1667537628,0.5001
1667537627,0
1667537626,1
1667537625,0
1667537624,0.8001
1667537623,0
