time,received,sent
1667537821,13.42141,-9.856858
1667537820,17.93058,-10.700408
1667537819,9.341045,-9.568188
1667537818,8.768875,-9.208453
1667537817,8.883925,-8.873365
1667537816,9.002686,-8.981246
1667537815,8.884376,-8.87382
1667537814,9.003519,-8.982075
1667537813,9.748463,-9.737904
1667537812,11.618256,-11.586253
1667537811,12.354528,-12.311971
1667537810,12.504167,-12.461286
1667537809,8.767095,-8.767095
1667537808,8.767683,-8.767683
1667537807,8.906314,-8.906314
1667537806,9.047181,-9.047181
1667537805,9.053319,-9.053319
1667537804,9.347154,-9.347154
1667537803,8.7677,-8.7677
1667537802,8.768258,-8.768258
1667537801,8.76774,-8.76774
1667537800,8.768001,-8.768001
1667537799,8.767497,-8.767497
1667537798,9.716088,-9.568237
1667537797,10.692393,-10.392244
1667537796,9.610442,-9.462573
1667537795,10.477883,-10.177752
1667537794,13.141674,-9.580331
1667537793,17.75539,-10.524728
1667537792,9.119047,-9.119047
1667537791,9.046638,-9.046638
1667537790,8.768012,-8.768012
1667537789,8.768207,-8.768207
1667537788,8.768564,-8.768564
1667537787,8.7678,-8.7678
1667537786,8.768003,-8.768003
1667537785,8.768093,-8.768093
1667537784,8.766488,-8.766488
1667537783,9.746892,-9.736337
1667537782,11.617376,-11.585376
1667537781,12.355949,-12.31339
1667537780,12.505185,-12.4623
1667537779,8.768553,-8.768553
1667537778,8.768045,-8.768045
1667537777,8.905014,-8.905014
1667537776,9.045466,-9.045466
1667537775,8.973789,-9.121583
1667537774,9.186689,-9.486895
1667537773,8.768204,-8.768204
1667537772,8.767271,-8.767271
1667537771,8.768727,-8.768727
1667537770,8.768205,-8.768205
1667537769,8.767669,-8.767669
1667537768,9.610968,-9.463108
1667537767,10.593865,-10.283164
1667537766,9.846212,-9.67691
1667537765,10.794041,-10.388305
1667537764,9.41018,-9.19578
1667537763,8.76917,-8.76917
1667537762,8.905403,-8.905403
1667537761,13.423445,-9.858209
1667537760,17.64746,-10.412695
1667537759,8.766704,-8.766704
1667537758,8.769412,-8.769412
1667537757,8.767716,-8.767716
1667537756,8.767518,-8.767518
1667537755,8.768806,-8.768806
1667537754,8.767737,-8.767737
1667537753,9.746591,-9.736033
1667537752,11.732506,-11.689952
1667537751,12.592801,-12.528793
1667537750,12.503972,-12.461092
1667537749,8.767187,-8.767187
1667537748,8.767273,-8.767273
1667537747,8.905554,-8.905554
1667537746,9.047494,-9.047494
1667537745,8.863313,-8.863313
1667537744,8.960087,-8.960087
1667537743,8.76932,-8.76932
1667537742,8.768133,-8.768133
1667537741,8.767639,-8.767639
1667537740,8.767157,-8.767157
1667537739,8.76749,-8.76749
1667537738,9.610092,-9.462299
1667537737,10.688352,-10.282609
1667537736,10.039345,-9.6771
1667537735,10.480215,-10.179996
1667537734,13.14352,-9.581223
1667537733,17.64689,-10.417192
1667537732,8.873843,-8.873843
1667537731,24.18531,-11.989399
1667537730,40.05479,-15.116452
1667537729,9.825754,-9.582872
1667537728,9.196807,-9.421935
1667537727,8.766417,-8.766417
1667537726,8.768485,-8.768485
1667537725,8.768184,-8.768184
1667537724,8.76812,-8.76812
1667537723,9.748654,-9.738093
1667537722,11.617474,-11.585474
1667537721,12.354627,-12.31207
1667537720,12.505168,-12.462287
1667537719,8.768006,-8.768006
1667537718,8.904466,-8.904466
1667537717,9.045878,-9.045878
1667537716,8.768219,-8.768219
1667537715,8.76861,-8.76861
1667537714,8.768442,-8.768442
1667537713,8.767733,-8.767733
1667537712,8.766514,-8.766514
1667537711,8.768188,-8.768188
1667537710,8.768245,-8.768245
1667537709,8.76934,-8.76934
1667537708,9.610011,-9.462155
1667537707,10.476982,-10.176838
1667537706,9.725386,-9.567043
1667537705,10.820435,-10.498778
1667537704,8.982955,-8.982955
1667537703,8.905704,-8.905704
1667537702,9.045692,-9.045692
1667537701,13.144383,-9.579584
1667537700,17.64819,-10.412986
1667537699,8.767554,-8.767554
1667537698,8.768823,-8.768823
1667537697,8.767793,-8.767793
1667537696,8.76728,-8.76728
1667537695,8.768016,-8.768016
1667537694,8.767462,-8.767462
1667537693,9.865055,-9.843931
1667537692,11.853445,-11.800006
1667537691,12.565482,-12.417327
1667537690,12.932978,-12.675696
1667537689,8.767607,-8.767607
1667537688,8.905617,-8.905617
1667537687,9.046737,-9.046737
1667537686,8.768074,-8.768074
1667537685,9.260044,-9.407937
1667537684,9.76467,-10.064777
1667537683,8.767535,-8.767535
1667537682,8.768146,-8.768146
1667537681,8.97851,-8.872913
1667537680,9.313098,-9.088135
1667537679,9.003916,-8.982476
1667537678,8.905033,-8.767758
1667537677,9.75214,-9.462854
1667537676,11.041484,-10.872181
1667537675,10.476741,-10.176606
1667537674,13.143698,-9.581968
1667537673,17.89284,-10.662571
1667537672,9.26023,-9.26023
1667537671,8.768084,-8.768084
1667537670,8.767831,-8.767831
1667537669,8.768843,-8.768843
1667537668,8.76835,-8.76835
1667537667,8.766519,-8.766519
1667537666,8.767747,-8.767747
1667537665,8.766988,-8.766988
1667537664,8.769462,-8.769462
1667537663,9.043326,-8.906007
1667537662,10.890653,-10.728148
1667537661,13.785885,-14.00059
1667537660,12.502917,-12.460037
1667537659,8.768769,-8.768769
1667537658,8.906152,-8.906152
1667537657,9.046554,-9.046554
1667537656,8.767803,-8.767803
1667537655,8.767716,-8.767716
1667537654,8.768658,-8.768658
1667537653,8.768528,-8.768528
1667537652,8.883254,-8.872694
1667537651,9.003669,-8.98223
1667537650,8.76845,-8.76845
1667537649,8.767727,-8.767727
1667537648,8.768121,-8.768121
1667537647,9.609853,-9.462013
1667537646,11.426702,-10.978659
1667537645,10.692248,-10.39213
1667537644,8.767093,-8.767093
1667537643,8.90599,-8.90599
1667537642,9.256852,-9.151257
1667537641,13.571713,-9.793169
1667537640,17.96082,-10.872802
1667537639,9.400018,-9.700175
1667537638,8.768235,-8.768235
1667537637,8.766799,-8.766799
1667537636,8.768096,-8.768096
1667537635,8.768006,-8.768006
1667537634,8.768154,-8.768154
1667537633,8.769295,-8.769295
1667537632,10.607779,-10.58666
1667537631,14.341652,-14.277662
1667537630,12.504958,-12.462067
1667537629,8.768217,-8.768217
1667537628,8.769523,-8.769523
1667537627,8.905428,-8.905428
1667537626,9.045363,-9.045363
1667537625,9.052755,-9.052755
1667537624,9.453932,-9.453932
1667537623,8.98259,-8.98259
1667537622,8.767089,-8.767089
1667537621,8.768024,-8.768024
1667537620,8.768985,-8.768985
1667537619,8.768345,-8.768345
