time,received,sent
1667537820,14.415826,-10.519172
1667537819,18.83169,-11.992345
1667537818,9.160258,-9.148644
1667537817,9.630578,-9.59858
1667537816,9.889606,-9.869218
1667537815,10.118542,-10.330508
1667537814,11.744279,-11.846303
1667537813,11.290424,-10.71192
1667537812,12.272967,-12.089481
1667537811,10.430076,-10.430076
1667537810,9.406336,-9.394723
1667537809,9.889111,-9.868724
1667537808,8.768264,-8.768264
1667537807,9.534555,-9.511329
1667537806,10.113324,-10.072551
1667537805,9.406761,-9.395148
1667537804,10.272238,-10.13573
1667537803,9.882204,-9.515749
1667537802,10.181816,-9.884778
1667537801,9.889448,-9.869062
1667537800,10.118429,-10.330405
1667537799,11.40694,-11.508978
1667537798,10.10734,-9.842357
1667537797,10.925418,-11.280774
1667537796,10.115919,-10.020047
1667537795,9.804281,-9.898221
1667537794,9.889381,-10.286926
1667537793,9.209686,-9.047081
1667537792,10.181176,-9.884168
1667537791,10.005412,-9.985026
1667537790,9.611381,-9.599765
1667537789,10.039327,-10.018943
1667537788,9.032973,-9.032973
1667537787,9.406893,-9.395279
1667537786,9.889181,-9.868795
1667537785,10.11847,-10.330436
1667537784,11.407958,-11.509944
1667537783,10.699103,-10.120627
1667537782,17.04885,-12.983628
1667537781,18.81445,-12.000198
1667537780,9.407283,-9.395665
1667537779,10.004361,-9.983979
1667537778,8.971933,-8.971933
1667537777,9.407516,-9.395899
1667537776,9.888921,-9.868538
1667537775,9.406465,-9.394849
1667537774,10.168436,-10.136434
1667537773,9.697751,-9.51477
1667537772,10.182412,-9.885393
1667537771,9.888847,-9.868464
1667537770,10.222549,-10.434529
1667537769,11.592147,-11.694039
1667537768,10.10716,-9.842404
1667537767,10.924871,-11.280139
1667537766,9.889282,-9.868897
1667537765,9.40699,-9.395374
1667537764,9.889363,-9.868979
1667537763,9.211344,-9.048613
1667537762,10.178858,-9.881973
1667537761,9.888625,-9.86824
1667537760,14.183096,-10.286647
1667537759,18.42381,-11.584259
1667537758,9.03283,-9.03283
1667537757,9.406388,-9.394777
1667537756,9.889595,-9.869207
1667537755,10.118556,-10.33051
1667537754,11.52431,-11.626312
1667537753,10.903648,-10.325155
1667537752,12.273758,-12.090295
1667537751,10.782998,-10.934005
1667537750,10.027927,-10.281306
1667537749,9.889654,-9.869268
1667537748,8.767792,-8.767792
1667537747,9.407086,-9.395471
1667537746,9.88986,-9.869475
1667537745,9.406189,-9.394574
1667537744,26.29833,-13.629025
1667537743,38.00799,-15.646305
1667537742,10.181728,-9.884723
1667537741,9.88904,-9.868656
1667537740,10.117738,-10.329695
1667537739,11.407965,-11.509976
1667537738,10.108476,-9.843631
1667537737,10.925224,-11.280485
1667537736,9.888197,-9.867814
1667537735,9.407033,-9.395418
1667537734,9.888985,-9.8686
1667537733,9.208955,-9.046374
1667537732,10.297684,-10.000651
1667537731,10.244134,-10.223747
1667537730,9.672579,-9.660963
1667537729,9.889112,-9.868728
1667537728,8.76775,-8.76775
1667537727,9.406522,-9.394908
1667537726,9.889226,-9.86884
1667537725,10.118057,-10.330009
1667537724,11.408207,-11.510211
1667537723,10.699274,-9.908838
1667537722,17.04891,-12.82351
1667537721,18.81319,-12.37107
1667537720,9.407554,-9.395939
1667537719,13.729409,-10.287644
1667537718,25.05727,-29.12614
1667537717,26.15357,-43.79846
1667537716,9.88437,-9.863998
1667537715,9.557819,-9.546205
1667537714,10.154169,-10.133783
1667537713,9.209311,-9.046724
1667537712,10.180982,-9.883957
1667537711,9.994046,-9.973658
1667537710,10.301861,-10.513811
1667537709,11.640121,-11.626025
1667537708,10.315132,-9.683738
1667537707,10.774732,-11.007287
1667537706,10.466545,-10.894129
1667537705,9.804225,-10.078013
1667537704,10.005673,-9.985287
1667537703,9.41303,-9.250428
1667537702,10.182045,-9.88503
1667537701,9.889119,-9.868735
1667537700,14.335358,-10.437983
1667537699,18.53673,-11.698101
1667537698,8.767812,-8.767812
1667537697,9.651004,-9.639388
1667537696,10.560402,-10.540019
1667537695,10.790417,-11.002386
1667537694,12.08031,-12.182261
1667537693,11.135824,-10.696747
1667537692,12.88408,-12.805845
1667537691,11.717594,-11.472986
1667537690,10.078234,-10.066621
1667537689,10.56103,-10.540643
1667537688,9.440614,-9.440614
1667537687,9.835482,-9.823866
1667537686,9.888435,-9.868051
1667537685,9.557943,-9.546329
1667537684,10.15435,-10.133964
1667537683,9.210081,-9.047441
1667537682,10.180427,-9.883454
1667537681,9.888889,-9.868503
1667537680,10.118618,-10.33058
1667537679,11.408054,-11.510045
1667537678,9.906088,-9.478585
1667537677,10.774656,-11.007186
1667537676,10.241006,-10.506026
1667537675,9.40699,-9.395375
1667537674,10.005315,-9.98493
1667537673,9.413718,-9.251089
1667537672,10.181249,-9.884263
1667537671,9.888393,-9.868009
1667537670,9.406957,-9.302434
1667537669,10.15608,-10.065505
1667537668,9.236775,-9.399873
1667537667,9.406537,-9.394925
1667537666,9.88959,-9.869202
1667537665,9.850831,-9.96986
1667537664,11.206207,-11.238086
1667537663,10.817202,-10.390163
1667537662,16.78324,-12.709416
1667537661,19.80806,-13.025632
1667537660,10.034527,-9.834259
1667537659,10.096023,-9.801607
1667537658,9.236583,-9.399654
1667537657,9.405874,-9.394262
1667537656,9.889456,-9.869069
1667537655,9.290332,-9.185824
1667537654,9.953026,-9.862444
1667537653,9.678171,-9.678671
1667537652,10.181485,-9.884461
1667537651,9.88968,-9.869294
1667537650,9.954366,-10.073388
1667537649,11.389932,-11.42182
1667537648,10.37589,-10.111432
1667537647,10.775425,-11.007988
1667537646,10.240919,-10.505904
1667537645,9.138183,-9.033674
1667537644,9.687723,-9.597136
1667537643,9.678387,-9.678894
1667537642,10.181359,-9.884336
1667537641,9.88965,-9.869263
1667537640,14.065581,-10.076693
1667537639,18.33707,-11.426867
1667537638,9.237007,-9.400102
1667537637,9.407279,-9.395664
1667537636,9.888644,-9.868259
1667537635,9.850805,-9.969837
1667537634,11.322467,-11.354332
1667537633,11.020789,-10.593762
1667537632,12.008233,-11.815977
1667537631,11.046097,-11.066483
1667537630,9.139329,-9.034807
1667537629,9.6876,-9.597033
1667537628,9.236468,-9.399557
1667537627,9.407313,-9.395699
1667537626,9.88883,-9.868444
1667537625,9.464655,-9.302079
1667537624,10.259379,-10.066884
1667537623,9.679512,-9.679901
1667537622,10.180712,-9.883777
1667537621,9.88807,-9.867687
1667537620,10.024397,-10.085359
1667537619,11.512173,-11.442122
1667537618,10.375703,-10.11124
1667537617,10.774258,-11.006771
1667537616,10.618089,-10.894739
1667537615,9.802472,-9.71835
1667537614,9.687842,-9.597261
1667537613,9.793946,-9.794466
1667537612,10.385322,-10.088281
1667537611,10.006225,-9.985837
1667537610,9.494825,-9.39028
1667537609,9.951585,-9.861035
1667537608,9.23661,-9.399705
1667537607,9.406979,-9.395365
1667537606,9.889202,-9.868815
1667537605,9.850491,-9.969511
1667537604,11.20669,-11.23857
1667537603,10.817108,-10.390075
1667537602,16.78295,-12.709223
1667537601,19.43116,-12.637021
1667537600,9.139314,-9.034796
1667537599,9.687406,-9.596828
1667537598,9.237248,-9.400345
1667537597,9.406212,-9.394599
1667537596,9.889596,-9.869208
1667537595,9.290997,-9.186465
1667537594,9.952019,-9.861456
1667537593,9.678433,-9.678934
1667537592,10.180747,-9.88373
1667537591,9.994587,-9.974199
1667537590,10.035186,-10.154252
1667537589,11.205204,-11.23703
1667537588,10.376719,-10.112292
1667537587,10.773693,-11.006221
1667537586,10.240345,-10.505351
1667537585,9.139609,-9.03509
1667537584,9.687365,-9.596785
1667537583,9.678526,-9.679031
1667537582,10.182083,-9.885061
1667537581,9.888733,-9.868349
1667537580,14.065822,-10.07687
1667537579,18.33645,-11.426291
1667537578,9.237557,-9.400665
1667537577,9.407856,-9.396239
1667537576,9.888617,-9.868234
1667537575,9.478546,-9.702091
1667537574,11.041512,-11.152359
1667537573,11.672789,-11.062283
1667537572,12.008182,-11.815908
1667537571,11.046426,-11.066813
1667537570,9.145247,-9.15686
1667537569,10.069236,-10.07801
1667537568,9.889128,-9.86874
1667537567,9.662274,-9.627437
1667537566,10.337707,-10.276544
1667537565,8.768238,-8.768238
1667537564,9.557909,-9.546296
1667537563,10.595482,-10.412511
1667537562,10.181685,-9.884655
1667537561,9.889513,-9.869127
1667537560,9.478433,-9.701965
1667537559,10.925915,-11.036757
1667537558,11.028565,-10.580651
1667537557,10.902635,-11.123575
1667537556,10.464651,-10.709251
1667537555,8.767189,-8.767189
1667537554,9.407088,-9.395474
1667537553,10.331398,-10.14838
1667537552,10.296961,-9.999979
1667537551,10.093084,-10.072698
1667537550,8.768232,-8.768232
1667537549,9.557119,-9.545506
1667537548,10.154835,-10.134448
1667537547,9.639961,-9.512167
1667537546,10.2964,-10.072194
1667537545,9.479063,-9.702657
1667537544,10.924495,-11.035295
1667537543,11.469919,-10.859384
1667537542,16.78432,-12.709923
1667537541,19.42953,-12.63606
1667537540,8.768151,-8.768151
1667537539,9.406394,-9.39478
1667537538,9.889538,-9.869152
1667537537,9.406398,-9.394785
1667537536,9.889227,-9.86884
1667537535,9.000572,-8.88443
1667537534,10.21019,-9.994715
