time,node
1667548926,0
1667548925,1
1667548924,0.75
1667548923,0.8572
1667548922,1.0001
1667548921,1.9996
1667548920,0.7999
1667548919,1
1667548918,1
1667548917,0
1667548916,1.3333
1667548915,1.6
1667548914,1.0003
1667548913,0.9997
1667548912,0.7498
1667548911,0.6002
1667548910,0.9999
1667548909,0.75
1667548908,0.9999
1667548907,1.0001
1667548906,0.4284
1667548905,0.4999
1667548904,1
1667548903,1
1667548902,0.7998
1667548901,2.0004
1667548900,0.7505
1667548899,0
1667548898,0.7994
1667548897,0.9999
1667548896,0.6668
1667548895,0.9999
1667548894,1.0002
1667548893,1.8012
1667548892,0.749
1667548891,0.5002
1667548890,1
1667548889,0.75
1667548888,0
1667548887,1.0004
1667548886,0.7497
1667548885,1
1667548884,1.8747
1667548883,1.0001
1667548882,0
1667548881,0.9999
1667548880,0.5999
1667548879,0
1667548878,1.6004
1667548877,0.9997
1667548876,0.9999
1667548875,1
1667548874,0.6662
1667548873,1.0001
1667548872,1
1667548871,0.7497
1667548870,0.75
1667548869,0
1667548868,2.142
1667548867,1.0001
1667548866,0
1667548865,1.0001
1667548864,1.2
1667548863,4.0006
1667548862,2.0001
1667548861,1.0001
1667548860,0.8
1667548859,0
1667548858,1.2001
1667548857,0.7499
1667548856,0.4
1667548855,0
1667548854,0.9999
1667548853,0.6
1667548852,1
1667548851,1
1667548850,0.8001
1667548849,1
1667548848,0.5997
1667548847,0.6674
1667548846,1.9992
1667548845,0.5
1667548844,0
1667548843,1
1667548842,0.7502
1667548841,0.3334
1667548840,2.0006
1667548839,2.997
1667548838,1
1667548837,3.1268
1667548836,3.8882
1667548835,3
1667548834,3.9995
1667548833,2.8579
1667548832,3.3322
1667548831,4.0001
1667548830,3.4999
1667548829,2.8577
1667548828,4
1667548827,0.7998
1667548826,2.0008
1667548825,3.9985
1667548824,4.1999
1667548823,1.6661
1667548822,3.0005
1667548821,1.2859
1667548820,5.0003
1667548819,8.9999
1667548818,3.1109
1667548817,2.1418
1667548816,3.0001
1667548815,3.0001
1667548814,2.3998
1667548813,3.5014
1667548812,2.0995
1667548811,3.0028
1667548810,2.6714
1667548809,3.0003
1667548808,3.9997
1667548807,2.0004
1667548806,2.572
1667548805,1.9999
1667548804,5.0015
1667548803,2.7776
1667548802,0.5996
1667548801,2.1433
1667548800,4.0009
1667548799,2.9973
1667548798,1
1667548797,3.5547
1667548796,4.0005
1667548795,1.9995
1667548794,4.2849
1667548793,4.9993
1667548792,3.1116
1667548791,3
1667548790,2.0002
1667548789,2.9982
1667548788,3.5563
1667548787,6.9269
1667548786,3.3312
1667548785,2.9997
1667548784,3.502
1667548783,3.0003
1667548782,2.9999
1667548781,2.1481
1667548780,1
1667548779,2.2861
1667548778,3.999
1667548777,3.5018
1667548776,1.3329
1667548775,3.0015
1667548774,2.1422
1667548773,1.2853
1667548772,4
1667548771,2.0005
1667548770,3.4264
1667548769,2.6999
1667548768,2
1667548767,1.6003
1667548766,3.751
1667548765,1.9998
1667548764,2.1454
1667548763,2.5675
1667548762,3.5005
1667548761,1.1998
1667548760,2.0007
1667548759,4.1958
1667548758,2.0001
1667548757,1.6659
1667548756,7.0004
1667548755,2.857
1667548754,3.0002
1667548753,4.0002
1667548752,1.3352
1667548751,2.9973
1667548750,3.9999
1667548749,2.0009
1667548748,2.9986
1667548747,3.0006
1667548746,1.7142
1667548745,1.7776
1667548744,2.8571
1667548743,1.714
1667548742,5.0029
1667548741,29.6743
1667548740,4.9882
1667548739,0
1667548738,0.9999
1667548737,1.0002
1667548736,0.715
1667548735,1.9992
1667548734,0.8003
1667548733,1
1667548732,0.6664
1667548731,0.75
1667548730,0.6666
1667548729,1
1667548728,0
1667548727,2.0002
1667548726,1.1425
1667548725,1.0001
1667548724,0.9999
1667548723,1.5998
1667548722,0.9999
1667548721,0
1667548720,1.0008
1667548719,0.7994
1667548718,0.5998
1667548717,0
1667548716,0.8333
1667548715,4.8011
1667548714,2.0001
1667548713,0.7999
1667548712,0.75
1667548711,1.0003
1667548710,1
1667548709,4.6658
1667548708,14.0011
1667548707,7.6161
1667548706,7.0005
1667548705,1
1667548704,3.8148
1667548703,6.3039
1667548702,0.7094
1667548701,2.013
1667548700,54.5164
1667548699,105.7727
1667548698,94.8311
1667548697,0.0003
1667548696,null
1667548695,null
1667548694,null
1667548693,null
1667548692,null
1667548691,null
1667548690,null
1667548689,null
1667548688,null
1667548687,null
1667548686,null
1667548685,null
1667548684,null
1667548683,null
1667548682,null
1667548681,null
1667548680,null
1667548679,null
