time,node
1667551344,201.8594
1667551343,201.8516
1667551342,201.7891
1667551341,201.7734
1667551340,201.7266
1667551339,201.7188
1667551338,201.6914
1667551337,201.5938
1667551336,201.5625
1667551335,201.9766
1667551334,201.9258
1667551333,201.8828
1667551332,201.0391
1667551331,200.8047
1667551330,200.7695
1667551329,201.1992
1667551328,201.168
1667551327,201.1523
1667551326,201.1211
1667551325,201.1094
1667551324,201.0703
1667551323,201.0742
1667551322,201.0156
1667551321,200.9922
1667551320,200.918
1667551319,200.8984
1667551318,200.8438
1667551317,200.7891
1667551316,200.7656
1667551315,200.9648
1667551314,200.9492
1667551313,200.9102
1667551312,201.3906
1667551311,201.4922
1667551310,200.2305
1667551309,200.1836
1667551308,200.125
1667551307,200.1406
1667551306,200.293
1667551305,200.2109
1667551304,200.1484
1667551303,200.1758
1667551302,200.2734
1667551301,200.2344
1667551300,200.1875
1667551299,200.1797
1667551298,200.1445
1667551297,200.418
1667551296,200.3672
1667551295,200.3633
1667551294,200.2852
1667551293,200.707
1667551292,200.3789
1667551291,199.5039
1667551290,199.3867
1667551289,199.3281
1667551288,199.3047
1667551287,199.0156
1667551286,199.0234
1667551285,198.9805
1667551284,198.9375
1667551283,198.9219
1667551282,198.918
1667551281,198.8633
1667551280,198.8242
1667551279,198.8047
1667551278,198.793
1667551277,198.7617
1667551276,198.7227
1667551275,198.6445
1667551274,199.1602
1667551273,199.1172
1667551272,199.0625
1667551271,199.0078
1667551270,199.0312
1667551269,199.0938
1667551268,199.0586
1667551267,198.8086
1667551266,198.8047
1667551265,198.7852
1667551264,198.7383
1667551263,198.6953
1667551262,198.6875
1667551261,198.6719
1667551260,198.6289
1667551259,198.582
1667551258,198.5898
1667551257,198.5391
1667551256,198.9844
1667551255,199.0234
1667551254,199.0195
1667551253,198.9727
1667551252,198.9531
1667551251,198.9102
1667551250,198.0312
1667551249,197.9922
1667551248,197.9414
1667551247,197.918
1667551246,198.2266
1667551245,198.207
1667551244,198.2773
1667551243,197.9141
1667551242,198.5156
1667551241,198.8438
1667551240,199.0742
1667551239,199.0742
1667551238,199.1602
1667551237,198.9141
1667551236,199.2539
1667551235,199.1758
1667551234,199.0469
1667551233,199.0273
1667551232,199.2773
1667551231,199.6172
1667551230,198.4688
1667551229,198.3164
1667551228,199.1953
1667551227,199.2539
1667551226,199.5234
1667551225,198.0742
1667551224,198.0938
1667551223,198.2266
1667551222,198.0742
1667551221,197.9531
1667551220,197.7773
1667551219,198.1641
1667551218,198.8594
1667551217,198.6172
1667551216,198.543
1667551215,198.9414
1667551214,200.4258
1667551213,200.6836
1667551212,199.6719
1667551211,199.418
1667551210,200.3984
1667551209,200.4453
1667551208,199.4336
1667551207,199.1758
1667551206,199.7305
1667551205,199.8242
1667551204,199.5703
1667551203,199.5156
1667551202,199.5195
1667551201,199.3398
1667551200,199.5234
1667551199,199.0742
1667551198,198.918
1667551197,199.6406
1667551196,199.4297
1667551195,199.2656
1667551194,199.9453
1667551193,200.1055
1667551192,199.9102
1667551191,199.9219
1667551190,199.3125
1667551189,199.5273
1667551188,199.3086
1667551187,199.4961
1667551186,199.4062
1667551185,199.3125
1667551184,199.2148
1667551183,198.7734
1667551182,198.6484
1667551181,199.3477
1667551180,199.6562
1667551179,199.3984
1667551178,199.4414
1667551177,199.1445
1667551176,199.1602
1667551175,198.9023
1667551174,199.207
1667551173,198.7109
1667551172,198.9688
1667551171,199.1523
1667551170,199.375
1667551169,199.1211
1667551168,199.0781
1667551167,199.0312
1667551166,198.5234
1667551165,198.2305
1667551164,198.2109
1667551163,198.125
1667551162,197.9336
1667551161,198.0703
1667551160,197.7852
1667551159,197.5664
1667551158,197.75
1667551157,197.5078
1667551156,197.6797
1667551155,197.4297
1667551154,197.3438
1667551153,197.1211
1667551152,198.0391
1667551151,197.7383
1667551150,197.9102
1667551149,197.6602
1667551148,197.4844
1667551147,197.6328
1667551146,197.4258
1667551145,197.6055
1667551144,197.8281
1667551143,197.5234
1667551142,197.3047
1667551141,197.9531
1667551140,196.1328
1667551139,195.8984
1667551138,195.8633
1667551137,195.5703
1667551136,195.5
1667551135,195.957
1667551134,195.9727
1667551133,196.0117
1667551132,195.9727
1667551131,195.9297
1667551130,195.8945
1667551129,195.8711
1667551128,195.8164
1667551127,195.793
1667551126,195.8711
1667551125,195.832
1667551124,195.7891
1667551123,195.6875
1667551122,195.6797
1667551121,195.6602
1667551120,195.6836
1667551119,195.6406
1667551118,195.6016
1667551117,196.0586
1667551116,196.0078
1667551115,195.7305
1667551114,195.7148
1667551113,195.707
1667551112,195.6992
1667551111,195.6562
1667551110,195.6484
1667551109,195.6016
1667551108,195.5508
1667551107,195.5469
1667551106,196.5898
1667551105,210.8867
1667551104,210.8789
1667551103,210.9883
1667551102,211.1367
1667551101,211.0664
1667551100,211.0156
1667551099,214.2148
1667551098,214.3086
1667551097,215.332
1667551096,229.2773
1667551095,228.3555
1667551094,228.7227
1667551093,227.7422
1667551092,228.6055
1667551091,224.9336
1667551090,93.17578
1667551089,70.19141
1667551088,null
1667551087,null
1667551086,null
1667551085,null
1667551084,null
1667551083,null
1667551082,null
1667551081,null
1667551080,null
1667551079,null
