time,received,sent
1667544847,8.768433,-8.768433
1667544846,13.115954,-9.574464
1667544845,23.22101,-16.201456
1667544844,20.14249,-20.61554
1667544843,20.02046,-20.37735
1667544842,32.53911,-33.39621
1667544841,15.791985,-16.280899
1667544840,21.30922,-22.03423
1667544839,11.360031,-12.02309
1667544838,9.769112,-10.196087
1667544837,9.961443,-10.219501
1667544836,8.767435,-8.767435
1667544835,8.862574,-8.862574
1667544834,8.961235,-8.961235
1667544833,8.767592,-8.767592
1667544832,8.768537,-8.768537
1667544831,8.768591,-8.768591
1667544830,14.317517,-14.548342
1667544829,20.14556,-20.61874
1667544828,19.80827,-20.27
1667544827,31.39349,-32.33976
1667544826,14.458973,-14.689957
1667544825,20.4202,-20.89322
1667544824,8.768685,-8.768685
1667544823,8.978407,-8.873418
1667544822,13.543402,-9.790827
1667544821,17.67053,-10.424093
1667544820,8.767373,-8.767373
1667544819,8.767895,-8.767895
1667544818,9.08169,-8.97677
1667544817,9.414741,-9.199661
1667544816,8.873191,-8.873191
1667544815,14.533975,-14.764865
1667544814,20.1449,-20.61801
1667544813,19.81008,-20.27193
1667544812,31.97089,-33.04295
1667544811,15.651503,-16.140505
1667544810,21.58954,-22.31461
1667544809,11.153923,-11.66993
1667544808,9.350481,-9.476446
1667544807,9.96079,-10.218825
1667544806,8.768514,-8.768514
1667544805,8.768619,-8.768619
1667544804,8.767332,-8.767332
1667544803,8.768549,-8.768549
1667544802,8.767567,-8.767567
1667544801,8.767906,-8.767906
1667544800,14.32104,-14.551975
1667544799,20.14294,-20.61601
1667544798,19.81321,-20.27515
1667544797,31.50317,-32.43873
1667544796,14.693087,-14.902519
1667544795,20.62712,-21.24714
1667544794,9.282271,-9.583325
1667544793,9.06553,-9.06553
1667544792,9.078132,-9.078132
1667544791,8.961196,-8.961196
1667544790,8.768468,-8.768468
1667544789,8.768557,-8.768557
1667544788,8.766981,-8.766981
1667544787,8.768634,-8.768634
1667544786,13.201781,-9.735611
1667544785,23.40693,-16.536031
1667544784,20.14297,-20.61604
1667544783,19.53673,-20.135
1667544782,31.41388,-32.76557
1667544781,10.097408,-10.355447
1667544780,10.213359,-10.465294
1667544779,11.154993,-11.671058
1667544778,15.170963,-15.391277
1667544777,22.01477,-22.45596
1667544776,9.214682,-9.088246
1667544775,9.200072,-8.984999
1667544774,8.768076,-8.768076
1667544773,8.767753,-8.767753
1667544772,8.768706,-8.768706
1667544771,8.768439,-8.768439
1667544770,14.320996,-14.55198
1667544769,20.14051,-20.61352
1667544768,19.81025,-20.27208
1667544767,31.38988,-32.33606
1667544766,8.905545,-8.905545
1667544765,9.257953,-9.152952
1667544764,9.197502,-8.982503
1667544763,14.320105,-14.551027
1667544762,24.49036,-21.42542
1667544761,17.66951,-10.423529
1667544760,8.767431,-8.767431
1667544759,8.768925,-8.768925
1667544758,8.768798,-8.768798
1667544757,8.872601,-8.872601
1667544756,8.982542,-8.982542
1667544755,14.324934,-14.555996
1667544754,20.14002,-20.61296
1667544753,19.7507,-20.24421
1667544752,31.83905,-32.97552
1667544751,10.097133,-10.355141
1667544750,10.531353,-10.704494
1667544749,11.8122,-12.38225
1667544748,15.177638,-15.838913
1667544747,21.89459,-22.34612
1667544746,8.767601,-8.767601
1667544745,8.872465,-8.872465
1667544744,8.984205,-8.984205
1667544743,8.767934,-8.767934
1667544742,8.767052,-8.767052
1667544741,8.768381,-8.768381
1667544740,14.320365,-14.551281
1667544739,20.14352,-20.6166
1667544738,19.80941,-20.27122
1667544737,31.39023,-32.33641
1667544736,8.904635,-8.904635
1667544735,9.047581,-9.047581
1667544734,8.925605,-8.873123
1667544733,14.853347,-14.871788
1667544732,20.77283,-21.03087
1667544731,9.17601,-9.17601
1667544730,8.768802,-8.768802
1667544729,8.76751,-8.76751
1667544728,8.766825,-8.766825
1667544727,8.767761,-8.767761
1667544726,13.111984,-9.573563
1667544725,23.22262,-16.199865
1667544724,20.14657,-20.61975
1667544723,19.53545,-20.13364
1667544722,31.4155,-32.76726
1667544721,10.097821,-10.355862
1667544720,10.21171,-10.463563
1667544719,11.155761,-11.671907
1667544718,15.397401,-15.617845
1667544717,22.56629,-23.01784
1667544716,9.440889,-9.440889
1667544715,9.220269,-9.220269
1667544714,8.861462,-8.861462
1667544713,8.962034,-8.962034
1667544712,8.767143,-8.767143
1667544711,8.768503,-8.768503
1667544710,14.320838,-14.551763
1667544709,20.25731,-20.71989
1667544708,20.15296,-20.48832
1667544707,31.71053,-32.44165
1667544706,23.94881,-12.241903
1667544705,39.65281,-15.802587
1667544704,9.187928,-9.489053
1667544703,14.42635,-14.657267
1667544702,24.70446,-21.64008
1667544701,17.66972,-10.42318
1667544700,8.768197,-8.768197
1667544699,8.767251,-8.767251
1667544698,8.768295,-8.768295
1667544697,9.094313,-9.094313
1667544696,9.434576,-9.434576
1667544695,14.635265,-14.656258
1667544694,21.11361,-21.15662
1667544693,20.20547,-20.80382
1667544692,31.54812,-32.89972
1667544691,10.451313,-10.604401
1667544690,10.362915,-10.399783
1667544689,11.594823,-12.110922
1667544688,10.662918,-10.516016
1667544687,11.157723,-10.856625
1667544686,9.940513,-9.940513
1667544685,15.444921,-15.675863
1667544684,20.59414,-21.0672
1667544683,8.767421,-8.767421
1667544682,8.768386,-8.768386
1667544681,8.767353,-8.767353
1667544680,14.539204,-14.770052
1667544679,21.25864,-21.73179
1667544678,21.16383,-21.62563
1667544677,31.80084,-32.71555
1667544676,9.764275,-9.699767
1667544675,9.636673,-9.531686
1667544674,9.991133,-9.77612
1667544673,9.1818,-9.1818
1667544672,9.396953,-9.396953
1667544671,9.219408,-9.219408
1667544670,14.321855,-14.552806
1667544669,20.14269,-20.61574
1667544668,8.767319,-8.767319
1667544667,8.768677,-8.768677
1667544666,13.113762,-9.573532
1667544665,23.44177,-16.420891
1667544664,20.81705,-21.29015
1667544663,20.21278,-20.81125
1667544662,31.99729,-33.34878
1667544661,10.240782,-10.498824
1667544660,10.242481,-10.426149
1667544659,11.789893,-12.381416
1667544658,9.622849,-10.053162
1667544657,10.520939,-10.499434
1667544656,8.76868,-8.76868
1667544655,8.767455,-8.767455
1667544654,8.768139,-8.768139
1667544653,8.988664,-8.978166
1667544652,14.771076,-14.980479
1667544651,20.14441,-20.6175
1667544650,14.320525,-14.551455
1667544649,20.14291,-20.61598
1667544648,20.07776,-20.13023
1667544647,32.29919,-32.30182
1667544646,9.477712,-9.262624
1667544645,8.769359,-8.769359
1667544644,20.03739,-21.47291
1667544643,34.42706,-37.54334
1667544642,46.0766,-45.80188
1667544641,84.70619,-84.10814
1667544640,37.61806,-39.5864
1667544639,29.75995,-31.19218
1667544638,37.96231,-40.68694
1667544637,65.36995,-70.02615
1667544636,54.31159,-56.08339
1667544635,38.77961,-40.72911
1667544634,52.77669,-55.07408
1667544633,59.30265,-61.00851
1667544632,61.36312,-61.27846
1667544631,46.57909,-47.39331
1667544630,50.25571,-58.04251
1667544629,63.34858,-82.86308
1667544628,43.53673,-46.21415
1667544627,43.99266,-46.53113
1667544626,37.51058,-39.41179
1667544625,48.15744,-50.75221
1667544624,43.27621,-44.97838
1667544623,35.39127,-36.55481
1667544622,41.5555,-44.94549
1667544621,45.37477,-47.83093
1667544620,46.4685,-48.79547
1667544619,56.28566,-58.24318
1667544618,57.7163,-59.43077
1667544617,65.71163,-69.76832
1667544616,45.64909,-48.10499
1667544615,40.33275,-42.5914
1667544614,38.10408,-40.35799
1667544613,35.11362,-36.84934
1667544612,44.71187,-47.5533
1667544611,49.11321,-52.73631
1667544610,37.51047,-39.43021
1667544609,34.81784,-36.55371
1667544608,40.09805,-42.19415
1667544607,37.51705,-39.43712
1667544606,41.43673,-40.20175
1667544605,60.87085,-56.99174
1667544604,57.73337,-60.38335
1667544603,59.94534,-63.62413
1667544602,69.95709,-73.77121
1667544601,39.83185,-41.58748
1667544600,41.75144,-44.26517
1667544599,51.59865,-54.67682
1667544598,34.98547,-37.12691
1667544597,38.43303,-40.61126
1667544596,37.39625,-39.30802
1667544595,45.37343,-47.82952
1667544594,37.51977,-39.43999
1667544593,37.39316,-39.30477
1667544592,45.36887,-47.82473
1667544591,40.10048,-42.19671
1667544590,43.8955,-46.04683
1667544589,49.86656,-52.91779
1667544588,55.09862,-58.83617
1667544587,61.09032,-62.61282
1667544586,45.39516,-47.19596
1667544585,56.65351,-59.84584
1667544584,40.15779,-42.2859
1667544583,40.06836,-42.14882
1667544582,44.38241,-42.90782
1667544581,46.41813,-41.09275
1667544580,39.97368,-42.06132
1667544579,50.64498,-53.46084
1667544578,37.5239,-39.44433
1667544577,34.82345,-36.55961
1667544576,40.3343,-42.56664
1667544575,46.85964,-49.34541
1667544574,53.06271,-55.52065
1667544573,52.77586,-55.34012
1667544572,66.37398,-68.84671
1667544571,45.09812,-46.54551
1667544570,48.94132,-50.15144
1667544569,42.13751,-44.87472
1667544568,40.97301,-43.05017
1667544567,49.54598,-52.1648
1667544566,34.81927,-36.55521
1667544565,42.64132,-44.89739
1667544564,42.72872,-44.97658
1667544563,34.85415,-36.606
1667544562,37.58288,-39.53527
1667544561,34.81506,-36.55079
1667544560,46.46281,-48.78952
1667544559,56.13798,-59.29232
1667544558,55.09747,-58.67878
1667544557,58.57526,-61.54562
1667544556,46.65134,-49.28096
1667544555,52.21186,-54.17377
1667544554,42.60495,-44.84433
1667544553,42.89305,-45.17346
1667544552,42.80621,-45.05322
1667544551,53.51557,-56.48457
1667544550,34.91061,-36.64638
1667544549,40.28723,-42.38311
1667544548,37.5251,-39.4456
1667544547,34.82059,-36.5566
1667544546,47.12177,-45.97392
1667544545,58.15244,-53.5229
1667544544,47.72234,-49.78798
1667544543,52.28519,-54.73688
1667544542,78.60865,-86.41825
1667544541,64.40005,-77.41776
1667544540,21.79838,-22.41843
1667544539,11.794567,-11.990561
1667544538,9.88413,-9.795081
1667544537,10.176272,-10.434325
1667544536,8.768459,-8.768459
1667544535,8.76858,-8.76858
1667544534,8.882067,-8.871573
1667544533,9.214012,-9.087585
1667544532,9.198824,-8.983743
1667544531,8.768728,-8.768728
1667544530,14.323384,-14.554386
1667544529,20.14083,-20.61383
1667544528,19.81675,-20.27883
1667544527,31.38313,-32.32906
1667544526,14.866544,-14.688097
1667544525,21.26152,-20.89596
1667544524,8.972165,-9.119106
1667544523,9.1874,-9.488459
1667544522,13.324356,-9.681701
1667544521,18.20458,-10.743232
1667544520,8.983248,-8.983248
1667544519,8.76772,-8.76772
1667544518,8.767968,-8.767968
1667544517,8.873471,-8.873471
1667544516,20.53448,-25.3341
1667544515,32.4321,-42.26447
1667544514,32.09934,-41.67575
