time,node
1667542365,202.9531
1667542364,202.9531
1667542363,202.9531
1667542362,202.9531
1667542361,202.9531
1667542360,202.7031
1667542359,202.7031
1667542358,202.7031
1667542357,202.7031
1667542356,202.7031
1667542355,202.7031
1667542354,202.9688
1667542353,202.4336
1667542352,202.4375
1667542351,202.6562
1667542350,202.6562
1667542349,202.6562
1667542348,202.625
1667542347,202.625
1667542346,202.625
1667542345,202.625
1667542344,202.625
1667542343,202.3789
1667542342,202.3789
1667542341,202.3789
1667542340,202.3789
1667542339,202.3789
1667542338,202.3789
1667542337,202.3789
1667542336,202.3789
1667542335,202.3789
1667542334,202.3789
1667542333,202.2812
1667542332,202.2812
1667542331,202.2812
1667542330,202.2812
1667542329,202.2812
1667542328,202.2812
1667542327,202.2812
1667542326,202.2812
1667542325,202.0312
1667542324,202.0312
1667542323,202.0312
1667542322,202.5312
1667542321,202.5312
1667542320,202.5312
1667542319,202.0234
1667542318,202.0234
1667542317,202.0234
1667542316,202.0234
1667542315,202.0234
1667542314,202.0234
1667542313,202.0234
1667542312,202.0234
1667542311,202.5234
1667542310,202.2812
1667542309,202.2812
1667542308,202.2812
1667542307,202.2812
1667542306,202.2812
1667542305,202.2812
1667542304,202.2812
1667542303,202.2812
1667542302,202.2812
1667542301,202.6602
1667542300,202.4141
1667542299,202.4141
1667542298,202.4141
1667542297,202.4141
1667542296,202.4141
1667542295,202.4102
1667542294,202.4102
1667542293,202.4102
1667542292,202.4102
1667542291,202.4102
1667542290,201.3906
1667542289,201.3906
1667542288,201.3906
1667542287,201.3906
1667542286,201.3906
1667542285,201.3906
1667542284,201.3906
1667542283,201.1406
1667542282,201.1406
1667542281,201.1406
1667542280,201.6406
1667542279,201.6406
1667542278,201.6406
1667542277,201.6406
1667542276,201.6406
1667542275,201.4023
1667542274,201.918
1667542273,201.918
1667542272,201.9258
1667542271,200.832
1667542270,200.7109
1667542269,200.7461
1667542268,200.7461
1667542267,200.7461
1667542266,200.7461
1667542265,200.7461
1667542264,200.5
1667542263,200.5
1667542262,200.5
1667542261,200.5
1667542260,200.4922
1667542259,200.4922
1667542258,200.4922
1667542257,200.4922
1667542256,200.1992
1667542255,200.1992
1667542254,200.1992
1667542253,200.1992
