time,received,sent
1667542365,10.4411,-10.288821
1667542364,9.186702,-9.486872
1667542363,8.768481,-8.768481
1667542362,8.7671,-8.7671
1667542361,8.767678,-8.767678
1667542360,8.768114,-8.768114
1667542359,8.863665,-8.863665
1667542358,8.960652,-8.960652
1667542357,13.982797,-10.274395
1667542356,19.361,-11.829405
1667542355,9.610353,-9.46251
1667542354,10.583897,-10.283741
1667542353,9.823883,-9.676048
1667542352,11.456279,-11.008317
1667542351,10.757834,-10.457631
1667542350,8.874019,-8.874019
1667542349,8.982939,-8.982939
1667542348,8.767279,-8.767279
1667542347,8.766706,-8.766706
1667542346,8.769623,-8.769623
1667542345,11.670968,-13.899005
1667542344,15.803057,-21.07646
1667542343,14.242059,-16.577656
1667542342,17.1681,-18.79794
1667542341,12.803789,-12.760913
1667542340,9.747764,-9.737201
1667542339,11.838388,-11.700778
1667542338,11.944149,-11.697762
1667542337,12.869171,-12.963832
1667542336,13.78505,-13.873196
1667542335,10.237644,-9.937396
1667542334,8.767752,-8.767752
1667542333,8.768024,-8.768024
1667542332,8.76965,-8.76965
1667542331,8.768219,-8.768219
1667542330,8.767539,-8.767539
1667542329,8.7676,-8.7676
1667542328,8.872219,-8.872219
1667542327,9.824625,-9.676852
1667542326,10.477916,-10.17769
1667542325,9.609668,-9.461911
1667542324,10.479033,-10.17879
1667542323,13.984741,-10.273271
1667542322,20.33967,-12.655301
1667542321,10.756946,-10.456789
1667542320,8.97374,-8.905094
1667542319,9.184519,-9.261548
1667542318,8.768913,-9.20853
1667542317,8.873791,-8.873791
1667542316,8.981685,-8.981685
1667542315,8.769324,-8.769324
1667542314,8.768121,-8.768121
1667542313,8.767107,-8.767107
1667542312,10.608575,-10.587454
1667542311,12.504259,-12.46138
1667542310,9.852682,-9.842121
1667542309,11.832324,-11.800322
1667542308,11.494607,-11.462607
1667542307,12.871533,-12.966278
1667542306,13.782986,-13.870993
1667542305,10.235768,-9.935578
1667542304,8.76874,-8.76874
1667542303,8.769275,-8.769275
1667542302,8.767833,-8.767833
1667542301,8.884238,-8.873677
1667542300,9.004228,-8.982789
1667542299,8.86224,-8.86224
1667542298,8.961868,-8.961868
1667542297,13.986166,-10.275899
1667542296,19.35716,-11.827425
1667542295,9.607954,-9.460197
1667542294,10.478317,-10.178075
1667542293,9.715458,-9.567691
1667542292,26.57133,-14.36597
1667542291,41.03428,-16.84341
1667542290,8.769712,-8.769712
1667542289,8.767996,-8.767996
1667542288,8.767985,-8.767985
1667542287,8.766938,-8.766938
1667542286,8.768053,-8.768053
1667542285,8.767954,-8.767954
1667542284,8.768496,-8.768496
1667542283,8.767565,-8.767565
1667542282,10.607997,-10.586876
1667542281,12.503657,-12.460778
1667542280,9.745489,-9.734935
1667542279,11.617871,-11.585869
1667542278,11.634259,-11.602253
1667542277,13.012877,-13.107622
1667542276,13.505152,-13.593124
1667542275,10.441698,-10.289347
1667542274,9.291825,-9.592021
1667542273,9.089075,-9.089075
1667542272,8.981906,-8.981906
1667542271,8.768065,-8.768065
1667542270,8.768281,-8.768281
1667542269,8.767247,-8.767247
1667542268,8.87251,-8.87251
1667542267,9.824059,-9.676299
1667542266,10.478632,-10.178392
1667542265,9.610989,-9.463165
1667542264,10.478222,-10.178046
1667542263,14.121913,-10.410084
1667542262,20.47881,-12.794861
1667542261,10.478882,-10.178664
1667542260,8.768826,-8.768826
1667542259,8.767733,-8.767733
1667542258,8.767636,-8.767636
1667542257,8.766995,-8.766995
1667542256,8.885691,-8.87513
1667542255,9.004145,-8.982707
1667542254,8.767542,-8.767542
1667542253,8.768697,-8.768697
1667542252,10.607622,-10.5865
1667542251,12.503295,-12.460416
1667542250,9.748387,-9.737825
1667542249,11.616173,-11.584176
1667542248,11.630576,-11.59858
1667542247,13.012957,-13.107636
1667542246,13.506387,-13.594468
1667542245,10.343081,-10.042876
1667542244,8.982778,-8.982778
1667542243,8.768176,-8.768176
1667542242,8.873555,-8.767946
1667542241,9.087837,-8.873446
1667542240,8.981934,-8.981934
1667542239,8.767245,-8.767245
1667542238,8.769447,-8.769447
1667542237,14.102376,-10.381765
1667542236,19.59313,-12.04174
1667542235,9.609295,-9.461497
1667542234,10.478633,-10.178431
1667542233,9.853291,-9.705452
1667542232,11.813589,-11.36557
1667542231,10.477462,-10.17732
1667542230,8.974221,-8.905572
1667542229,9.185854,-9.262994
1667542228,8.768674,-9.208182
1667542227,8.97863,-8.873021
1667542226,9.196902,-8.98251
1667542225,8.771047,-8.771047
1667542224,8.771319,-8.771319
1667542223,8.762058,-8.762058
1667542222,10.607126,-10.586007
1667542221,12.505186,-12.462306
1667542220,9.747089,-9.736527
1667542219,11.618014,-11.586011
1667542218,11.634589,-11.602583
1667542217,12.989466,-12.936344
1667542216,13.598813,-13.523945
1667542215,10.516059,-10.49462
1667542214,8.767133,-8.767133
1667542213,8.768106,-8.768106
1667542212,8.767892,-8.767892
1667542211,8.87365,-8.87365
1667542210,8.982607,-8.982607
1667542209,8.873227,-8.873227
1667542208,8.981887,-8.981887
1667542207,9.610145,-9.462321
1667542206,10.478468,-10.178292
1667542205,9.72766,-9.569195
1667542204,10.713468,-10.391933
1667542203,14.121198,-10.409067
1667542202,20.47787,-12.79423
1667542201,10.478474,-10.178245
1667542200,8.768046,-8.768046
1667542199,8.767973,-8.767973
1667542198,8.768589,-8.768589
1667542197,8.768382,-8.768382
1667542196,8.768465,-8.768465
1667542195,8.767651,-8.767651
1667542194,8.766969,-8.766969
1667542193,8.769257,-8.769257
1667542192,10.609804,-10.588675
1667542191,12.501818,-12.458947
1667542190,9.748126,-9.737565
1667542189,11.617895,-11.585893
1667542188,11.737605,-11.705605
1667542187,13.090147,-13.047583
1667542186,13.364159,-13.310723
1667542185,10.721485,-10.847953
1667542184,9.185394,-9.485489
1667542183,8.767654,-8.767654
1667542182,8.767523,-8.767523
1667542181,8.768386,-8.768386
1667542180,8.76811,-8.76811
1667542179,8.862705,-8.862705
