time,received,sent
1667550563,36.22182,-35.47556
1667550562,36.22411,-47.15763
1667550561,40.75701,-59.65172
1667550560,45.40301,-60.5828
1667550559,36.22401,-43.29601
1667550558,37.39169,-62.96664
1667550557,38.58649,-79.25375
1667550556,36.22362,-31.61567
1667550555,36.22586,-31.61762
1667550554,36.22231,-31.61452
1667550553,36.2217,-31.614
1667550552,36.22617,-31.61789
1667550551,36.22545,-31.61726
1667550550,36.35912,-31.75142
1667550549,36.50259,-31.89458
1667550548,36.22362,-31.61567
1667550547,36.22521,-31.61705
1667550546,36.2241,-31.61608
1667550545,36.22227,-31.61449
1667550544,36.2254,-31.61722
1667550543,36.22439,-31.61634
1667550542,36.22184,-31.61412
1667550541,36.22632,-31.61803
1667550540,36.22807,-31.61955
1667550539,36.22244,-31.61464
1667550538,36.31752,-31.70974
1667550537,36.4144,-31.8067
1667550536,36.35367,-31.81972
1667550535,40.98781,-32.97762
1667550534,45.3395,-33.53951
1667550533,36.22622,-31.61794
1667550532,36.5376,-31.82428
1667550531,36.97284,-32.15058
1667550530,36.43844,-31.83041
1667550529,36.22524,-31.61708
1667550528,36.22222,-31.61444
1667550527,36.22586,-31.61762
1667550526,36.22563,-31.61742
1667550525,36.21961,-31.61217
1667550524,36.22503,-31.6169
1667550523,36.22544,-31.61725
1667550522,36.42924,-31.9695
1667550521,36.64237,-32.33417
1667550520,36.22419,-31.61617
1667550519,36.35938,-31.75165
1667550518,36.50448,-31.89623
1667550517,36.22644,-31.61813
1667550516,36.22103,-31.6134
1667550515,36.43686,-31.72289
1667550514,36.64963,-31.82779
1667550513,36.22619,-31.61791
1667550512,36.22488,-31.61677
1667550511,36.22309,-31.61521
1667550510,36.22716,-31.61875
1667550509,36.22187,-31.61414
1667550508,36.43309,-31.71961
1667550507,36.65401,-31.8316
1667550506,36.3308,-31.72267
1667550505,36.43769,-31.82976
1667550504,36.36274,-31.75459
1667550503,36.76405,-32.10352
1667550502,36.75965,-32.04453
1667550501,40.59018,-32.43201
1667550500,45.06096,-33.26673
1667550499,36.22172,-31.61401
1667550498,36.33031,-31.72225
1667550497,36.43626,-31.8285
1667550496,36.22459,-31.61652
1667550495,36.22411,-31.6161
1667550494,36.22351,-31.61557
1667550493,36.22577,-31.61755
1667550492,36.2248,-31.6167
1667550491,36.23294,-31.6238
1667550490,36.4472,-31.73177
1667550489,36.76844,-31.94912
1667550488,36.50475,-31.89645
1667550487,36.22055,-31.61299
1667550486,36.22456,-31.61649
1667550485,36.2262,-31.61792
1667550484,36.22388,-31.61589
1667550483,36.22253,-31.61472
1667550482,36.2264,-31.61809
1667550481,36.22097,-31.61336
1667550480,36.22433,-31.61629
1667550479,36.31734,-31.70957
1667550478,36.42045,-31.81198
1667550477,36.43265,-31.75556
1667550476,36.63801,-32.10818
1667550475,40.589,-32.86738
1667550474,45.19544,-33.39629
1667550473,36.60918,-32.00106
1667550472,36.4358,-31.8281
1667550471,36.22528,-31.61712
1667550470,36.22555,-31.61735
1667550469,36.22208,-31.61432
1667550468,36.22495,-31.61683
1667550467,36.22598,-31.61772
1667550466,36.22052,-31.61296
1667550465,364.8452,-378.326
1667550464,798.4981,-828.0504
1667550463,393.9907,-384.6246
1667550462,539.5026,-535.0377
1667550461,573.9432,-571.8275
1667550460,656.3054,-664.626
1667550459,729.6298,-737.1521
1667550458,716.8292,-723.398
1667550457,1004.5636,-1033.1973
1667550456,935.1144,-944.382
